Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
gitignore,.gitignore,.gitignore,1,1,0,0,0
Plain Text,LICENSE.txt,LICENSE.txt,20,16,0,4,0
HTML,index.html,index.html,157,127,30,0,0
JSON,package.json,package.json,81,81,0,0,0
Markdown,README.md,README.md,1070,852,0,218,0
YAML,docker-compose.yml,docker-compose.yml,16,16,0,0,0
YAML,.github/FUNDING.yml,FUNDING.yml,1,1,0,0,0
JSON,package-lock.json,package-lock.json,990,990,0,0,0
YAML,.github/workflows/test.yml,test.yml,34,31,0,3,0
CSS,css/demo.css,demo.css,239,224,10,5,0
HTML,test/index.html,index.html,48,33,15,0,0
CSS,css/vendor/jquery.Jcrop.css,jquery.Jcrop.css,165,144,21,0,0
JavaScript,js/load-image-iptc.js,load-image-iptc.js,239,133,89,17,29
CSS,test/vendor/mocha.css,mocha.css,325,269,10,46,0
JavaScript,js/load-image-exif-map.js,load-image-exif-map.js,420,385,25,10,23
JavaScript,js/load-image.js,load-image.js,229,131,83,15,43
JavaScript,js/load-image.all.min.js,load-image.all.min.js,2,1,1,0,1
JavaScript,js/load-image-fetch.js,load-image-fetch.js,103,70,29,4,18
JavaScript,js/load-image-iptc-map.js,load-image-iptc-map.js,169,141,19,9,13
JavaScript,js/load-image-orientation.js,load-image-orientation.js,481,335,133,13,47
JavaScript,js/vendor/canvas-to-blob.js,canvas-to-blob.js,143,120,20,3,30
JavaScript,js/load-image-meta.js,load-image-meta.js,259,169,79,11,37
JavaScript,js/index.js,index.js,12,9,1,2,0
JavaScript,js/demo/demo.js,demo.js,317,242,56,19,36
JavaScript,js/vendor/promise-polyfill.js,promise-polyfill.js,316,235,48,33,42
JavaScript,js/load-image-scale.js,load-image-scale.js,327,279,38,10,70
JavaScript,js/load-image-exif.js,load-image-exif.js,460,326,114,20,45
JavaScript,test/test.js,test.js,2809,2422,245,142,51
JavaScript,js/vendor/jquery.Jcrop.js,jquery.Jcrop.js,1694,1386,163,145,208
JavaScript,test/vendor/chai.js,chai.js,10854,3426,6405,1023,629
JavaScript,js/vendor/jquery.js,jquery.js,11008,7078,1857,2073,2000
JavaScript,test/vendor/mocha.js,mocha.js,18397,11858,4417,2122,2034
