Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
Markdown,PULL_REQUEST_TEMPLATE.md,PULL_REQUEST_TEMPLATE.md,14,9,0,5,0
gitignore,.gitignore,.gitignore,5,5,0,0,0
Markdown,readme.md,readme.md,75,62,0,13,0
HTML,17 - Sort Without Articles/index-FINISHED.html,index-FINISHED.html,67,53,0,14,0
HTML,17 - Sort Without Articles/index-START.html,index-START.html,55,44,0,11,0
HTML,18 - Adding Up Times with Reduce/index-FINISHED.html,index-FINISHED.html,207,201,0,6,0
JSON,21 - Geolocation/package.json,package.json,14,14,0,0,0
HTML,12 - Key Sequence Detection/index-FINISHED.html,index-FINISHED.html,25,24,0,1,0
HTML,18 - Adding Up Times with Reduce/index-START.html,index-START.html,187,187,0,0,0
HTML,12 - Key Sequence Detection/index-START.html,index-START.html,12,12,0,0,0
HTML,21 - Geolocation/index-START.html,index-START.html,64,57,0,7,0
HTML,30 - Whack A Mole/index-START.html,index-START.html,42,38,0,4,0
HTML,15 - LocalStorage/index-START.html,index-START.html,38,27,4,7,0
HTML,23 - Speech Synthesis/index-START.html,index-START.html,41,32,0,9,0
HTML,28 - Video Speed Controller/index-START.html,index-START.html,20,18,0,2,0
HTML,19 - Webcam Fun/index.html,index.html,45,20,20,5,0
JavaScript,19 - Webcam Fun/scripts-FINISHED.js,scripts-FINISHED.js,110,77,15,18,9
HTML,27 - Click and Drag/index-START.html,index-START.html,41,39,0,2,0
CSS,28 - Video Speed Controller/style.css,style.css,42,38,0,4,0
HTML,28 - Video Speed Controller/index-FINISHED.html,index-FINISHED.html,39,34,0,5,0
HTML,13 - Slide in on Scroll/index-START.html,index-START.html,123,91,0,32,0
HTML,04 - Array Cardio Day 1/index-START.html,index-START.html,59,46,0,13,0
HTML,06 - Type Ahead/index-START.html,index-START.html,22,20,0,2,0
CSS,06 - Type Ahead/style.css,style.css,74,63,1,10,0
CSS,29 - Countdown Timer/style.css,style.css,82,70,0,12,0
HTML,06 - Type Ahead/index-FINISHED.html,index-FINISHED.html,61,53,0,8,0
HTML,04 - Array Cardio Day 1/index-FINISHED.html,index-FINISHED.html,106,88,0,18,0
HTML,11 - Custom Video Player/index.html,index.html,27,24,0,3,0
JavaScript,11 - Custom Video Player/scripts-FINISHED.js,scripts-FINISHED.js,55,43,3,9,1
JavaScript,11 - Custom Video Player/scripts.js,scripts.js,0,0,0,0,0
HTML,10 - Hold Shift and Check Checkboxes/index-START.html,index-START.html,101,87,6,8,0
HTML,"25 - Event Capture, Propagation, Bubbling and Once/index-START.html",index-START.html,48,39,0,9,0
HTML,10 - Hold Shift and Check Checkboxes/index-FINISHED.html,index-FINISHED.html,130,110,6,14,0
HTML,09 - Dev Tools Domination/index-START.html,index-START.html,46,30,0,16,0
SVG,30 - Whack A Mole/mole.svg,mole.svg,56,55,1,0,0
JavaScript,19 - Webcam Fun/scripts.js,scripts.js,5,5,0,0,0
HTML,09 - Dev Tools Domination/index-FINISHED.html,index-FINISHED.html,89,69,0,20,0
HTML,01 - JavaScript Drum Kit/index-START.html,index-START.html,66,59,0,7,0
HTML,14 - JavaScript References VS Copying/index-FINISHED.html,index-FINISHED.html,99,71,0,28,0
CSS,11 - Custom Video Player/style.css,style.css,162,137,2,23,0
CSS,27 - Click and Drag/style.css,style.css,70,63,0,7,0
HTML,"25 - Event Capture, Propagation, Bubbling and Once/index-FINISHED.html",index-FINISHED.html,67,55,0,12,0
HTML,22 - Follow Along Link Highlighter/index-START.html,index-START.html,33,29,0,4,0
CSS,23 - Speech Synthesis/style.css,style.css,94,82,0,12,0
JavaScript,29 - Countdown Timer/scripts-FINISHED.js,scripts-FINISHED.js,55,45,3,7,1
HTML,29 - Countdown Timer/index.html,index.html,29,28,0,1,0
JavaScript,29 - Countdown Timer/scripts-START.js,scripts-START.js,0,0,0,0,0
HTML,13 - Slide in on Scroll/index-FINISHED.html,index-FINISHED.html,143,108,0,35,0
HTML,26 - Stripe Follow Along Nav/index-START.html,index-START.html,226,202,0,24,0
HTML,08 - Fun with HTML5 Canvas/index-START.html,index-START.html,19,17,0,2,0
CSS,22 - Follow Along Link Highlighter/style.css,style.css,61,54,0,7,0
SVG,30 - Whack A Mole/dirt.svg,dirt.svg,40,39,1,0,0
