Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
JSON,NuGetPackageVerifier.json,NuGetPackageVerifier.json,7,7,0,0,0
Powershell,run.ps1,run.ps1,209,116,69,24,21
Batch,build.cmd,build.cmd,2,2,0,0,0
MSBuild,Directory.Build.props,Directory.Build.props,15,14,0,1,0
YAML,.appveyor.yml,.appveyor.yml,19,19,0,0,0
MSBuild,Directory.Build.targets,Directory.Build.targets,6,6,0,0,0
Markdown,README.md,README.md,91,58,0,33,0
gitignore,.gitignore,.gitignore,31,31,0,0,0
Shell,build.sh,build.sh,8,4,2,2,1
Shell,run.sh,run.sh,256,245,7,4,2
Markdown,CONTRIBUTING.md,CONTRIBUTING.md,4,3,0,1,0
Plain Text,korebuild-lock.txt,korebuild-lock.txt,2,2,0,0,0
MSBuild,version.props,version.props,12,12,0,0,0
YAML,.travis.yml,.travis.yml,24,24,0,0,0
Batch,run.cmd,run.cmd,2,2,0,0,0
MSBuild,build/repo.props,repo.props,13,10,1,2,0
Plain Text,LICENSE.txt,LICENSE.txt,201,169,0,32,0
JSON,korebuild.json,korebuild.json,10,10,0,0,0
MSBuild,build/dependencies.props,dependencies.props,30,30,0,0,0
MSBuild,build/sources.props,sources.props,17,16,0,1,0
MSBuild,src/Directory.Build.props,Directory.Build.props,13,11,0,2,0
Powershell,scripts/Regenerate-JSFiles.ps1,Regenerate-JSFiles.ps1,28,26,0,2,1
YAML,.vsts-pipelines/builds/ci-public.yml,ci-public.yml,15,12,1,2,0
YAML,.vsts-pipelines/builds/ci-internal.yml,ci-internal.yml,13,11,0,2,0
Markdown,src/Microsoft.AspNetCore.NodeServices/README.md,README.md,362,249,0,113,0
C#,src/Microsoft.AspNetCore.SpaServices.Extensions/DefaultSpaBuilder.cs,DefaultSpaBuilder.cs,24,17,2,5,0
C#,src/Microsoft.AspNetCore.NodeServices/INodeServices.cs,INodeServices.cs,54,13,37,4,0
C#,samples/misc/LatencyTest/Program.cs,Program.cs,52,35,11,6,1
JSON,src/Microsoft.AspNetCore.NodeServices.Sockets/package.json,package.json,19,19,0,0,0
MSBuild,samples/misc/LatencyTest/LatencyTest.csproj,LatencyTest.csproj,19,15,0,4,0
C#,src/Microsoft.AspNetCore.NodeServices/HostingModels/INodeInstance.cs,INodeInstance.cs,23,10,12,1,0
C#,samples/misc/Webpack/Startup.cs,Startup.cs,60,48,6,6,0
MSBuild,samples/misc/Webpack/Webpack.csproj,Webpack.csproj,29,24,0,5,0
JSON,src/Microsoft.AspNetCore.NodeServices.Sockets/baseline.netcore.json,baseline.netcore.json,109,109,0,0,0
JSON,src/Microsoft.AspNetCore.NodeServices/baseline.netcore.json,baseline.netcore.json,935,935,0,0,0
JSON,samples/misc/Webpack/appsettings.json,appsettings.json,10,10,0,0,0
C#,src/Microsoft.AspNetCore.NodeServices/HostingModels/HttpNodeInstance.cs,HttpNodeInstance.cs,157,120,17,20,14
