Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
Python,Decimal_To_Binary.py,Decimal_To_Binary.py,25,13,10,2,1
Python,recyclebin.py,recyclebin.py,53,31,7,15,8
Python,Shivaansh.py,Shivaansh.py,5,4,0,1,2
Python,invisible_clock.py,invisible_clock.py,62,31,7,24,6
Markdown,CODE_OF_CONDUCT.md,CODE_OF_CONDUCT.md,76,57,0,19,0
Python,tf_idf_generator.py,tf_idf_generator.py,139,97,38,4,2
Python,diction.py,diction.py,61,47,1,13,6
Python,Guess_the_number_game.py,Guess_the_number_game.py,41,29,1,11,1
Python,binod.py,binod.py,38,32,2,4,7
Markdown,LICENSE.md,LICENSE.md,21,17,0,4,0
Python,spotlight.py,spotlight.py,75,65,3,7,5
Python,diceV2_dynamic.py,diceV2_dynamic.py,91,63,9,19,9
Python,script_count.py,script_count.py,76,49,10,17,12
Python,Web_Scraper.py,Web_Scraper.py,41,20,12,9,3
Markdown,lanzhiwang_index.md,lanzhiwang_index.md,217,215,0,2,0
Python,alexa_news_headlines.py,alexa_news_headlines.py,52,38,0,14,5
Python,move_files_over_x_days.py,move_files_over_x_days.py,40,26,7,7,7
Python,get_crypto_price.py,get_crypto_price.py,28,22,2,4,2
Python,dice_rolling_simulator.py,dice_rolling_simulator.py,94,46,16,32,2
Python,Mp3_media_player.py,Mp3_media_player.py,116,91,3,22,3
Python,translation_of_sizes_of_underwear_RU.py,translation_of_sizes_of_underwear_RU.py,23,18,1,4,3
Python,rook.py,rook.py,49,48,0,1,35
Python,get_info_remoute_srv.py,get_info_remoute_srv.py,31,18,7,6,8
Python,Merge_linked_list.py,Merge_linked_list.py,107,51,29,27,7
Python,site_health.py,site_health.py,108,82,15,11,9
Python,diamond.py,diamond.py,17,14,0,3,3
Python,osinfo.py,osinfo.py,47,29,9,9,3
Python,xkcd_downloader.py,xkcd_downloader.py,52,21,18,13,3
Python,selectionSort.py,selectionSort.py,29,17,3,9,8
Python,get_youtube_view.py,get_youtube_view.py,35,16,13,6,3
Python,text_cleaning_comparisson.py,text_cleaning_comparisson.py,77,64,6,7,4
Python,text_file_replace.py,text_file_replace.py,34,17,12,5,2
Python,Binary_search.py,Binary_search.py,40,20,11,9,6
Python,WeatherGUI.py,WeatherGUI.py,48,38,0,10,0
Python,Cricket_score.py,Cricket_score.py,22,15,0,7,4
Python,factors.py,factors.py,10,9,0,1,2
Python,wiki_random.py,wiki_random.py,51,37,14,0,0
Python,scalg.py,scalg.py,89,36,50,3,6
Jupyter,Untitled.ipynb,Untitled.ipynb,76,76,0,0,0
Python,tweeter.py,tweeter.py,82,80,2,0,0
Python,work_connect.py,work_connect.py,43,29,7,7,10
Python,patterns.py,patterns.py,37,28,6,3,6
Python,blackJackGUI.py,blackJackGUI.py,158,156,0,2,0
Python,youtube.py,youtube.py,45,35,8,2,1
Python,create_dir_if_not_there.py,create_dir_if_not_there.py,24,12,9,3,2
Python,chicks_n_rabs.py,chicks_n_rabs.py,25,12,8,5,4
Python,List.py,List.py,23,13,10,0,0
Python,balance_parenthesis.py,balance_parenthesis.py,53,43,0,10,13
Python,write_excel_file.py,write_excel_file.py,40,28,4,8,0
Python,multiplication_table.py,multiplication_table.py,20,13,0,7,6
Python,chaos.py,chaos.py,23,16,1,6,6
Python,password_cracker.py,password_cracker.py,48,30,9,9,10
Python,Print_List_of_Odd_Numbers.py,Print_List_of_Odd_Numbers.py,20,12,3,5,6
Python,testlines.py,testlines.py,18,5,7,6,1
Python,gcd.py,gcd.py,14,8,4,2,3
Python,sqlite_check.py,sqlite_check.py,52,34,7,11,5
Python,Merge-sort.py,Merge-sort.py,51,38,4,9,12
Python,tik_tak.py,tik_tak.py,116,109,3,4,1
Python,thread_signal.py,thread_signal.py,40,28,0,12,1
Python,get_likes_on_FB.py,get_likes_on_FB.py,34,26,0,8,6
Python,kmp_str_search.py,kmp_str_search.py,51,29,15,7,9
Markdown,README2.md,README2.md,3,2,0,1,0
Python,merge.py,merge.py,44,19,11,14,8
Python,jee_result.py,jee_result.py,50,31,9,10,4
Python,StringToBinary.py,StringToBinary.py,12,11,0,1,2
Python,recursive-fibonacci.py,recursive-fibonacci.py,5,5,0,0,1
Python,internet_connection_py3.py,internet_connection_py3.py,28,23,0,5,1
Python,polygon.py,polygon.py,21,16,1,4,4
Python,changemac.py,changemac.py,81,51,11,19,1
Python,Palindrome_Checker.py,Palindrome_Checker.py,50,41,6,3,3
Python,totaldigits.py,totaldigits.py,6,3,1,2,0
Python,EncryptionTool.py,EncryptionTool.py,114,96,5,13,4
Python,Guessing_Game.py,Guessing_Game.py,30,26,0,4,3
Python,ex20.py,ex20.py,37,21,1,15,0
Python,triangles.py,triangles.py,20,12,0,8,2
Python,dec_to_hex.py,dec_to_hex.py,2,2,0,0,0
Python,insertion_sort.py,insertion_sort.py,64,29,26,9,10
Python,twitter_post_scraper.py,twitter_post_scraper.py,35,30,0,5,4
Python,nmap_scan.py,nmap_scan.py,41,22,7,12,4
Python,four_digit_num_combination.py,four_digit_num_combination.py,18,9,5,4,4
Python,sha1.py,sha1.py,124,76,35,13,10
Python,portscanner.py,portscanner.py,66,54,7,5,0
Python,binary_search_tree.py,binary_search_tree.py,371,274,68,29,91
Python,coronacases.py,coronacases.py,95,89,0,6,0
Python,Job_scheduling.py,Job_scheduling.py,125,76,31,18,14
Python,batch_file_rename.py,batch_file_rename.py,74,36,24,14,8
Python,GroupSms_Way2.py,GroupSms_Way2.py,54,38,4,12,2
Python,BruteForce.py,BruteForce.py,85,78,1,6,4
Python,longest_increasing_subsequence_length.py,longest_increasing_subsequence_length.py,22,10,7,5,6
Python,Quick_Sort.py,Quick_Sort.py,52,20,19,13,6
Python,powerup_checks.py,powerup_checks.py,105,87,8,10,13
Python,Print_List_of_Even_Numbers.py,Print_List_of_Even_Numbers.py,17,13,2,2,7
Python,tar.py,tar.py,69,66,0,3,2
Python,Binary Coefficients.py,Binary Coefficients.py,20,18,0,2,2
Python,Letter_Counter.py,Letter_Counter.py,26,20,4,2,0
Python,WikipediaModule.py,WikipediaModule.py,88,72,11,5,2
