Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
Python,countFile.py,countFile.py,16,15,0,1,4
Python,login_zhihu.py,login_zhihu.py,84,67,4,13,1
Python,countPm.py,countPm.py,23,20,1,2,8
Python,douban_movie.py,douban_movie.py,82,68,3,11,8
Python,douban_book.py,douban_book.py,55,45,1,9,8
Python,lagouSpider.py,lagouSpider.py,37,33,0,4,6
Python,readExcel.py,readExcel.py,17,16,1,0,6
Python,wechat/connect.py,connect.py,52,44,1,7,4
Python,excelToDatabase.py,excelToDatabase.py,32,25,4,3,4
Python,wechat/utils.py,utils.py,44,42,1,1,0
Python,CpuToInfluxdb.py,CpuToInfluxdb.py,37,27,4,6,1
Plain Text,wechat/requirements.txt,requirements.txt,17,17,0,0,0
Markdown,README.md,README.md,61,33,0,28,0
Python,image_recognition_zhihu.py,image_recognition_zhihu.py,202,189,3,10,1
Markdown,Python 黑魔法/README.MD,README.MD,4,2,0,2,0
Python,爬虫集合/qiubai_crawer.py,qiubai_crawer.py,54,50,0,4,0
Markdown,wechat/README.MD,README.MD,5,3,0,2,0
Python,ModifyFilename.py,ModifyFilename.py,11,11,0,0,5
Python,Python 黑魔法/Python 远程开机.py,Python 远程开机.py,28,28,0,0,1
gitignore,.gitignore,.gitignore,2,2,0,0,0
Python,爬虫集合/meizitu.py,meizitu.py,77,54,9,14,16
Python,wechat/face_id.py,face_id.py,137,131,3,3,0
Python,爬虫集合/lagou.py,lagou.py,83,70,3,10,8
Python,qiubai_crawer.py,qiubai_crawer.py,54,50,0,4,0
Python,biyingSpider.py,biyingSpider.py,15,15,0,0,0
Markdown,爬虫集合/README.MD,README.MD,11,6,0,5,0
