Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
Markdown,ReadMe.md,ReadMe.md,301,214,0,87,0
Markdown,Spider_Java/README.md,README.md,7,4,0,3,0
Python,NewsSpider/NewsSpider.py,NewsSpider.py,61,43,11,7,7
Markdown,Spider_Python/README.md,README.md,5,3,0,2,0
Markdown,NewsSpider/ReadMe.md,ReadMe.md,9,5,0,4,0
Python,Captcha1/pytesser_pro/errors.py,errors.py,15,10,2,3,1
Python,QunarSpider/QunarSpider.py,QunarSpider.py,142,127,6,9,6
Batch,Captcha1/!Test.bat,!Test.bat,2,2,0,0,0
Markdown,ZhihuSpider/ReadMe.md,ReadMe.md,9,5,0,4,0
Python,ZhihuSpider/ZhihuSpider.py,ZhihuSpider.py,57,51,4,2,7
Python,Spider_Python/WallstreetcnSaveTest.py,WallstreetcnSaveTest.py,176,171,2,3,1
Markdown,Captcha1/ReadMe.md,ReadMe.md,34,23,0,11,0
Python,Captcha1/pytesser_pro/pytesser_pro.py,pytesser_pro.py,57,53,1,3,0
Python,WechatSearchProjects/Spider_Main.py,Spider_Main.py,22,18,2,2,4
Markdown,QunarSpider/ReadMe.md,ReadMe.md,9,5,0,4,0
Python,Captcha1/pytesser_pro/util.py,util.py,21,14,3,4,2
Markdown,WechatSearchProjects/README.md,README.md,11,6,0,5,0
Python,WechatSearchProjects/WechatSearchTest.py,WechatSearchTest.py,122,99,16,7,4
Python,Captcha1/tess_test.py,tess_test.py,232,188,26,18,44
Python,Captcha1/pytesser_pro/__init__.py,__init__.py,0,0,0,0,0
Python,WechatSearchProjects/Wechatproject/Wechatproject/settings.py,settings.py,21,4,13,4,0
Python,WechatSearchProjects/Wechatproject/Wechatproject/items.py,items.py,14,6,6,2,0
Python,WechatSearchProjects/Wechatproject/Wechatproject/pipelines.py,pipelines.py,85,9,65,11,0
Python,WechatSearchProjects/Wechatproject/Wechatproject/__init__.py,__init__.py,0,0,0,0,0
Python,WechatSearchProjects/Wechatproject/Wechatproject/spiders/__init__.py,__init__.py,4,0,4,0,0
Python,WechatSearchProjects/Wechatproject/Wechatproject/spiders/spider.py,spider.py,63,40,16,7,8
Java,Spider_Java/Spider_Java2/src/synchronizetest/Test.java,Test.java,89,59,27,3,4
Java,Spider_Java/Spider_Java2/src/wallstreetcnsave/WallstreetcnSaveTest.java,WallstreetcnSaveTest.java,342,275,24,43,30
Java,Spider_Java/Spider_Java1/src/wallstreetcnsave/WallstreetcnSaveTest.java,WallstreetcnSaveTest.java,233,192,14,27,21
Java,Spider_Java/Spider_Java1/src/synchronizetest/Test.java,Test.java,89,59,27,3,4
