Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
Plain Text,test_requirements.txt,test_requirements.txt,57,56,0,1,0
Autoconf,test_requirements.in,test_requirements.in,9,8,0,1,0
License,LICENSE,LICENSE,21,17,0,4,0
Plain Text,requirements.txt,requirements.txt,39,38,0,1,0
Shell,requirements.sh,requirements.sh,12,8,1,3,2
Autoconf,MANIFEST.in,MANIFEST.in,2,2,0,0,0
Markdown,CHANGELOG.md,CHANGELOG.md,445,368,0,77,0
Markdown,README.md,README.md,1592,1200,0,392,0
Python,setup.py,setup.py,52,48,0,4,0
gitignore,.gitignore,.gitignore,93,56,19,18,0
Shell,test.sh,test.sh,5,1,3,1,0
YAML,.travis.yml,.travis.yml,31,26,5,0,0
JSON,test_settings.json,test_settings.json,124,124,0,0,0
Autoconf,requirements.in,requirements.in,22,20,2,0,0
Python,test_settings.py,test_settings.py,67,39,5,23,0
Markdown,.github/PULL_REQUEST_TEMPLATE.md,PULL_REQUEST_TEMPLATE.md,39,21,0,18,0
Markdown,docs/domain_with_free_ssl_dns.md,domain_with_free_ssl_dns.md,85,59,0,26,0
Markdown,docs/domain_with_free_ssl_http.md,domain_with_free_ssl_http.md,87,60,0,27,0
Python,example/mymodule.py,mymodule.py,8,6,0,2,0
Plain Text,example/requirements.txt,requirements.txt,2,2,0,0,0
Python,tests/__init__.py,__init__.py,0,0,0,0,0
Python,example/app.py,app.py,16,12,0,4,1
JSON,example/policy/deploy.json,deploy.json,153,153,0,0,0
Markdown,example/README.md,README.md,71,49,0,22,0
Python,tests/tests_async.py,tests_async.py,92,68,11,13,6
Python,tests/tests_placebo.py,tests_placebo.py,517,421,38,58,2
Python,tests/test_bot_exception_handler_settings.py,test_bot_exception_handler_settings.py,14,14,0,0,0
Python,tests/test_wsgi_script_name_settings.py,test_wsgi_script_name_settings.py,12,12,0,0,0
JSON,tests/test_bad_circular_extends_settings.json,test_bad_circular_extends_settings.json,64,64,0,0,0
Python,tests/tests_docs.py,tests_docs.py,92,72,4,16,5
Python,tests/test_handler.py,test_handler.py,434,403,4,27,0
Python,tests/test_exception_handler_settings.py,test_exception_handler_settings.py,13,13,0,0,0
TOML,tests/test_settings.toml,test_settings.toml,12,12,0,0,0
Python,tests/test_bot_handler_being_triggered.py,test_bot_handler_being_triggered.py,13,13,0,0,0
YAML,tests/test_settings.yaml,test_settings.yaml,57,56,0,1,0
Python,tests/test_wsgi_script_name_app.py,test_wsgi_script_name_app.py,8,5,0,3,0
Python,tests/tests_async_old.py,tests_async_old.py,102,75,13,14,6
Python,tests/test_event_script_app.py,test_event_script_app.py,6,4,0,2,0
JSON,tests/test_bad_settings.json,test_bad_settings.json,49,49,0,0,0
Python,tests/utils.py,utils.py,75,67,4,4,0
JSON,tests/name_scenarios.json,name_scenarios.json,66,66,0,0,0
Python,tests/test_event_script_settings.py,test_event_script_settings.py,10,10,0,0,0
Python,tests/tests_middleware.py,tests_middleware.py,314,297,10,7,2
Markdown,tests/README.md,README.md,9,6,0,3,0
Python,zappa/ext/__init__.py,__init__.py,0,0,0,0,0
Python,zappa/__init__.py,__init__.py,11,8,0,3,5
Python,zappa/letsencrypt.py,letsencrypt.py,424,379,15,30,18
Markdown,.github/ISSUE_TEMPLATE.md,ISSUE_TEMPLATE.md,28,23,0,5,0
JSON,tests/test_non_ascii_environment_var_key.json,test_non_ascii_environment_var_key.json,18,18,0,0,0
JSON,tests/test_bad_environment_vars.json,test_bad_environment_vars.json,19,19,0,0,0
Python,example/authmodule.py,authmodule.py,216,214,2,0,2
YAML,tests/test_settings.yml,test_settings.yml,57,56,0,1,0
Python,tests/data/test1.py,test1.py,6,2,1,3,0
JSON,tests/test_one_env.json,test_one_env.json,7,7,0,0,0
Python,zappa/policies.py,policies.py,0,0,0,0,0
Python,zappa/async.py,async.py,5,3,1,1,0
Python,zappa/handler.py,handler.py,615,402,128,85,84
JSON,tests/test_bad_stage_name_settings.json,test_bad_stage_name_settings.json,48,48,0,0,0
Python,zappa/ext/django_zappa.py,django_zappa.py,20,10,4,6,2
Python,tests/test_app.py,test_app.py,45,42,0,3,0
Python,tests/data/test2/test.py,test.py,5,2,1,2,0
Python,zappa/asynchronous.py,asynchronous.py,490,384,66,40,26
Python,zappa/utilities.py,utilities.py,583,436,104,43,79
Python,tests/tests.py,tests.py,2262,2211,21,30,2
Python,zappa/wsgi.py,wsgi.py,196,182,7,7,3
Python,zappa/middleware.py,middleware.py,58,50,6,2,2
Plain Text,tests/data/test1/this_dir_is_not_a_module.txt,this_dir_is_not_a_module.txt,9,8,0,1,0
JSON,tests/placebo/TestZappa.test_upload_remove_s3/s3.UploadPart_1.json,s3.UploadPart_1.json,11,11,0,0,0
JSON,tests/placebo/TestZappa.test_invoke_lambda_function/lambda.Invoke_1.json,lambda.Invoke_1.json,15,15,0,0,0
