Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
HTML,index.html,index.html,151,140,0,11,0
Markdown,summary.md,summary.md,145,109,0,36,0
License,LICENSE,LICENSE,427,330,0,97,0
JavaScript,.docsifytopdfrc.js,.docsifytopdfrc.js,7,7,0,0,0
JSON,package.json,package.json,25,25,0,0,0
gitignore,.gitignore,.gitignore,44,27,7,10,0
Markdown,README.md,README.md,230,169,0,61,0
YAML,.github/workflows/branch-merge.yml,branch-merge.yml,17,15,0,2,0
YAML,.github/workflows/sync.yml,sync.yml,24,21,0,3,0
Markdown,docs/extra-page/README.md,README.md,38,28,0,10,0
Markdown,docs/big-data/find-top-1-ip.md,find-top-1-ip.md,17,10,0,7,0
Markdown,docs/extra-page/subscriptions-for-doocs.md,subscriptions-for-doocs.md,56,39,0,17,0
Markdown,docs/micro-services/event-driven-data-management-for-microservices.md,event-driven-data-management-for-microservices.md,110,57,0,53,0
Markdown,docs/big-data/sort-the-query-strings-by-counts.md,sort-the-query-strings-by-counts.md,24,13,0,11,0
Markdown,docs/extra-page/rights-defending-action.md,rights-defending-action.md,52,33,0,19,0
Markdown,docs/extra-page/offer.md,offer.md,125,101,0,24,0
Markdown,docs/high-concurrency/how-to-ensure-high-concurrency-and-high-availability-of-redis.md,how-to-ensure-high-concurrency-and-high-availability-of-redis.md,24,13,0,11,0
Markdown,docs/distributed-system/why-dubbo.md,why-dubbo.md,63,32,0,31,0
Markdown,docs/extra-page/advanced.md,advanced.md,71,52,0,19,0
Markdown,docs/high-concurrency/why-mq.md,why-mq.md,120,66,0,54,0
Markdown,docs/high-concurrency/redis-single-thread-model.md,redis-single-thread-model.md,73,40,0,33,0
Markdown,docs/high-concurrency/es-architecture.md,es-architecture.md,49,26,0,23,0
Markdown,docs/high-concurrency/redis-master-slave.md,redis-master-slave.md,103,60,0,43,0
Markdown,docs/high-concurrency/mq-interview.md,mq-interview.md,69,35,0,34,0
Markdown,docs/high-concurrency/how-to-ensure-that-messages-are-not-repeatedly-consumed.md,how-to-ensure-that-messages-are-not-repeatedly-consumed.md,46,25,0,21,0
Markdown,docs/high-concurrency/how-to-ensure-high-availability-of-message-queues.md,how-to-ensure-high-availability-of-message-queues.md,73,37,0,36,0
Markdown,docs/high-concurrency/how-to-ensure-the-order-of-messages.md,how-to-ensure-the-order-of-messages.md,40,21,0,19,0
Markdown,docs/extra-page/cover.md,cover.md,8,5,0,3,0
Markdown,docs/distributed-system/distributed-system-interview.md,distributed-system-interview.md,38,23,0,15,0
Markdown,docs/high-concurrency/mq-time-delay-and-expired-failure.md,mq-time-delay-and-expired-failure.md,39,22,0,17,0
Markdown,docs/high-concurrency/es-optimizing-query-performance.md,es-optimizing-query-performance.md,87,44,0,43,0
Markdown,docs/high-concurrency/database-shard-dynamic-expand.md,database-shard-dynamic-expand.md,72,44,0,28,0
Markdown,docs/high-concurrency/mq-design.md,mq-design.md,28,15,0,13,0
Markdown,docs/high-concurrency/database-shard-global-id-generate.md,database-shard-global-id-generate.md,180,128,0,52,0
Markdown,docs/high-concurrency/redis-sentinel.md,redis-sentinel.md,163,101,0,62,0
Markdown,docs/high-concurrency/high-concurrency-design.md,high-concurrency-design.md,72,39,0,33,0
Markdown,docs/high-concurrency/why-cache.md,why-cache.md,47,25,0,22,0
Markdown,docs/high-concurrency/es-write-query-search.md,es-write-query-search.md,139,86,0,53,0
Markdown,docs/high-concurrency/redis-cluster.md,redis-cluster.md,136,72,0,64,0
Markdown,docs/high-concurrency/redis-caching-avalanche-and-caching-penetration.md,redis-caching-avalanche-and-caching-penetration.md,59,33,0,26,0
Markdown,docs/big-data/count-different-phone-numbers.md,count-different-phone-numbers.md,19,10,0,9,0
Markdown,docs/high-concurrency/mysql-read-write-separation.md,mysql-read-write-separation.md,50,28,0,22,0
Markdown,docs/distributed-system/dubbo-serialization-protocol.md,dubbo-serialization-protocol.md,78,44,0,34,0
Markdown,docs/big-data/find-hotest-query-string.md,find-hotest-query-string.md,45,23,0,22,0
Markdown,docs/big-data/find-no-repeat-number.md,find-no-repeat-number.md,61,37,0,24,0
Markdown,docs/big-data/README.md,README.md,39,32,0,7,0
Markdown,docs/big-data/find-mid-value-in-500-millions.md,find-mid-value-in-500-millions.md,76,51,0,25,0
Markdown,docs/big-data/find-a-number-if-exists.md,find-a-number-if-exists.md,21,11,0,10,0
Markdown,docs/big-data/find-rank-top-500-numbers.md,find-rank-top-500-numbers.md,109,84,0,25,0
Markdown,docs/micro-services/huifer-micro-services-technology-stack.md,huifer-micro-services-technology-stack.md,230,120,0,110,0
Markdown,docs/micro-services/microservices-introduction.md,microservices-introduction.md,209,105,0,104,0
Markdown,docs/high-concurrency/how-to-ensure-the-reliable-transmission-of-messages.md,how-to-ensure-the-reliable-transmission-of-messages.md,103,58,0,45,0
Markdown,docs/high-concurrency/redis-expiration-policies-and-lru.md,redis-expiration-policies-and-lru.md,83,55,0,28,0
Markdown,docs/high-concurrency/es-introduction.md,es-introduction.md,70,43,0,27,0
Markdown,docs/big-data/find-common-urls.md,find-common-urls.md,24,13,0,11,0
Markdown,docs/micro-services/how-eureka-enable-service-discovery-and-service-registration.md,how-eureka-enable-service-discovery-and-service-registration.md,132,68,0,64,0
Markdown,docs/high-concurrency/redis-consistence.md,redis-consistence.md,102,52,0,50,0
Markdown,docs/big-data/find-top-100-words.md,find-top-100-words.md,23,13,0,10,0
Markdown,docs/high-concurrency/redis-production-environment.md,redis-production-environment.md,23,12,0,11,0
Markdown,docs/micro-services/advantages-and-disadvantages-of-microservice.md,advantages-and-disadvantages-of-microservice.md,95,48,0,47,0
Markdown,docs/high-concurrency/database-shard-method.md,database-shard-method.md,41,21,0,20,0
Markdown,docs/micro-services/README.md,README.md,42,33,0,9,0
Markdown,docs/high-concurrency/redis-cas.md,redis-cas.md,19,10,0,9,0
Markdown,docs/micro-services/choose-microservice-deployment-strategy.md,choose-microservice-deployment-strategy.md,111,58,0,53,0
Markdown,docs/distributed-system/distributed-transaction.md,distributed-transaction.md,133,78,0,55,0
Markdown,docs/micro-services/huifer-micro-service-governance.md,huifer-micro-service-governance.md,128,71,0,57,0
Markdown,docs/high-concurrency/es-production-cluster.md,es-production-cluster.md,23,13,0,10,0
Markdown,docs/high-concurrency/database-shard.md,database-shard.md,114,62,0,52,0
Markdown,docs/micro-services/huifer-what's-microservice-how-to-communicate.md,huifer-what's-microservice-how-to-communicate.md,291,230,0,61,0
Markdown,docs/high-concurrency/redis-data-types.md,redis-data-types.md,139,94,0,45,0
Markdown,docs/high-concurrency/README.md,README.md,74,56,0,18,0
Markdown,docs/distributed-system/dubbo-operating-principle.md,dubbo-operating-principle.md,41,27,0,14,0
Markdown,docs/distributed-system/dubbo-load-balancing.md,dubbo-load-balancing.md,114,65,0,49,0
Markdown,docs/distributed-system/distributed-session.md,distributed-session.md,138,100,0,38,0
Markdown,docs/high-concurrency/huifer-how-to-limit-current.md,huifer-how-to-limit-current.md,378,303,0,75,0
Markdown,docs/distributed-system/distributed-system-idempotency.md,distributed-system-idempotency.md,31,17,0,14,0
Markdown,docs/distributed-system/distributed-system-request-sequence.md,distributed-system-request-sequence.md,23,12,0,11,0
Markdown,docs/micro-services/migrating-from-a-monolithic-architecture-to-a-microservices-architecture.md,migrating-from-a-monolithic-architecture-to-a-microservices-architecture.md,82,43,0,39,0
Markdown,docs/high-concurrency/redis-persistence.md,redis-persistence.md,57,35,0,22,0
Markdown,docs/distributed-system/dubbo-service-management.md,dubbo-service-management.md,119,77,0,42,0
Markdown,docs/distributed-system/dubbo-spi.md,dubbo-spi.md,98,56,0,42,0
Markdown,docs/distributed-system/distributed-system-cap.md,distributed-system-cap.md,23,14,0,9,0
Markdown,docs/distributed-system/zookeeper-application-scenarios.md,zookeeper-application-scenarios.md,44,24,0,20,0
Markdown,docs/distributed-system/README.md,README.md,59,42,0,17,0
Markdown,docs/distributed-system/dubbo-rpc-design.md,dubbo-rpc-design.md,27,17,0,10,0
Markdown,docs/distributed-system/distributed-lock-redis-vs-zookeeper.md,distributed-lock-redis-vs-zookeeper.md,338,268,0,70,0
