Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
Jupyter,vacuum_world.ipynb,vacuum_world.ipynb,701,701,0,0,0
Jupyter,probability4e.ipynb,probability4e.ipynb,1381,1381,0,0,0
Jupyter,text.ipynb,text.ipynb,780,780,0,0,0
Plain Text,requirements.txt,requirements.txt,18,18,0,0,0
Python,probabilistic_learning.py,probabilistic_learning.py,154,122,24,8,3
Python,games4e.py,games4e.py,635,555,33,47,52
License,LICENSE,LICENSE,9,5,0,4,0
Python,nlp.py,nlp.py,569,560,4,5,4
Python,learning4e.py,learning4e.py,1039,985,49,5,6
Markdown,README.md,README.md,207,165,0,42,0
Jupyter,neural_nets.ipynb,neural_nets.ipynb,570,570,0,0,0
Python,logic4e.py,logic4e.py,1665,1601,50,14,3
Jupyter,search4e.ipynb,search4e.ipynb,2652,2652,0,0,0
gitignore,.gitignore,.gitignore,78,47,17,14,0
Jupyter,reinforcement_learning.ipynb,reinforcement_learning.ipynb,644,644,0,0,0
Markdown,CONTRIBUTING.md,CONTRIBUTING.md,111,76,0,35,0
Markdown,SUBMODULE.md,SUBMODULE.md,11,9,0,2,0
Jupyter,classical_planning_approaches.ipynb,classical_planning_approaches.ipynb,2402,2402,0,0,0
Python,utils.py,utils.py,790,777,5,8,8
Jupyter,improving_sat_algorithms.ipynb,improving_sat_algorithms.ipynb,2539,2539,0,0,0
Python,utils4e.py,utils4e.py,807,794,7,6,2
Python,ipyviews.py,ipyviews.py,157,152,2,3,2
Jupyter,planning_hierarchical_search.ipynb,planning_hierarchical_search.ipynb,546,546,0,0,0
Python,text.py,text.py,416,356,34,26,20
Jupyter,knowledge_current_best.ipynb,knowledge_current_best.ipynb,662,662,0,0,0
Python,mdp.py,mdp.py,492,475,12,5,7
Python,mdp4e.py,mdp4e.py,516,499,12,5,7
Python,probability.py,probability.py,870,852,8,10,2
Jupyter,nlp.ipynb,nlp.ipynb,1042,1042,0,0,0
Jupyter,arc_consistency_heuristics.ipynb,arc_consistency_heuristics.ipynb,1999,1999,0,0,0
Python,planning.py,planning.py,2010,1973,16,21,99
Jupyter,planning_angelic_search.ipynb,planning_angelic_search.ipynb,638,638,0,0,0
Jupyter,intro.ipynb,intro.ipynb,140,140,0,0,0
Jupyter,viterbi_algorithm.ipynb,viterbi_algorithm.ipynb,418,418,0,0,0
Python,search.py,search.py,1576,1559,12,5,2
Jupyter,planning_partial_order_planner.ipynb,planning_partial_order_planner.ipynb,850,850,0,0,0
Python,nlp4e.py,nlp4e.py,523,514,4,5,4
Jupyter,learning_apps.ipynb,learning_apps.ipynb,988,988,0,0,0
Python,knowledge.py,knowledge.py,422,346,34,42,61
YAML,.travis.yml,.travis.yml,23,17,0,6,0
Jupyter,index.ipynb,index.ipynb,68,68,0,0,0
Python,perception4e.py,perception4e.py,467,245,149,73,90
Jupyter,knowledge_FOIL.ipynb,knowledge_FOIL.ipynb,639,639,0,0,0
Python,making_simple_decision4e.py,making_simple_decision4e.py,168,162,2,4,1
Jupyter,mdp_apps.ipynb,mdp_apps.ipynb,1825,1825,0,0,0
Jupyter,search.ipynb,search.ipynb,6579,6579,0,0,0
Python,deep_learning4e.py,deep_learning4e.py,584,316,124,144,105
Jupyter,learning.ipynb,learning.ipynb,2264,2264,0,0,0
Python,games.py,games.py,590,529,25,36,39
Jupyter,knowledge_version_space.ipynb,knowledge_version_space.ipynb,1088,1088,0,0,0
Python,reinforcement_learning.py,reinforcement_learning.py,337,173,125,39,55
Jupyter,agents.ipynb,agents.ipynb,735,735,0,0,0
Jupyter,notebooks/chapter22/Introduction.ipynb,Introduction.ipynb,92,92,0,0,0
Jupyter,planning_graphPlan.ipynb,planning_graphPlan.ipynb,1066,1066,0,0,0
Python,logic.py,logic.py,2164,2103,47,14,1
Jupyter,games.ipynb,games.ipynb,1669,1669,0,0,0
Python,agents4e.py,agents4e.py,1089,1042,38,9,4
Python,probability4e.py,probability4e.py,776,754,9,13,2
Python,csp.py,csp.py,1435,1401,24,10,6
Jupyter,notebooks/chapter22/Parsing.ipynb,Parsing.ipynb,522,522,0,0,0
Jupyter,mdp.ipynb,mdp.ipynb,5483,5483,0,0,0
Jupyter,notebooks/chapter22/Grammar.ipynb,Grammar.ipynb,526,526,0,0,0
Python,notebook4e.py,notebook4e.py,1158,1017,38,103,81
Jupyter,notebooks/chapter21/Passive Reinforcement Learning.ipynb,Passive Reinforcement Learning.ipynb,424,424,0,0,0
Jupyter,notebooks/chapter21/Active Reinforcement Learning.ipynb,Active Reinforcement Learning.ipynb,212,212,0,0,0
Jupyter,notebooks/chapter22/nlp_apps.ipynb,nlp_apps.ipynb,1038,1038,0,0,0
Python,agents.py,agents.py,1070,1028,33,9,4
Jupyter,notebooks/chapter24/Objects in Images.ipynb,Objects in Images.ipynb,454,454,0,0,0
Jupyter,notebooks/chapter24/Image Segmentation.ipynb,Image Segmentation.ipynb,480,480,0,0,0
Jupyter,notebooks/chapter19/Learners.ipynb,Learners.ipynb,508,508,0,0,0
Python,tests/test_utils.py,test_utils.py,303,296,0,7,0
Python,gui/romania_problem.py,romania_problem.py,672,594,58,20,14
Jupyter,nlp_apps.ipynb,nlp_apps.ipynb,1038,1038,0,0,0
JavaScript,js/gridworld.js,gridworld.js,126,96,19,11,16
Python,reinforcement_learning4e.py,reinforcement_learning4e.py,353,173,133,47,55
Python,learning.py,learning.py,1253,1199,49,5,6
Jupyter,planning_total_order_planner.ipynb,planning_total_order_planner.ipynb,341,341,0,0,0
Jupyter,games4e.ipynb,games4e.ipynb,1667,1667,0,0,0
Jupyter,logic.ipynb,logic.ipynb,5004,5004,0,0,0
Jupyter,notebooks/chapter24/Image Edge Detection.ipynb,Image Edge Detection.ipynb,408,408,0,0,0
Makefile,images/makefile,makefile,34,20,1,13,0
Jupyter,obsolete_search4e.ipynb,obsolete_search4e.ipynb,3835,3835,0,0,0
SVG,images/dirt.svg,dirt.svg,291,290,1,0,0
SVG,images/vacuum.svg,vacuum.svg,150,149,1,0,0
Python,notebook.py,notebook.py,1122,993,31,98,79
Python,tests/test_reinforcement_learning4e.py,test_reinforcement_learning4e.py,69,41,10,18,9
Python,tests/test_perception4e.py,test_perception4e.py,87,63,1,23,2
Python,tests/test_agents4e.py,test_agents4e.py,386,237,69,80,38
JavaScript,js/continuousworld.js,continuousworld.js,71,68,3,0,6
JavaScript,js/canvas.js,canvas.js,135,97,20,18,10
Jupyter,notebooks/chapter19/Loss Functions and Layers.ipynb,Loss Functions and Layers.ipynb,398,398,0,0,0
Jupyter,notebooks/chapter19/RNN.ipynb,RNN.ipynb,487,487,0,0,0
Jupyter,csp.ipynb,csp.ipynb,3084,3084,0,0,0
Jupyter,notebooks/chapter19/Optimizer and Backpropagation.ipynb,Optimizer and Backpropagation.ipynb,311,311,0,0,0
Python,tests/test_csp.py,test_csp.py,662,483,2,177,79
Python,gui/tic-tac-toe.py,tic-tac-toe.py,232,228,1,3,0
Python,gui/vacuum_agent.py,vacuum_agent.py,154,148,1,5,0
Python,gui/xy_vacuum_environment.py,xy_vacuum_environment.py,191,174,8,9,16
Python,gui/genetic_algorithm_example.py,genetic_algorithm_example.py,189,154,15,20,12
Python,tests/test_nlp4e.py,test_nlp4e.py,139,96,2,41,11
Python,tests/test_games4e.py,test_games4e.py,96,90,1,5,1
Python,tests/test_learning4e.py,test_learning4e.py,127,97,0,30,7
Python,gui/tsp.py,tsp.py,342,282,19,41,26
Python,tests/__init__.py,__init__.py,0,0,0,0,0
Python,tests/test_games.py,test_games.py,69,63,1,5,1
SVG,images/search_animal.svg,search_animal.svg,1533,1531,1,1,0
Python,gui/grid_mdp.py,grid_mdp.py,676,489,32,155,100
Python,tests/test_logic.py,test_logic.py,389,384,0,5,3
Python,tests/test_deep_learning4e.py,test_deep_learning4e.py,80,58,0,22,9
Python,tests/test_search.py,test_search.py,396,287,20,89,45
Python,tests/test_agents.py,test_agents.py,387,237,69,81,38
Python,tests/test_logic4e.py,test_logic4e.py,359,355,0,4,3
Jupyter,planning.ipynb,planning.ipynb,3867,3867,0,0,0
Python,tests/test_mdp4e.py,test_mdp4e.py,176,139,0,37,12
Python,tests/test_probability4e.py,test_probability4e.py,349,310,4,35,2
Python,tests/test_probabilistic_learning.py,test_probabilistic_learning.py,38,28,3,7,1
Python,tests/test_learning.py,test_learning.py,157,123,0,34,7
Python,tests/test_reinforcement_learning.py,test_reinforcement_learning.py,71,43,10,18,9
Python,tests/test_knowledge.py,test_knowledge.py,285,208,27,50,26
Python,gui/eight_puzzle.py,eight_puzzle.py,151,126,5,20,8
Jupyter,probability.ipynb,probability.ipynb,6536,6536,0,0,0
Python,tests/test_text.py,test_text.py,293,273,4,16,4
Python,tests/test_probability.py,test_probability.py,437,386,11,40,19
Python,tests/test_nlp.py,test_nlp.py,273,231,4,38,12
Python,tests/test_mdp.py,test_mdp.py,168,131,0,37,12
Python,tests/test_planning.py,test_planning.py,774,625,9,140,125
