Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
Shell,as-package.sh,as-package.sh,49,25,9,15,3
License,LICENSE,LICENSE,202,169,0,33,0
Batch,mvnw.cmd,mvnw.cmd,161,129,0,32,22
Dockerfile,Dockerfile,Dockerfile,22,14,4,4,6
Markdown,TODO.md,TODO.md,23,22,0,1,0
Markdown,README_EN.md,README_EN.md,1,1,0,0,0
YAML,katacoda.yaml,katacoda.yaml,1,1,0,0,0
gitignore,.gitignore,.gitignore,23,20,0,3,0
Markdown,CONTRIBUTING.md,CONTRIBUTING.md,170,104,0,66,0
XML,pom.xml,pom.xml,357,337,1,19,0
Markdown,README_CN.md,README_CN.md,535,422,0,113,0
Markdown,README.md,README.md,541,427,0,114,0
YAML,.travis.yml,.travis.yml,65,48,8,9,0
ActionScript,batch.as,batch.as,3,3,0,0,0
Shell,mvnw,mvnw,286,205,55,26,34
XML,bytekit/pom.xml,pom.xml,92,80,1,11,0
XML,tunnel-client/pom.xml,pom.xml,72,66,0,6,0
XML,client/pom.xml,pom.xml,75,71,0,4,0
Java,tunnel-client/src/main/java/com/alibaba/arthas/tunnel/client/ForwardClientSocketClientHandler.java,ForwardClientSocketClientHandler.java,137,115,5,17,6
Java,tunnel-client/src/main/java/com/alibaba/arthas/tunnel/client/TunnelClient.java,TunnelClient.java,164,126,9,29,20
Java,bytekit/src/main/java/com/taobao/arthas/bytekit/utils/InstanceUtils.java,InstanceUtils.java,13,10,0,3,0
Java,bytekit/src/main/java/com/taobao/arthas/bytekit/utils/MethodUtils.java,MethodUtils.java,5,3,0,2,0
Java,bytekit/src/main/java/com/taobao/arthas/bytekit/utils/AsmAnnotationUtils.java,AsmAnnotationUtils.java,77,62,6,9,20
Java,bytekit/src/main/java/com/taobao/arthas/bytekit/utils/AsmUtils.java,AsmUtils.java,586,455,60,71,100
Java,bytekit/src/main/java/com/taobao/arthas/bytekit/utils/VerifyUtils.java,VerifyUtils.java,74,54,5,15,2
Java,tunnel-client/src/main/java/com/alibaba/arthas/tunnel/client/LocalFrameHandler.java,LocalFrameHandler.java,48,38,0,10,3
Java,bytekit/src/main/java/com/taobao/arthas/bytekit/utils/ClassLoaderUtils.java,ClassLoaderUtils.java,48,32,8,8,2
Java,client/src/main/java/org/apache/commons/net/MalformedServerReplyException.java,MalformedServerReplyException.java,56,14,34,8,0
Java,bytekit/src/main/java/com/taobao/arthas/bytekit/utils/Decompiler.java,Decompiler.java,152,105,15,32,4
Java,tunnel-client/src/main/java/com/alibaba/arthas/tunnel/client/RelayHandler.java,RelayHandler.java,43,35,0,8,3
XML,site/pom.xml,pom.xml,56,54,0,2,0
Java,bytekit/src/main/java/com/taobao/arthas/bytekit/asm/TryCatchBlock.java,TryCatchBlock.java,66,52,2,12,5
Java,bytekit/src/main/java/com/taobao/arthas/bytekit/utils/MatchUtils.java,MatchUtils.java,169,97,54,18,51
Java,client/src/main/java/com/taobao/arthas/client/TelnetConsole.java,TelnetConsole.java,456,338,56,62,42
Java,tunnel-client/src/main/java/com/alibaba/arthas/tunnel/client/ChannelUtils.java,ChannelUtils.java,20,13,3,4,1
Markdown,bytekit/README.md,README.md,222,168,0,54,0
Java,bytekit/src/main/java/com/taobao/arthas/bytekit/asm/ClassLoaderAwareClassWriter.java,ClassLoaderAwareClassWriter.java,56,37,14,5,6
Java,tunnel-client/src/main/java/com/alibaba/arthas/tunnel/client/ForwardClient.java,ForwardClient.java,116,95,6,15,18
Markdown,tutorials/katacoda/README.md,README.md,37,21,0,16,0
Markdown,site/src/site/sphinx/agent.md,agent.md,15,9,0,6,0
Java,bytekit/src/main/java/com/taobao/arthas/bytekit/asm/matcher/MethodMatcher.java,MethodMatcher.java,8,5,0,3,0
Java,bytekit/src/main/java/com/taobao/arthas/bytekit/asm/binding/BindingContext.java,BindingContext.java,41,31,0,10,0
