Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
YAML,archive.yaml,archive.yaml,29,29,0,0,0
YAML,revisit.yaml,revisit.yaml,72,72,0,0,0
Markdown,TODO.md,TODO.md,221,187,0,34,0
gitignore,.gitignore,.gitignore,53,34,8,11,0
Markdown,CONTRIBUTING.md,CONTRIBUTING.md,172,132,0,40,0
Markdown,templates/README.tmpl.md,README.tmpl.md,46,31,0,15,0
XML,templates/atom.xml,atom.xml,40,37,0,3,0
YAML,.github/workflows/workflow.yml,workflow.yml,22,21,0,1,0
Markdown,templates/BY_PLATFORM.tmpl.md,BY_PLATFORM.tmpl.md,36,24,0,12,0
Markdown,.github/ISSUE_TEMPLATE.md,ISSUE_TEMPLATE.md,54,35,0,19,0
Markdown,.github/PULL_REQUEST_TEMPLATE.md,PULL_REQUEST_TEMPLATE.md,39,26,0,13,0
Markdown,README.md,README.md,583,514,0,69,0
Markdown,BY_PLATFORM.md,BY_PLATFORM.md,811,774,0,37,0
CSV,notebooks/apatite_export_20191002.csv,apatite_export_20191002.csv,361,361,0,0,0
YAML,projects.yaml,projects.yaml,4133,4020,110,3,0
XML,atom.xml,atom.xml,10149,8955,0,1194,0
Jupyter,notebooks/apa_basic_breakdowns.ipynb,apa_basic_breakdowns.ipynb,11049,11049,0,0,0
