Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
YAML,mkdocs.yml,mkdocs.yml,26,26,0,0,0
Plain Text,requirements.txt,requirements.txt,2,2,0,0,0
License,LICENSE,LICENSE,3,2,0,1,0
Makefile,Makefile,Makefile,14,10,0,4,0
YAML,.travis.yml,.travis.yml,18,15,0,3,0
gitignore,.gitignore,.gitignore,9,5,1,3,0
Python,sort.py,sort.py,83,62,17,4,6
Markdown,.github/PULL_REQUEST_TEMPLATE.md,PULL_REQUEST_TEMPLATE.md,11,6,0,5,0
Markdown,CONTRIBUTING.md,CONTRIBUTING.md,20,16,0,4,0
Markdown,.github/ISSUE_TEMPLATE/add-new-library-to-this-list.md,add-new-library-to-this-list.md,10,8,0,2,0
Markdown,.github/ISSUE_TEMPLATE/add-xxx.md,add-xxx.md,10,8,0,2,0
Markdown,README.md,README.md,1355,1068,0,287,0
CSS,docs/css/extra.css,extra.css,9,8,0,1,0
