Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
Markdown,README.md,README.md,72,53,0,19,0
XML,pom.xml,pom.xml,151,140,0,11,0
License,LICENSE,LICENSE,202,169,0,33,0
Markdown,CHANGELOG.md,CHANGELOG.md,400,262,0,138,0
Markdown,UserGuide.md,UserGuide.md,670,492,0,178,0
gitignore,.gitignore,.gitignore,22,18,0,4,0
Gradle,build.gradle,build.gradle,12,10,0,2,0
Markdown,ReleaseProcess.md,ReleaseProcess.md,59,45,0,14,0
Gradle,settings.gradle,settings.gradle,1,1,0,0,0
Shell,gradlew,gradlew,172,133,21,18,19
Batch,gradlew.bat,gradlew.bat,84,61,0,23,20
YAML,.travis.yml,.travis.yml,20,14,0,6,0
Markdown,GsonDesignDocument.md,GsonDesignDocument.md,57,29,0,28,0
XML,gson/pom.xml,pom.xml,74,70,0,4,0
License,gson/LICENSE,LICENSE,203,170,0,33,0
gitignore,proto/.gitignore,.gitignore,1,1,0,0,0
XML,proto/pom.xml,pom.xml,218,198,11,9,0
Properties File,examples/android-proguard-example/default.properties,default.properties,12,2,9,1,0
Java,codegen/src/test/java/com/google/gson/codegen/functional/CodeGenFunctionalTest.java,CodeGenFunctionalTest.java,26,7,16,3,0
Java,gson/src/main/java/com/google/gson/JsonIOException.java,JsonIOException.java,45,13,28,4,0
Java,gson/src/main/java/com/google/gson/JsonSerializer.java,JsonSerializer.java,89,5,80,4,0
Java,gson/src/main/java/com/google/gson/FieldAttributes.java,FieldAttributes.java,161,41,107,13,1
Java,examples/android-proguard-example/src/com/google/gson/examples/android/model/Cart.java,Cart.java,108,76,20,12,15
XML,examples/android-proguard-example/res/layout/main.xml,main.xml,12,10,0,2,0
XML,extras/pom.xml,pom.xml,191,189,2,0,0
Java,gson/src/main/java/com/google/gson/JsonSyntaxException.java,JsonSyntaxException.java,47,13,29,5,0
Java,gson/src/main/java/com/google/gson/JsonSerializationContext.java,JsonSerializationContext.java,49,6,38,5,0
Java,gson/src/main/java/com/google/gson/TypeAdapter.java,TypeAdapter.java,290,70,208,12,5
Java,gson/src/main/java/com/google/gson/JsonParser.java,JsonParser.java,112,57,46,9,3
Java,gson/src/main/java/com/google/gson/JsonPrimitive.java,JsonPrimitive.java,295,136,131,28,31
XML,examples/android-proguard-example/AndroidManifest.xml,AndroidManifest.xml,21,21,0,0,0
Java,codegen/src/test/java/com/google/gson/codegen/functional/Order.java,Order.java,37,17,15,5,0
Java,gson/src/main/java/com/google/gson/JsonParseException.java,JsonParseException.java,64,13,46,5,0
Java,extras/src/main/java/com/google/gson/extras/examples/rawcollections/RawCollectionsExample.java,RawCollectionsExample.java,55,36,15,4,0
Java,proto/src/main/java/com/google/gson/protobuf/ProtoTypeAdapter.java,ProtoTypeAdapter.java,417,253,131,33,39
Java,gson/src/test/java/com/google/gson/VersionExclusionStrategyTest.java,VersionExclusionStrategyTest.java,55,27,20,8,0
Java,proto/src/test/java/com/google/gson/protobuf/functional/ProtosWithComplexAndRepeatedFieldsTest.java,ProtosWithComplexAndRepeatedFieldsTest.java,101,73,20,8,0
YAML,.github/workflows/gradle-wrapper-validation.yml,gradle-wrapper-validation.yml,10,9,0,1,0
Java,gson/src/main/java/com/google/gson/Gson.java,Gson.java,1040,559,416,65,63
Java,proto/src/test/java/com/google/gson/protobuf/functional/ProtosWithPrimitiveTypesTest.java,ProtosWithPrimitiveTypesTest.java,76,51,15,10,0
Java,proto/src/test/java/com/google/gson/protobuf/functional/ProtosWithAnnotationsTest.java,ProtosWithAnnotationsTest.java,227,185,28,14,0
Java,extras/src/main/java/com/google/gson/typeadapters/PostConstructAdapterFactory.java,PostConstructAdapterFactory.java,76,51,16,9,9
Java,extras/src/main/java/com/google/gson/typeadapters/RuntimeTypeAdapterFactory.java,RuntimeTypeAdapterFactory.java,277,115,143,19,24
Java,extras/src/main/java/com/google/gson/graph/GraphAdapterBuilder.java,GraphAdapterBuilder.java,308,192,82,34,36
Java,examples/android-proguard-example/src/com/google/gson/examples/android/GsonProguardExampleActivity.java,GsonProguardExampleActivity.java,60,35,20,5,0
Java,gson/src/test/java/com/google/gson/JsonStreamParserTest.java,JsonStreamParserTest.java,74,44,20,10,0
Java,extras/src/main/java/com/google/gson/interceptors/JsonPostDeserializer.java,JsonPostDeserializer.java,33,5,25,3,0
Java,extras/src/main/java/com/google/gson/interceptors/InterceptorFactory.java,InterceptorFactory.java,49,39,3,7,2
Java,extras/src/main/java/com/google/gson/interceptors/Intercept.java,Intercept.java,64,11,48,5,0
Java,codegen/src/main/java/com/google/gson/codegen/GeneratedTypeAdapter.java,GeneratedTypeAdapter.java,21,4,15,2,0
Java,extras/src/main/java/com/google/gson/typeadapters/UtcDateTypeAdapter.java,UtcDateTypeAdapter.java,282,186,72,24,43
Java,codegen/src/main/java/com/google/gson/codegen/CodeGen.java,CodeGen.java,53,29,18,6,2
Java,codegen/src/main/java/com/google/gson/codegen/GeneratedTypeAdapterProcessor.java,GeneratedTypeAdapterProcessor.java,61,39,15,7,1
Java,gson/src/main/java/com/google/gson/InstanceCreator.java,InstanceCreator.java,92,5,83,4,0
XML,metrics/pom.xml,pom.xml,141,141,0,0,0
Java,gson/src/main/java/com/google/gson/TypeAdapterFactory.java,TypeAdapterFactory.java,170,5,161,4,0
Gradle,gson/build.gradle,build.gradle,13,10,0,3,0
Java,examples/android-proguard-example/src/com/google/gson/examples/android/model/LineItem.java,LineItem.java,57,30,20,7,0
Java,gson/src/main/java/module-info.java,module-info.java,12,7,4,1,0
Java,codegen/src/main/java/com/google/gson/codegen/JavaWriter.java,JavaWriter.java,443,305,98,40,72
Java,gson/src/main/java/com/google/gson/JsonDeserializer.java,JsonDeserializer.java,91,6,81,4,0
Java,gson/src/main/java-templates/com/google/gson/internal/GsonBuildConfig.java,GsonBuildConfig.java,32,5,23,4,0
XML,lib/gson-cleanup-styles.xml,gson-cleanup-styles.xml,51,51,0,0,0
Properties File,gradle/wrapper/gradle-wrapper.properties,gradle-wrapper.properties,6,5,1,0,0
Java,gson/src/main/java/com/google/gson/annotations/SerializedName.java,SerializedName.java,93,13,76,4,0
Java,gson/src/test/java/com/google/gson/ObjectTypeAdapterTest.java,ObjectTypeAdapterTest.java,63,42,15,6,0
XML,codegen/pom.xml,pom.xml,182,180,2,0,0
Java,gson/src/test/java/com/google/gson/GenericArrayTypeTest.java,GenericArrayTypeTest.java,57,27,21,9,0
Java,gson/src/main/java/com/google/gson/annotations/Since.java,Since.java,63,12,48,3,0
Java,gson/src/main/java/com/google/gson/annotations/JsonAdapter.java,JsonAdapter.java,104,15,83,6,0
Java,gson/src/test/java/com/google/gson/GsonBuilderTest.java,GsonBuilderTest.java,87,56,20,11,1
Java,gson/src/main/java/com/google/gson/JsonArray.java,JsonArray.java,393,163,196,34,35
Protocol Buffers,proto/src/main/protobuf/bag.proto,bag.proto,70,43,16,11,0
XML,examples/android-proguard-example/res/values/strings.xml,strings.xml,5,4,0,1,0
Java,gson/src/main/java/com/google/gson/JsonStreamParser.java,JsonStreamParser.java,122,51,62,9,2
Java,gson/src/test/java/com/google/gson/GsonTest.java,GsonTest.java,80,48,21,11,0
Java,gson/src/main/java/com/google/gson/package-info.java,package-info.java,11,1,10,0,0
Java,gson/src/test/java/com/google/gson/LongSerializationPolicyTest.java,LongSerializationPolicyTest.java,64,34,21,9,0
Java,gson/src/main/java/com/google/gson/FieldNamingStrategy.java,FieldNamingStrategy.java,40,5,31,4,0
Java,gson/src/main/java/com/google/gson/DefaultDateTypeAdapter.java,DefaultDateTypeAdapter.java,165,119,29,17,29
Java,gson/src/main/java/com/google/gson/JsonElement.java,JsonElement.java,322,95,203,24,4
Java,gson/src/test/java/com/google/gson/PrimitiveTypeAdapter.java,PrimitiveTypeAdapter.java,73,45,23,5,8
Java,gson/src/main/java/com/google/gson/ExclusionStrategy.java,ExclusionStrategy.java,109,5,100,4,0
Java,gson/src/test/java/com/google/gson/JavaSerializationTest.java,JavaSerializationTest.java,75,47,21,7,0
Java,gson/src/test/java/com/google/gson/JsonPrimitiveTest.java,JsonPrimitiveTest.java,274,208,23,43,0
Java,gson/src/main/java/com/google/gson/annotations/Until.java,Until.java,68,12,52,4,0
Java,gson/src/test/java/com/google/gson/JsonArrayTest.java,JsonArrayTest.java,102,67,18,17,0
Java,gson/src/main/java/com/google/gson/reflect/package-info.java,package-info.java,6,1,5,0,0
Java,gson/src/main/java/com/google/gson/stream/JsonScope.java,JsonScope.java,71,11,50,10,0
Java,metrics/src/main/java/com/google/gson/metrics/BagOfPrimitivesDeserializationBenchmark.java,BagOfPrimitivesDeserializationBenchmark.java,123,81,33,9,21
Java,gson/src/test/java/com/google/gson/JsonObjectTest.java,JsonObjectTest.java,201,128,29,44,0
Java,gson/src/main/java/com/google/gson/internal/$Gson$Preconditions.java,$Gson$Preconditions.java,49,17,28,4,3
Java,gson/src/main/java/com/google/gson/stream/JsonToken.java,JsonToken.java,85,13,60,12,0
Java,gson/src/main/java/com/google/gson/internal/JavaVersion.java,JavaVersion.java,92,54,28,10,11
Java,gson/src/main/java/com/google/gson/stream/MalformedJsonException.java,MalformedJsonException.java,44,15,23,6,0
Java,gson/src/main/java/com/google/gson/internal/Excluder.java,Excluder.java,260,194,29,37,45
Java,gson/src/main/java/com/google/gson/internal/ConstructorConstructor.java,ConstructorConstructor.java,238,192,28,18,32
Java,gson/src/main/java/com/google/gson/annotations/package-info.java,package-info.java,6,1,5,0,0
Java,gson/src/test/java/com/google/gson/JsonParserTest.java,JsonParserTest.java,119,82,20,17,0
Protocol Buffers,proto/src/main/protobuf/annotations.proto,annotations.proto,32,10,17,5,0
Java,extras/src/test/java/com/google/gson/interceptors/InterceptorTest.java,InterceptorTest.java,171,133,20,18,14
Java,gson/src/main/java/com/google/gson/JsonNull.java,JsonNull.java,67,19,42,6,2
Java,gson/src/main/java/com/google/gson/stream/JsonWriter.java,JsonWriter.java,658,318,286,54,75
Java,gson/src/main/java/com/google/gson/annotations/Expose.java,Expose.java,81,13,63,5,0
Java,extras/src/test/java/com/google/gson/typeadapters/PostConstructAdapterFactoryTest.java,PostConstructAdapterFactoryTest.java,112,79,16,17,18
Java,gson/src/main/java/com/google/gson/LongSerializationPolicy.java,LongSerializationPolicy.java,58,14,40,4,0
Java,gson/src/main/java/com/google/gson/internal/$Gson$Types.java,$Gson$Types.java,610,410,111,89,135
Java,gson/src/main/java/com/google/gson/JsonDeserializationContext.java,JsonDeserializationContext.java,44,5,35,4,0
Java,gson/src/main/java/com/google/gson/JsonObject.java,JsonObject.java,205,67,117,21,9
Java,gson/src/main/java/com/google/gson/reflect/TypeToken.java,TypeToken.java,320,176,109,35,34
Java,extras/src/test/java/com/google/gson/typeadapters/RuntimeTypeAdapterFactoryTest.java,RuntimeTypeAdapterFactoryTest.java,211,174,15,22,0
Java,gson/src/test/java/com/google/gson/GsonTypeAdapterTest.java,GsonTypeAdapterTest.java,148,108,22,18,2
Java,gson/src/main/java/com/google/gson/FieldNamingPolicy.java,FieldNamingPolicy.java,178,60,104,14,9
Java,gson/src/main/java/com/google/gson/internal/PreJava9DateFormatProvider.java,PreJava9DateFormatProvider.java,86,54,25,7,3
Java,gson/src/main/java/com/google/gson/internal/LazilyParsedNumber.java,LazilyParsedNumber.java,96,59,26,11,5
Java,gson/src/main/java/com/google/gson/internal/ObjectConstructor.java,ObjectConstructor.java,33,4,26,3,0
Java,extras/src/test/java/com/google/gson/graph/GraphAdapterBuilderTest.java,GraphAdapterBuilderTest.java,197,165,15,17,0
Java,gson/src/main/java/com/google/gson/internal/UnsafeAllocator.java,UnsafeAllocator.java,123,74,41,8,2
Java,gson/src/main/java/com/google/gson/internal/JsonReaderInternalAccess.java,JsonReaderInternalAccess.java,32,7,21,4,0
Java,extras/src/test/java/com/google/gson/typeadapters/UtcDateTypeAdapterTest.java,UtcDateTypeAdapterTest.java,89,58,20,11,1
Java,gson/src/main/java/com/google/gson/stream/JsonReader.java,JsonReader.java,1611,1127,390,94,323
Java,gson/src/main/java/com/google/gson/internal/Streams.java,Streams.java,120,71,36,13,1
Java,gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java,LinkedTreeMap.java,630,441,104,85,133
Java,gson/src/test/java/com/google/gson/CommentsTest.java,CommentsTest.java,45,19,21,5,0
Java,gson/src/main/java/com/google/gson/GsonBuilder.java,GsonBuilder.java,627,218,373,36,22
Java,gson/src/test/java/com/google/gson/FieldAttributesTest.java,FieldAttributesTest.java,83,48,21,14,0
Java,gson/src/test/java/com/google/gson/ParameterizedTypeFixtures.java,ParameterizedTypeFixtures.java,177,129,32,16,27
Java,gson/src/test/java/com/google/gson/ParameterizedTypeTest.java,ParameterizedTypeTest.java,57,28,21,8,0
Java,gson/src/test/java/com/google/gson/JsonNullTest.java,JsonNullTest.java,40,17,18,5,0
Java,gson/src/test/java/com/google/gson/OverrideCoreTypeAdaptersTest.java,OverrideCoreTypeAdaptersTest.java,77,52,18,7,1
XML,lib/gson-formatting-styles.xml,gson-formatting-styles.xml,267,267,0,0,0
Java,gson/src/main/java/com/google/gson/internal/Primitives.java,Primitives.java,100,45,48,7,54
Java,metrics/src/main/java/com/google/gson/metrics/SerializationBenchmark.java,SerializationBenchmark.java,53,25,22,6,1
Java,gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java,LinkedHashTreeMap.java,864,593,169,102,173
Java,gson/src/test/java/com/google/gson/ExposeAnnotationExclusionStrategyTest.java,ExposeAnnotationExclusionStrategyTest.java,89,52,20,17,0
Java,gson/src/test/java/com/google/gson/DefaultInetAddressTypeAdapterTest.java,DefaultInetAddressTypeAdapterTest.java,45,18,20,7,0
Java,gson/src/test/java/com/google/gson/DefaultDateTypeAdapterTest.java,DefaultDateTypeAdapterTest.java,205,163,20,22,0
Java,gson/src/test/java/com/google/gson/InnerClassExclusionStrategyTest.java,InnerClassExclusionStrategyTest.java,58,29,20,9,0
Java,gson/src/test/java/com/google/gson/MockExclusionStrategy.java,MockExclusionStrategy.java,43,17,21,5,0
Java,metrics/src/main/java/com/google/gson/metrics/BagOfPrimitives.java,BagOfPrimitives.java,88,60,20,8,17
Java,gson/src/test/java/com/google/gson/DefaultMapJsonSerializerTest.java,DefaultMapJsonSerializerTest.java,64,35,21,8,0
Java,gson/src/test/java/com/google/gson/common/MoreAsserts.java,MoreAsserts.java,52,20,26,6,2
Java,gson/src/test/java/com/google/gson/MixedStreamTest.java,MixedStreamTest.java,239,190,16,33,3
Java,gson/src/test/java/com/google/gson/reflect/TypeTokenTest.java,TypeTokenTest.java,105,64,25,16,0
Java,gson/src/main/java/com/google/gson/internal/reflect/UnsafeReflectionAccessor.java,UnsafeReflectionAccessor.java,86,54,24,8,5
Java,gson/src/test/java/com/google/gson/internal/reflect/UnsafeReflectionAccessorTest.java,UnsafeReflectionAccessorTest.java,51,25,20,6,0
Java,gson/src/test/java/com/google/gson/regression/JsonAdapterNullSafeTest.java,JsonAdapterNullSafeTest.java,61,36,17,8,4
Java,metrics/src/main/java/com/google/gson/metrics/CollectionsDeserializationBenchmark.java,CollectionsDeserializationBenchmark.java,140,100,31,9,22
Java,gson/src/test/java/com/google/gson/metrics/PerformanceTest.java,PerformanceTest.java,346,262,47,37,22
Java,metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java,ParseBenchmark.java,389,331,22,36,10
Java,gson/src/test/java/com/google/gson/internal/bind/util/ISO8601UtilsTest.java,ISO8601UtilsTest.java,101,89,0,12,0
Java,gson/src/main/java/com/google/gson/internal/package-info.java,package-info.java,7,1,6,0,0
Java,gson/src/main/java/com/google/gson/internal/bind/TimeTypeAdapter.java,TimeTypeAdapter.java,66,39,21,6,4
