Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
Plain Text,cycle_whitelist.txt,cycle_whitelist.txt,52,46,0,6,0
XML,pom.xml,pom.xml,377,365,11,1,0
License,COPYING,COPYING,202,169,0,33,0
Markdown,README.md,README.md,128,94,0,34,0
gitignore,.gitignore,.gitignore,20,13,4,3,0
Markdown,CONTRIBUTING.md,CONTRIBUTING.md,86,66,0,20,0
CSS,javadoc-stylesheet.css,javadoc-stylesheet.css,491,449,39,3,0
YAML,.travis.yml,.travis.yml,42,31,1,10,0
Shell,util/print_surefire_reports.sh,print_surefire_reports.sh,14,7,4,3,1
XML,android/guava-testlib/pom.xml,pom.xml,88,85,3,0,0
Java,guava/src/com/google/common/annotations/VisibleForTesting.java,VisibleForTesting.java,32,4,26,2,0
Java,guava/src/com/google/common/annotations/GwtIncompatible.java,GwtIncompatible.java,47,13,31,3,0
Java,android/guava/src/com/google/common/annotations/package-info.java,package-info.java,19,1,17,1,0
Java,guava/src/com/google/common/annotations/Beta.java,Beta.java,47,17,27,3,0
Java,guava/src/com/google/common/annotations/GwtCompatible.java,GwtCompatible.java,86,14,67,5,0
Java,guava/src/com/google/common/annotations/package-info.java,package-info.java,19,1,17,1,0
XML,futures/listenablefuture9999/pom.xml,pom.xml,56,54,0,2,0
Java,android/guava-tests/test/com/google/common/xml/XmlEscapersTest.java,XmlEscapersTest.java,123,80,33,10,27
Java,android/guava-tests/test/com/google/common/html/HtmlEscapersTest.java,HtmlEscapersTest.java,63,27,25,11,0
Java,android/guava-tests/test/com/google/common/math/BigDecimalMathTest.java,BigDecimalMathTest.java,270,214,24,32,5
Java,futures/listenablefuture1/src/com/google/common/util/concurrent/ListenableFuture.java,ListenableFuture.java,139,9,127,3,0
Java,android/guava-tests/test/com/google/common/math/PairedStatsTest.java,PairedStatsTest.java,349,300,28,21,10
Java,android/guava-tests/test/com/google/common/math/MathTesting.java,MathTesting.java,302,224,49,29,18
Java,guava/src/com/google/common/primitives/Floats.java,Floats.java,677,346,274,57,51
Java,android/guava-tests/test/com/google/common/math/DoubleMathTest.java,DoubleMathTest.java,822,705,31,86,83
Java,android/guava-tests/test/com/google/common/primitives/UnsignedLongTest.java,UnsignedLongTest.java,281,238,18,25,34
Java,android/guava-tests/test/com/google/common/graph/StandardMutableDirectedNetworkTest.java,StandardMutableDirectedNetworkTest.java,79,53,16,10,0
Java,android/guava-tests/test/com/google/common/graph/ImmutableNetworkTest.java,ImmutableNetworkTest.java,147,101,21,25,0
Java,android/guava-tests/test/com/google/common/math/IntMathTest.java,IntMathTest.java,775,641,60,74,102
Java,android/guava-tests/test/com/google/common/graph/NetworkEquivalenceTest.java,NetworkEquivalenceTest.java,191,128,28,35,3
Java,android/guava-tests/test/com/google/common/graph/StandardImmutableGraphAdditionalTest.java,StandardImmutableGraphAdditionalTest.java,130,82,23,25,0
Java,android/guava-tests/test/com/google/common/graph/AbstractStandardDirectedGraphTest.java,AbstractStandardDirectedGraphTest.java,481,360,39,82,0
Java,refactorings/CharMatcherRewrite.java,CharMatcherRewrite.java,181,135,19,27,0
XML,guava-bom/pom.xml,pom.xml,57,50,0,7,0
Java,guava/src/com/google/thirdparty/publicsuffix/PublicSuffixType.java,PublicSuffixType.java,69,32,26,11,5
Java,guava/src/com/google/common/base/Joiner.java,Joiner.java,478,239,196,43,12
Shell,util/set_version.sh,set_version.sh,14,9,1,4,1
Java,refactorings/TraverserRewrite.java,TraverserRewrite.java,103,71,19,13,0
XML,android/guava-tests/pom.xml,pom.xml,125,125,0,0,0
Shell,util/deploy_snapshot.sh,deploy_snapshot.sh,22,14,2,6,8
Java,guava/src/com/google/common/base/Preconditions.java,Preconditions.java,1434,581,765,88,119
XML,guava/pom.xml,pom.xml,252,232,18,2,0
XML,util/settings.xml,settings.xml,11,11,0,0,0
Markdown,futures/README.md,README.md,2,2,0,0,0
XML,android/guava/pom.xml,pom.xml,252,232,18,2,0
Shell,util/update_snapshot_docs.sh,update_snapshot_docs.sh,25,15,2,8,8
Java,android/guava/src/com/google/common/base/Preconditions.java,Preconditions.java,1491,638,765,88,119
XML,android/pom.xml,pom.xml,368,355,12,1,0
XML,futures/listenablefuture1/pom.xml,pom.xml,56,54,0,2,0
Java,android/guava-tests/test/com/google/common/math/PackageSanityTests.java,PackageSanityTests.java,31,7,20,4,0
Java,android/guava-tests/test/com/google/common/math/QuantilesAlgorithmTest.java,QuantilesAlgorithmTest.java,89,60,19,10,5
Java,guava/src/com/google/thirdparty/publicsuffix/TrieParser.java,TrieParser.java,102,56,35,11,30
Java,android/guava-tests/test/com/google/common/math/DoubleUtilsTest.java,DoubleUtilsTest.java,82,53,20,9,5
Java,android/guava-tests/test/com/google/common/math/TestPlatform.java,TestPlatform.java,31,11,16,4,0
Java,android/guava/src/com/google/common/annotations/GwtCompatible.java,GwtCompatible.java,86,14,67,5,0
Java,android/guava-tests/test/com/google/common/math/StatsTesting.java,StatsTesting.java,505,380,73,52,20
