Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
Markdown,README.md,README.md,193,142,0,51,0
Markdown,English_names/readme.md,readme.md,41,28,0,13,0
Python,CaiXuKun/CaiXuKun/__init__.py,__init__.py,1,0,0,1,0
Markdown,Earthquake/readme.md,readme.md,2,2,0,0,0
Markdown,Airplane/readme.md,readme.md,1,1,0,0,0
Python,CaiXuKun/CaiXuKun/spiders/__init__.py,__init__.py,4,0,4,0,0
Markdown,Liziqi/readme.md,readme.md,1,1,0,0,0
Python,Liziqi/get_author_info.py,get_author_info.py,85,80,0,5,2
Python,Liziqi/get_comments.py,get_comments.py,78,74,0,4,0
Python,shixiseng/font_decode.py,font_decode.py,152,119,14,19,10
Markdown,PUBG-juediqiusheng-data_analysis/readme.md,readme.md,46,34,0,12,0
Plain Text,Baidu_Robin/stopwords.txt,stopwords.txt,1473,1473,0,0,0
Python,Roads/Country_Raod.py,Country_Raod.py,63,51,0,12,9
Jupyter,Earthquake/eq_final.ipynb,eq_final.ipynb,5398,5398,0,0,0
CSV,shixiseng/datamining.csv,datamining.csv,534,469,0,65,0
Jupyter,JayZhou/jay.ipynb,jay.ipynb,13002,13002,0,0,0
Jupyter,Roads/Country_Road.ipynb,Country_Road.ipynb,4909,4909,0,0,0
Markdown,Fans_xz/readme.md,readme.md,1,1,0,0,0
Plain Text,mongoTV/readme.txt,readme.txt,3,3,0,0,0
Python,Baidu_Robin/znss_comments.py,znss_comments.py,80,68,0,12,4
Python,JayZhou/get_fans_data.py,get_fans_data.py,78,68,0,10,11
Markdown,JayZhou/readme.md,readme.md,1,1,0,0,0
Python,JayZhou/get_detail_jay.py,get_detail_jay.py,91,80,1,10,12
Python,Paediatrician/dingxiang_job.py,dingxiang_job.py,158,153,0,5,0
Markdown,Baidu_Robin/readme.md,readme.md,1,1,0,0,0
Markdown,shixiseng/readme.md,readme.md,5,4,0,1,0
Jupyter,Liziqi/liziqi.ipynb,liziqi.ipynb,7493,7493,0,0,0
Python,CaiXuKun/CaiXuKun/items.py,items.py,14,3,7,4,0
Markdown,CaiXuKun/CaiXuKun/readme.md,readme.md,41,31,0,10,0
Python,CaiXuKun/CaiXuKun/pipelines.py,pipelines.py,48,33,6,9,0
Python,CaiXuKun/CaiXuKun/spiders/caixukun.py,caixukun.py,29,23,1,5,7
Python,CaiXuKun/CaiXuKun/middlewares.py,middlewares.py,78,35,23,20,5
CSV,Trump/us_media.csv,us_media.csv,52,52,0,0,0
Jupyter,English_names/Babynames.ipynb,Babynames.ipynb,19880,19880,0,0,0
Plain Text,Trump/stop_words_en.txt,stop_words_en.txt,790,790,0,0,0
Markdown,Trump/readme.md,readme.md,1,1,0,0,0
Jupyter,Baidu_Robin/Baidu_Robin.ipynb,Baidu_Robin.ipynb,2146,2146,0,0,0
CSV,shixiseng/machinelearning.csv,machinelearning.csv,240,203,0,37,0
Markdown,Fireworks_and_Pm2.5/readme.md,readme.md,38,28,0,10,0
Python,Fireworks_and_Pm2.5/data_crawler.py,data_crawler.py,62,36,19,7,3
Jupyter,Trump/donald_trump_twitters.ipynb,donald_trump_twitters.ipynb,9192,9192,0,0,0
CSV,Lychee/lychee.csv,lychee.csv,1693,1693,0,0,0
Jupyter,BSGS_Rent/北上广深租房图鉴.ipynb,北上广深租房图鉴.ipynb,9742,9742,0,0,0
Jupyter,Fireworks_and_Pm2.5/Fireworks and Pm2.5.ipynb,Fireworks and Pm2.5.ipynb,12051,12051,0,0,0
Python,CaiXuKun/CaiXuKun/settings.py,settings.py,105,26,58,21,0
CSV,discount.csv,discount.csv,117,117,0,0,0
Plain Text,CaiXuKun/stopwords.txt,stopwords.txt,1473,1473,0,0,0
Jupyter,shixiseng/数据挖掘、机器学习算法实习生需求分析.ipynb,数据挖掘、机器学习算法实习生需求分析.ipynb,4978,4978,0,0,0
Python,TheWanderingEarth/comment_crawler.py,comment_crawler.py,80,48,23,9,5
Python,mongoTV/mongotv_comments_crawler/mongotv_comments_crawler/middlewares.py,middlewares.py,56,19,23,14,4
