Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
YAML,.codecov.yml,.codecov.yml,14,12,0,2,0
Markdown,CODE_OF_CONDUCT.md,CODE_OF_CONDUCT.md,76,57,0,19,0
License,LICENSE,LICENSE,201,169,0,32,0
Markdown,README.md,README.md,125,103,0,22,0
Markdown,CONTRIBUTING.md,CONTRIBUTING.md,33,20,0,13,0
gitignore,.gitignore,.gitignore,35,28,2,5,0
Gradle,build.gradle,build.gradle,170,140,1,29,0
YAML,.gitlab-ci.yml,.gitlab-ci.yml,24,19,0,5,0
Properties File,gradle.properties,gradle.properties,1,1,0,0,0
Shell,gradlew,gradlew,185,128,36,21,19
Gradle,settings.gradle,settings.gradle,11,10,0,1,0
YAML,lgtm.yml,lgtm.yml,14,13,0,1,0
Batch,gradlew.bat,gradlew.bat,89,68,0,21,18
YAML,.releaserc.yml,.releaserc.yml,35,29,0,6,0
Shell,scripts/travis-release.sh,travis-release.sh,6,4,1,1,0
Java,jadx-gui/src/main/java/jadx/gui/treemodel/JLoadableNode.java,JLoadableNode.java,7,5,0,2,0
Java,jadx-plugins/jadx-java-convert/src/main/java/jadx/plugins/input/javaconvert/JavaConvertPlugin.java,JavaConvertPlugin.java,28,23,0,5,1
Java,jadx-plugins/jadx-smali-input/src/main/java/jadx/plugins/input/smali/SmaliConvert.java,SmaliConvert.java,107,95,0,12,7
Gradle,jadx-plugins/jadx-dex-input/build.gradle,build.gradle,13,9,1,3,0
Java,jadx-plugins/jadx-java-convert/src/main/java/jadx/plugins/input/javaconvert/ConvertResult.java,ConvertResult.java,69,58,0,11,3
Java,jadx-gui/src/main/java/jadx/gui/settings/JadxProject.java,JadxProject.java,171,139,1,31,16
Java,jadx-gui/src/main/java/jadx/gui/settings/WindowLocation.java,WindowLocation.java,44,34,1,9,0
Java,jadx-gui/src/main/java/jadx/gui/settings/JadxSettings.java,JadxSettings.java,447,365,3,79,43
Java,jadx-gui/src/main/java/jadx/gui/utils/JumpPosition.java,JumpPosition.java,43,35,0,8,5
Java,jadx-gui/src/main/java/jadx/gui/utils/Link.java,Link.java,98,81,2,15,6
Java,jadx-gui/src/main/java/jadx/gui/utils/SystemInfo.java,SystemInfo.java,23,16,0,7,0
Java,jadx-gui/src/main/java/jadx/gui/utils/RectangleTypeAdapter.java,RectangleTypeAdapter.java,67,59,0,8,7
Gradle,jadx-plugins/jadx-java-convert/build.gradle,build.gradle,12,9,0,3,0
Gradle,jadx-plugins/jadx-smali-input/build.gradle,build.gradle,12,9,0,3,0
Java,jadx-gui/src/main/java/jadx/gui/utils/JNodeCache.java,JNodeCache.java,50,44,0,6,9
XML,config/code-formatter/eclipse.xml,eclipse.xml,348,348,0,0,0
Java,jadx-plugins/jadx-dex-input/src/main/java/jadx/plugins/input/dex/DexLoadResult.java,DexLoadResult.java,47,38,0,9,3
Java,jadx-gui/src/main/java/jadx/gui/utils/UiUtils.java,UiUtils.java,209,166,16,27,23
Java,jadx-gui/src/main/java/jadx/gui/settings/JadxSettingsAdapter.java,JadxSettingsAdapter.java,117,95,3,19,8
Java,jadx-plugins/jadx-plugins-api/src/main/java/jadx/api/plugins/JadxPluginInfo.java,JadxPluginInfo.java,30,24,0,6,0
Java,jadx-plugins/jadx-plugins-api/src/main/java/jadx/api/plugins/JadxPlugin.java,JadxPlugin.java,5,4,0,1,0
Java,jadx-gui/src/main/java/jadx/gui/ui/LogViewer.java,LogViewer.java,97,78,0,19,0
Java,jadx-plugins/jadx-plugins-api/src/main/java/jadx/api/plugins/JadxPluginManager.java,JadxPluginManager.java,44,35,0,9,1
Java,jadx-plugins/jadx-dex-input/src/main/java/jadx/plugins/input/dex/DexException.java,DexException.java,13,10,0,3,0
Java,jadx-gui/src/main/java/jadx/gui/settings/JadxSettingsWindow.java,JadxSettingsWindow.java,530,452,1,77,39
Java,jadx-gui/src/main/java/jadx/gui/ui/AboutDialog.java,AboutDialog.java,82,62,0,20,2
Markdown,.github/ISSUE_TEMPLATE/decompilation-error.md,decompilation-error.md,20,16,0,4,0
Java,jadx-plugins/jadx-smali-input/src/main/java/jadx/plugins/input/smali/SmaliInputPlugin.java,SmaliInputPlugin.java,27,22,0,5,1
Java,jadx-plugins/jadx-java-convert/src/main/java/jadx/plugins/input/javaconvert/JavaConvertLoader.java,JavaConvertLoader.java,124,109,0,15,8
Java,jadx-plugins/jadx-java-convert/src/main/java/jadx/plugins/input/javaconvert/DxConverter.java,DxConverter.java,49,42,0,7,2
Markdown,.github/pull_request_template.md,pull_request_template.md,5,4,0,1,0
Markdown,.github/ISSUE_TEMPLATE/feature-request.md,feature-request.md,10,8,0,2,0
Java,jadx-plugins/jadx-plugins-api/src/main/java/jadx/api/plugins/utils/LimitedInputStream.java,LimitedInputStream.java,53,44,0,9,6
Properties File,jadx-gui/src/main/resources/i18n/Messages_es_ES.properties,Messages_es_ES.properties,189,118,51,20,0
Java,jadx-gui/src/main/java/jadx/gui/ui/ContentPanel.java,ContentPanel.java,43,24,8,11,0
Java,jadx-plugins/jadx-plugins-api/src/main/java/jadx/api/plugins/input/JadxInputPlugin.java,JadxInputPlugin.java,11,8,0,3,0
Java,jadx-plugins/jadx-plugins-api/src/main/java/jadx/api/plugins/utils/ZipSecurity.java,ZipSecurity.java,118,102,3,13,12
Java,jadx-gui/src/main/java/jadx/gui/ui/HeapUsageBar.java,HeapUsageBar.java,79,65,0,14,5
Java,jadx-plugins/jadx-dex-input/src/main/java/jadx/plugins/input/dex/DexInputPlugin.java,DexInputPlugin.java,35,28,0,7,1
Gradle,jadx-plugins/jadx-plugins-api/build.gradle,build.gradle,3,3,0,0,0
Java,jadx-gui/src/main/java/jadx/gui/ui/CertificatePanel.java,CertificatePanel.java,30,22,0,8,0
Java,jadx-gui/src/main/java/jadx/gui/ui/ImagePanel.java,ImagePanel.java,65,54,1,10,6
Java,jadx-plugins/jadx-dex-input/src/main/java/jadx/plugins/input/dex/DexReader.java,DexReader.java,60,50,0,10,3
Gradle,jadx-gui/build.gradle,build.gradle,89,76,1,12,0
Java,jadx-gui/src/main/java/jadx/gui/ui/TabComponent.java,TabComponent.java,153,130,0,23,20
YAML,.travis.yml,.travis.yml,41,30,2,9,0
Java,jadx-gui/src/main/java/jadx/gui/utils/JumpManager.java,JumpManager.java,90,79,2,9,21
Java,jadx-plugins/jadx-plugins-api/src/main/java/jadx/api/plugins/input/insns/InsnData.java,InsnData.java,41,23,0,18,0
Java,jadx-gui/src/main/java/jadx/gui/treemodel/CodeNode.java,CodeNode.java,96,78,0,18,6
Java,jadx-plugins/jadx-plugins-api/src/main/java/jadx/api/plugins/input/data/IMethodRef.java,IMethodRef.java,21,10,3,8,0
Java,jadx-gui/src/main/java/jadx/gui/update/JadxUpdate.java,JadxUpdate.java,95,79,0,16,10
Java,jadx-plugins/jadx-plugins-api/src/main/java/jadx/api/plugins/input/data/ITry.java,ITry.java,9,6,0,3,0
SVG,jadx-gui/src/main/resources/logos/jadx-logo.svg,jadx-logo.svg,1,1,0,0,0
Java,jadx-plugins/jadx-plugins-api/src/main/java/jadx/api/plugins/input/data/IClassData.java,IClassData.java,34,20,0,14,0
Java,jadx-plugins/jadx-dex-input/src/main/java/jadx/plugins/input/dex/DexFileLoader.java,DexFileLoader.java,110,96,0,14,11
Java,jadx-plugins/jadx-plugins-api/src/main/java/jadx/api/plugins/input/data/AccessFlags.java,AccessFlags.java,91,86,0,5,18
Java,jadx-gui/src/main/java/jadx/gui/JadxWrapper.java,JadxWrapper.java,180,142,13,25,8
Java,jadx-gui/src/main/java/jadx/gui/treemodel/JNode.java,JNode.java,104,77,3,24,6
Properties File,gradle/wrapper/gradle-wrapper.properties,gradle-wrapper.properties,5,5,0,0,0
Java,jadx-gui/src/main/java/jadx/gui/treemodel/TextNode.java,TextNode.java,34,25,0,9,0
Java,jadx-gui/src/main/java/jadx/gui/treemodel/JRoot.java,JRoot.java,130,110,0,20,21
Java,jadx-gui/src/main/java/jadx/gui/update/data/Asset.java,Asset.java,75,57,0,18,0
Java,jadx-gui/src/main/java/jadx/gui/treemodel/JMethod.java,JMethod.java,133,110,0,23,10
Java,jadx-gui/src/main/java/jadx/gui/treemodel/JField.java,JField.java,103,83,0,20,5
Java,jadx-gui/src/main/java/jadx/gui/treemodel/JClass.java,JClass.java,184,156,0,28,17
Java,jadx-plugins/jadx-dex-input/src/main/java/jadx/plugins/input/dex/smali/SmaliCodeWriter.java,SmaliCodeWriter.java,77,61,0,16,4
Java,jadx-gui/src/main/java/jadx/gui/update/data/Release.java,Release.java,58,44,0,14,1
Java,jadx-gui/src/main/java/jadx/gui/treemodel/JPackage.java,JPackage.java,156,126,0,30,11
Java,jadx-gui/src/main/java/jadx/gui/JadxGUI.java,JadxGUI.java,63,54,1,8,5
Java,jadx-gui/src/main/java/jadx/gui/treemodel/JResource.java,JResource.java,328,282,3,43,55
Java,jadx-plugins/jadx-dex-input/src/main/java/jadx/plugins/input/dex/smali/SmaliInsnFormat.java,SmaliInsnFormat.java,155,129,1,25,12
Java,jadx-gui/src/main/java/jadx/gui/treemodel/JSources.java,JSources.java,134,107,11,16,19
Java,jadx-plugins/jadx-dex-input/src/main/java/jadx/plugins/input/dex/smali/InsnFormatterInfo.java,InsnFormatterInfo.java,49,38,0,11,2
Java,jadx-gui/src/main/java/jadx/gui/treemodel/ApkSignature.java,ApkSignature.java,206,178,3,25,18
Java,jadx-gui/src/main/java/jadx/gui/jobs/BackgroundExecutor.java,BackgroundExecutor.java,198,161,5,32,12
Java,jadx-plugins/jadx-dex-input/src/main/java/jadx/plugins/input/dex/utils/Utils.java,Utils.java,26,22,0,4,4
Java,jadx-plugins/jadx-dex-input/src/main/java/jadx/plugins/input/dex/utils/MUtf8.java,MUtf8.java,40,37,0,3,17
Java,jadx-gui/src/main/java/jadx/gui/jobs/BackgroundJob.java,BackgroundJob.java,87,72,0,15,4
Java,jadx-gui/src/main/java/jadx/gui/jobs/DecompileJob.java,DecompileJob.java,24,19,0,5,1
Java,jadx-plugins/jadx-dex-input/src/main/java/jadx/plugins/input/dex/utils/Leb128.java,Leb128.java,45,38,1,6,12
Java,jadx-gui/src/main/java/jadx/gui/jobs/IBackgroundTask.java,IBackgroundTask.java,14,8,0,6,0
Java,jadx-plugins/jadx-dex-input/src/main/java/jadx/plugins/input/dex/smali/InsnFormatter.java,InsnFormatter.java,5,4,0,1,0
Java,jadx-gui/src/main/java/jadx/gui/update/VersionComparator.java,VersionComparator.java,59,50,2,7,11
Java,jadx-plugins/jadx-dex-input/src/main/java/jadx/plugins/input/dex/utils/SmaliUtils.java,SmaliUtils.java,33,29,0,4,0
Java,jadx-gui/src/main/java/jadx/gui/jobs/BackgroundWorker.java,BackgroundWorker.java,100,82,3,15,10
Java,jadx-plugins/jadx-dex-input/src/test/java/jadx/plugins/input/dex/DexInputPluginTest.java,DexInputPluginTest.java,76,66,0,10,2
Java,jadx-plugins/jadx-dex-input/src/main/java/jadx/plugins/input/dex/smali/SmaliPrinter.java,SmaliPrinter.java,40,33,1,6,2
Java,jadx-gui/src/main/java/jadx/gui/jobs/IndexJob.java,IndexJob.java,93,78,0,15,12
Properties File,jadx-gui/src/main/resources/i18n/Messages_de_DE.properties,Messages_de_DE.properties,189,167,2,20,0
Java,jadx-plugins/jadx-dex-input/src/test/java/jadx/plugins/input/dex/utils/SmaliTestUtils.java,SmaliTestUtils.java,47,41,0,6,0
Properties File,jadx-gui/src/main/resources/i18n/Messages_en_US.properties,Messages_en_US.properties,189,169,0,20,0
Shell,scripts/bintray-upload.sh,bintray-upload.sh,14,9,1,4,0
Shell,scripts/travis-master.sh,travis-master.sh,13,6,4,3,2
Java,jadx-plugins/jadx-dex-input/src/main/java/jadx/plugins/input/dex/sections/DexFieldData.java,DexFieldData.java,77,60,0,17,2
Properties File,jadx-gui/src/main/resources/i18n/Messages_zh_CN.properties,Messages_zh_CN.properties,189,166,3,20,0
Java,jadx-plugins/jadx-dex-input/src/main/java/jadx/plugins/input/dex/sections/DexHeader.java,DexHeader.java,97,82,0,15,2
Java,jadx-plugins/jadx-dex-input/src/main/java/jadx/plugins/input/dex/sections/DexMethodData.java,DexMethodData.java,102,79,0,23,2
Java,jadx-gui/src/main/java/jadx/gui/ui/MainDropTarget.java,MainDropTarget.java,76,59,5,12,4
Plain Text,jadx-gui/src/test/resources/certificate-test/EMPTY.txt,EMPTY.txt,1,1,0,0,0
Java,jadx-plugins/jadx-dex-input/src/main/java/jadx/plugins/input/dex/insns/DexInsnData.java,DexInsnData.java,208,169,0,39,12
Java,jadx-plugins/jadx-plugins-api/src/main/java/jadx/api/plugins/input/insns/Opcode.java,Opcode.java,193,157,0,36,0
Java,jadx-plugins/jadx-dex-input/src/main/java/jadx/plugins/input/dex/sections/SectionReader.java,SectionReader.java,251,206,1,44,13
Java,jadx-plugins/jadx-plugins-api/src/main/java/jadx/api/plugins/input/data/IMethodData.java,IMethodData.java,25,14,0,11,0
Java,jadx-plugins/jadx-dex-input/src/main/java/jadx/plugins/input/dex/insns/DexInsnFormat.java,DexInsnFormat.java,451,393,1,57,17
Java,jadx-gui/src/test/java/jadx/api/Factory.java,Factory.java,16,11,0,5,0
Java,jadx-plugins/jadx-dex-input/src/main/java/jadx/plugins/input/dex/insns/DexOpcodes.java,DexOpcodes.java,233,230,1,2,0
XML,config/checkstyle/checkstyle.xml,checkstyle.xml,126,95,14,17,0
Java,jadx-gui/src/main/java/jadx/gui/utils/CertificateManager.java,CertificateManager.java,175,148,2,25,12
Java,jadx-plugins/jadx-dex-input/src/main/java/jadx/plugins/input/dex/insns/payloads/DexSwitchPayload.java,DexSwitchPayload.java,31,24,0,7,0
Java,jadx-plugins/jadx-dex-input/src/main/java/jadx/plugins/input/dex/insns/payloads/DexArrayPayload.java,DexArrayPayload.java,31,24,0,7,0
Java,jadx-plugins/jadx-plugins-api/src/main/java/jadx/api/plugins/input/data/ICatch.java,ICatch.java,9,6,0,3,0
Java,jadx-plugins/jadx-dex-input/src/main/java/jadx/plugins/input/dex/sections/DexClassData.java,DexClassData.java,206,176,0,30,15
Java,jadx-plugins/jadx-plugins-api/src/main/java/jadx/api/plugins/input/data/ICodeReader.java,ICodeReader.java,25,15,0,10,0
Java,jadx-plugins/jadx-plugins-api/src/main/java/jadx/api/plugins/input/data/IDebugInfo.java,IDebugInfo.java,14,7,3,4,0
Java,jadx-gui/src/test/java/jadx/gui/TestI18n.java,TestI18n.java,112,98,0,14,11
Java,jadx-plugins/jadx-plugins-api/src/main/java/jadx/api/plugins/input/data/ILocalVar.java,ILocalVar.java,18,11,0,7,0
Java,jadx-gui/src/test/java/jadx/gui/treemodel/JSourcesTest.java,JSourcesTest.java,105,87,0,18,0
Java,jadx-plugins/jadx-dex-input/src/main/java/jadx/plugins/input/dex/insns/DexInsnInfo.java,DexInsnInfo.java,350,285,0,65,4
Java,jadx-gui/src/main/java/jadx/gui/utils/OverlayIcon.java,OverlayIcon.java,59,46,0,13,1
Java,jadx-gui/src/main/java/jadx/gui/utils/CodeLinesInfo.java,CodeLinesInfo.java,36,30,0,6,4
