Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
XML,settings.xml,settings.xml,11,9,2,0,0
Markdown,RELEASES.md,RELEASES.md,132,99,0,33,0
License,LICENSE,LICENSE,201,169,0,32,0
BASH,settings,settings,30,7,18,5,0
Markdown,CHANGELOG.md,CHANGELOG.md,156,117,0,39,0
Markdown,code-of-conduct.md,code-of-conduct.md,3,2,0,1,0
XML,pom.xml,pom.xml,481,463,2,16,0
Batch,mvnw.cmd,mvnw.cmd,143,112,0,31,20
gitignore,.gitignore,.gitignore,33,18,7,8,0
Markdown,CONTRIBUTING.md,CONTRIBUTING.md,24,17,0,7,0
Markdown,README.md,README.md,266,207,0,59,0
Shell,mvnw,mvnw,227,146,52,29,33
YAML,.github/dependabot.yml,dependabot.yml,12,12,0,0,0
Markdown,examples/README.md,README.md,13,9,0,4,0
YAML,examples/test-svc.yaml,test-svc.yaml,11,11,0,0,0
YAML,examples/test.yaml,test.yaml,16,16,0,0,0
Dockerfile,examples/Dockerfile,Dockerfile,7,3,0,4,0
Java,spring/src/test/java/io/kubernetes/client/spring/extended/controller/TestApplication.java,TestApplication.java,18,4,12,2,0
XML,examples/pom.xml,pom.xml,120,118,1,1,0
Shell,examples/createPod.sh,createPod.sh,26,14,4,8,2
YAML,.github/workflows/maven.yml,maven.yml,92,85,3,4,0
Groovy,e2e/src/test/groovy/io/kubernetes/client/e2e/informer/NamespaceInformerTest.groovy,NamespaceInformerTest.groovy,52,36,12,4,0
Java,kubernetes/src/main/java/io/kubernetes/client/common/KubernetesListObject.java,KubernetesListObject.java,37,7,26,4,0
Java,kubernetes/src/main/java/io/kubernetes/client/custom/PodMetrics.java,PodMetrics.java,74,48,12,14,0
Java,kubernetes/src/main/java/io/kubernetes/client/custom/IntOrString.java,IntOrString.java,101,76,12,13,15
Java,kubernetes/src/main/java/io/kubernetes/client/openapi/ProgressResponseBody.java,ProgressResponseBody.java,67,45,13,9,4
XML,extended/src/test/resources/logback-test.xml,logback-test.xml,12,11,0,1,0
Java,kubernetes/src/main/java/io/kubernetes/client/openapi/ApiException.java,ApiException.java,100,59,27,14,0
Java,kubernetes/src/main/java/io/kubernetes/client/openapi/Pair.java,Pair.java,62,39,12,11,5
JSON,extended/src/test/resources/namespace-list-pager1.json,namespace-list-pager1.json,28,28,0,0,0
JSON,extended/src/test/resources/discovery-api-v1.json,discovery-api-v1.json,1,1,0,0,0
Java,kubernetes/src/main/java/io/kubernetes/client/openapi/GzipRequestInterceptor.java,GzipRequestInterceptor.java,85,59,17,9,4
XML,e2e/pom.xml,pom.xml,83,77,1,5,0
Groovy,e2e/src/test/groovy/io/kubernetes/client/e2e/util/ModelMapperTest.groovy,ModelMapperTest.groovy,47,28,12,7,6
Java,kubernetes/src/main/java/io/kubernetes/client/openapi/ApiResponse.java,ApiResponse.java,58,25,26,7,0
XML,extended/pom.xml,pom.xml,127,121,1,5,0
Java,kubernetes/src/main/java/io/kubernetes/client/fluent/Config.java,Config.java,22,8,12,2,0
JSON,extended/src/test/resources/discovery-api.json,discovery-api.json,1,1,0,0,0
JSON,extended/src/test/resources/pod-list.json,pod-list.json,99,99,0,0,0
JSON,extended/src/test/resources/discovery-apis.json,discovery-apis.json,1,1,0,0,0
JSON,extended/src/test/resources/status-400.json,status-400.json,9,9,0,0,0
JSON,extended/src/test/resources/namespace-list-pager2.json,namespace-list-pager2.json,27,27,0,0,0
JSON,extended/src/test/resources/bad-token-status.json,bad-token-status.json,9,9,0,0,0
Java,extended/src/main/java/io/kubernetes/client/extended/pager/Pager.java,Pager.java,153,82,52,19,5
Java,extended/src/test/java/io/kubernetes/client/extended/event/EventAggregatorTest.java,EventAggregatorTest.java,58,42,12,4,1
Shell,scripts/update-client.sh,update-client.sh,59,30,16,13,2
Java,extended/src/test/java/io/kubernetes/client/extended/pager/PagerTest.java,PagerTest.java,238,208,12,18,4
Shell,scripts/publish-crd-model-gen-image.sh,publish-crd-model-gen-image.sh,10,6,1,3,0
Java,kubernetes/src/main/java/io/kubernetes/client/custom/QuantityFormatException.java,QuantityFormatException.java,19,6,12,1,0
Java,kubernetes/src/main/java/io/kubernetes/client/custom/NodeMetrics.java,NodeMetrics.java,80,53,12,15,0
Java,kubernetes/src/main/java/io/kubernetes/client/openapi/ApiClient.java,ApiClient.java,1364,783,461,120,176
Groovy,e2e/src/test/groovy/io/kubernetes/client/e2e/kubectl/KubectlNamespaceTest.groovy,KubectlNamespaceTest.groovy,78,69,0,9,7
Java,kubernetes/src/main/java/io/kubernetes/client/custom/PodMetricsList.java,PodMetricsList.java,56,34,12,10,0
Java,kubernetes/src/main/java/io/kubernetes/client/common/KubernetesObject.java,KubernetesObject.java,29,5,21,3,0
XML,kubernetes/pom.xml,pom.xml,203,195,2,6,0
Java,kubernetes/src/main/java/io/kubernetes/client/common/KubernetesType.java,KubernetesType.java,47,5,39,3,0
Java,extended/src/test/java/io/kubernetes/client/extended/kubectl/KubectlApplyTest.java,KubectlApplyTest.java,101,78,12,11,0
Java,extended/src/test/java/io/kubernetes/client/extended/kubectl/KubectlDrainTest.java,KubectlDrainTest.java,106,82,14,10,0
Java,extended/src/test/java/io/kubernetes/client/extended/kubectl/KubectlGetTest.java,KubectlGetTest.java,176,141,12,23,0
Java,kubernetes/src/main/java/io/kubernetes/client/custom/QuantityFormatter.java,QuantityFormatter.java,107,84,12,11,18
