Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
gitignore,.gitignore,.gitignore,13,7,3,3,0
Markdown,README.md,README.md,311,247,0,64,0
XML,pom.xml,pom.xml,439,422,1,16,0
YAML,.travis.yml,.travis.yml,71,69,0,2,0
Java,src/main/java9/module-info.java,module-info.java,19,19,0,0,0
Java,samples/HoughLines.java,HoughLines.java,120,79,27,14,12
Java,src/main/java/cl/eye/CLCamera.java,CLCamera.java,159,126,27,6,2
Markdown,CHANGELOG.md,CHANGELOG.md,652,591,0,61,0
Java,samples/TemplateMatching.java,TemplateMatching.java,141,88,29,24,3
Java,platform/src/test/java/org/bytedeco/javacv/FrameFilterTest.java,FrameFilterTest.java,226,182,26,18,26
Java,samples/FaceApplet.java,FaceApplet.java,152,134,6,12,25
Java,platform/src/test/java/org/bytedeco/javacv/FrameGrabberChangingResolutionTest.java,FrameGrabberChangingResolutionTest.java,270,195,40,35,13
XML,platform/src/main/assembly/src.xml,src.xml,21,19,1,1,0
Java,samples/Demo.java,Demo.java,154,86,51,17,9
Java,platform/src/test/java/org/bytedeco/javacv/SeekableByteArrayOutputStreamTest.java,SeekableByteArrayOutputStreamTest.java,245,189,29,27,12
Java,samples/PrincipalComponentAnalysis.java,PrincipalComponentAnalysis.java,183,147,21,15,13
Java,samples/FacePreview.java,FacePreview.java,290,186,67,37,26
Java,samples/OpenCVFeatures2dSerialization.java,OpenCVFeatures2dSerialization.java,94,77,5,12,0
Java,samples/Square.java,Square.java,307,120,142,45,27
Java,samples/OpticalFlowDense.java,OpticalFlowDense.java,47,33,6,8,2
Java,samples/DeinterlacedVideoPlayer.java,DeinterlacedVideoPlayer.java,83,67,1,15,8
Plain Text,LICENSE.txt,LICENSE.txt,572,473,0,99,0
Java,samples/ImageSegmentation.java,ImageSegmentation.java,158,98,45,15,10
Java,samples/PerspectiveWarpDemo.java,PerspectiveWarpDemo.java,85,49,15,21,0
Java,samples/OpticalFlowTracker.java,OpticalFlowTracker.java,85,62,12,11,4
HTML,samples/FaceApplet.html,FaceApplet.html,17,17,0,0,0
Java,samples/LBFFacemarkExampleWithVideo.java,LBFFacemarkExampleWithVideo.java,89,44,32,13,5
Java,samples/FFmpegStreamingTimeout.java,FFmpegStreamingTimeout.java,156,78,65,13,4
Java,samples/BlobDemo.java,BlobDemo.java,273,222,20,31,64
Java,samples/OpenCVFaceRecognizer.java,OpenCVFaceRecognizer.java,88,43,27,18,3
Java,samples/KazemiFacemarkExample.java,KazemiFacemarkExample.java,72,38,21,13,2
Java,samples/FaceRecognizerInVideo.java,FaceRecognizerInVideo.java,114,71,23,20,5
Java,samples/BioInspiredRetina.java,BioInspiredRetina.java,83,61,11,11,0
Java,samples/RLSA.java,RLSA.java,112,94,7,11,28
Java,samples/JavaFxPlayVideoAndAudio.java,JavaFxPlayVideoAndAudio.java,124,99,7,18,9
Java,samples/WebcamAndMicrophoneCapture.java,WebcamAndMicrophoneCapture.java,235,126,79,30,8
Java,samples/DeepLearningFaceDetection.java,DeepLearningFaceDetection.java,107,67,22,18,6
XML,platform/pom.xml,pom.xml,222,214,0,8,0
Java,samples/PacketRecorderTest.java,PacketRecorderTest.java,76,51,2,23,6
Java,samples/RealSense2DepthMeasuring.java,RealSense2DepthMeasuring.java,104,45,44,15,4
Java,samples/CaffeGooglenet.java,CaffeGooglenet.java,105,69,19,17,6
Java,platform/src/test/java/org/bytedeco/javacv/FrameConverterTest.java,FrameConverterTest.java,362,281,30,51,36
Java,platform/src/main/java9/module-info.java,module-info.java,16,16,0,0,0
XML,platform/src/main/assembly/bin.xml,bin.xml,42,42,0,0,0
Java,samples/Smoother.java,Smoother.java,37,14,21,2,2
XML,samples/pom.xml,pom.xml,32,32,0,0,0
Java,samples/ColoredObjectTrack.java,ColoredObjectTrack.java,120,88,16,16,5
Java,samples/MotionDetector.java,MotionDetector.java,101,55,33,13,16
Java,samples/RecordActivity.java,RecordActivity.java,591,412,95,84,65
Java,src/main/java/org/bytedeco/javacv/CameraSettings.java,CameraSettings.java,84,50,25,9,2
Java,platform/src/test/java/org/bytedeco/javacv/FrameGrabberTest.java,FrameGrabberTest.java,450,383,27,40,80
Java,src/main/java/org/bytedeco/javacv/LeptonicaFrameConverter.java,LeptonicaFrameConverter.java,134,93,28,13,44
Java,src/main/java/org/bytedeco/javacv/BaseSettings.java,BaseSettings.java,74,42,25,7,8
