Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
Shell,run_core_generators.sh,run_core_generators.sh,19,7,7,5,1
License,LICENSE,LICENSE,6,4,0,2,0
Markdown,PULL_REQUEST_TEMPLATE.md,PULL_REQUEST_TEMPLATE.md,1,1,0,0,0
XML,ruleset.xml,ruleset.xml,144,144,0,0,0
YAML,appveyor.yml,appveyor.yml,42,29,7,6,0
XML,pom.xml,pom.xml,372,361,1,10,0
Markdown,CONTRIBUTING.md,CONTRIBUTING.md,30,24,0,6,0
Markdown,readme.md,readme.md,117,80,0,37,0
Shell,run_core_metamodel_generator.sh,run_core_metamodel_generator.sh,24,11,7,6,2
Shell,fixup.sh,fixup.sh,42,33,1,8,6
YAML,.travis.yml,.travis.yml,24,22,1,1,0
gitignore,.gitignore,.gitignore,27,22,2,3,0
Markdown,changelog.md,changelog.md,1260,1009,0,251,0
Markdown,FEATURES.md,FEATURES.md,200,160,0,40,0
Java,javaparser-core-testing-bdd/src/test/java/com/github/javaparser/BasicJBehaveTest.java,BasicJBehaveTest.java,65,31,23,11,0
Java,javaparser-core-generators/src/main/java/com/github/javaparser/generator/core/CoreGenerator.java,CoreGenerator.java,101,60,30,11,2
Java,javaparser-core-generators/src/main/java/com/github/javaparser/generator/Generator.java,Generator.java,125,72,36,17,6
Java,javaparser-core-metamodel-generator/src/main/java/com/github/javaparser/generator/AbstractGenerator.java,AbstractGenerator.java,347,227,68,52,12
Java,javaparser-core-testing-bdd/src/test/java/com/github/javaparser/steps/ComparingSteps.java,ComparingSteps.java,61,24,26,11,0
Java,javaparser-core-testing-bdd/src/test/java/com/github/javaparser/steps/PrettyPrintingSteps.java,PrettyPrintingSteps.java,112,73,20,19,0
Java,javaparser-core-testing-bdd/src/test/java/com/github/javaparser/visitors/PositionTestVisitor.java,PositionTestVisitor.java,553,444,20,89,3
Java,javaparser-core-testing-bdd/src/test/java/com/github/javaparser/steps/SharedSteps.java,SharedSteps.java,163,109,27,27,8
Java,javaparser-core-serialization/src/main/java/com/github/javaparser/serialization/JavaParserJsonDeserializer.java,JavaParserJsonDeserializer.java,202,123,60,19,23
gitignore,javaparser-symbol-solver-core/.gitignore,.gitignore,5,5,0,0,0
Java,javaparser-core-testing-bdd/src/test/java/com/github/javaparser/steps/ManipulationSteps.java,ManipulationSteps.java,285,221,22,42,0
Java,javaparser-core-testing-bdd/src/test/java/com/github/javaparser/steps/PositionRangeSteps.java,PositionRangeSteps.java,128,79,29,20,6
Java,javaparser-core-testing-bdd/src/test/java/com/github/javaparser/steps/VisitorSteps.java,VisitorSteps.java,171,125,22,24,0
XML,javaparser-symbol-solver-core/pom.xml,pom.xml,65,59,1,5,0
YAML,.github/workflows/maven_tests.yml,maven_tests.yml,63,36,18,9,0
XML,javaparser-core-generators/pom.xml,pom.xml,50,47,0,3,0
YAML,.github/workflows/create_github_release.yml,create_github_release.yml,36,22,11,3,0
Java,javaparser-core-generators/src/main/java/com/github/javaparser/generator/NodeGenerator.java,NodeGenerator.java,61,29,24,8,1
XML,javaparser-core-testing/pom.xml,pom.xml,115,110,1,4,0
XML,javaparser-core-testing-bdd/pom.xml,pom.xml,108,103,1,4,0
XML,javaparser-core-metamodel-generator/pom.xml,pom.xml,63,58,1,4,0
Java,javaparser-core-testing-bdd/src/test/java/com/github/javaparser/steps/CommentParsingSteps.java,CommentParsingSteps.java,432,349,20,63,5
Java,javaparser-core-testing/src/test/test_sourcecode/com/github/javaparser/printer/PrettyPrintVisitor.java,PrettyPrintVisitor.java,1413,1223,27,163,197
Java,javaparser-core-generators/src/main/java/com/github/javaparser/generator/VisitorGenerator.java,VisitorGenerator.java,103,63,25,15,5
Java,javaparser-core/src/main/java-templates/com/github/javaparser/JavaParserBuild.java,JavaParserBuild.java,19,15,3,1,0
XML,dev-files/JavaParser-idea.xml,JavaParser-idea.xml,38,38,0,0,0
XML,javaparser-core/pom.xml,pom.xml,120,111,4,5,0
Java,javaparser-core-testing-bdd/src/test/java/com/github/javaparser/TestUtils.java,TestUtils.java,37,12,20,5,2
XML,javaparser-core-serialization/pom.xml,pom.xml,71,64,0,7,0
Java,javaparser-core-testing-bdd/src/test/java/com/github/javaparser/VisitorTest.java,VisitorTest.java,51,22,20,9,0
gitignore,javaparser-symbol-solver-testing/.gitignore,.gitignore,5,5,0,0,0
Java,javaparser-core-generators/src/main/java/com/github/javaparser/generator/core/node/AcceptGenerator.java,AcceptGenerator.java,55,29,20,6,1
Java,javaparser-core-testing-bdd/src/test/java/com/github/javaparser/CommentParsingTest.java,CommentParsingTest.java,42,16,20,6,0
Java,javaparser-core-metamodel-generator/src/main/java/com/github/javaparser/generator/metamodel/AstTypeAnalysis.java,AstTypeAnalysis.java,72,42,23,7,9
Java,javaparser-core-generators/src/main/java/com/github/javaparser/generator/core/visitor/HashCodeVisitorGenerator.java,HashCodeVisitorGenerator.java,80,48,24,8,11
Java,javaparser-core-serialization/src/main/java/com/github/javaparser/serialization/JavaParserJsonSerializer.java,JavaParserJsonSerializer.java,203,132,46,25,13
XML,javaparser-symbol-solver-testing/pom.xml,pom.xml,135,127,1,7,0
Java,javaparser-core-testing/src/test/test_sourcecode/com/github/javaparser/printer/JavaConcepts.java,JavaConcepts.java,393,323,0,70,29
Java,javaparser-symbol-solver-testing/src/test/test_sourcecode/javaparser_new_src/javaparser-generated-sources/com/github/javaparser/Provider.java,Provider.java,39,6,28,5,0
Java,javaparser-core-generators/src/main/java/com/github/javaparser/generator/core/node/CloneGenerator.java,CloneGenerator.java,50,25,20,5,0
Java,javaparser-symbol-solver-testing/src/test/test_sourcecode/javaparser_new_src/javaparser-generated-sources/com/github/javaparser/TokenMgrException.java,TokenMgrException.java,158,106,43,9,2
Java,javaparser-symbol-solver-core/src/main/java/com/github/javaparser/symbolsolver/SourceFileInfoExtractor.java,SourceFileInfoExtractor.java,224,173,27,24,17
Java,javaparser-symbol-solver-testing/src/test/test_sourcecode/javaparser_new_src/javaparser-generated-sources/com/github/javaparser/ASTParserConstants.java,ASTParserConstants.java,438,288,144,6,0
Java,javaparser-core-testing-bdd/src/test/java/com/github/javaparser/ParsingTest.java,ParsingTest.java,51,22,20,9,0
XML,dev-files/JavaParser-eclipse.xml,JavaParser-eclipse.xml,295,295,0,0,0
Java,javaparser-symbol-solver-testing/src/test/test_sourcecode/javaparser_new_src/javaparser-generated-sources/com/github/javaparser/JavaCharStream.java,JavaCharStream.java,560,426,51,83,61
