Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
Markdown,LICENSE.md,LICENSE.md,11,7,0,4,0
Markdown,TROUBLESHOOTING.md,TROUBLESHOOTING.md,17,10,0,7,0
JavaScript,.workshopper-test.config.js,.workshopper-test.config.js,5,5,0,0,0
JavaScript,index.js,index.js,21,18,0,3,0
JSON,menu.json,menu.json,22,22,0,0,0
gitignore,.gitignore,.gitignore,3,3,0,0,0
Markdown,README.md,README.md,67,37,0,30,0
Markdown,CONTRIBUTING.md,CONTRIBUTING.md,23,15,0,8,0
JSON,package.json,package.json,27,27,0,0,0
YAML,.travis.yml,.travis.yml,5,5,0,0,0
Markdown,LOCALIZING.md,LOCALIZING.md,115,88,0,27,0
JavaScript,lib/get-file.js,get-file.js,9,8,0,1,0
Markdown,.github/ISSUE_TEMPLATE/new-challenge-proposal.md,new-challenge-proposal.md,38,28,0,10,0
Markdown,.github/ISSUE_TEMPLATE/bug_report.md,bug_report.md,32,25,0,7,0
JSON,i18n/nb-no.json,nb-no.json,23,23,0,0,0
JSON,i18n/ja.json,ja.json,23,23,0,0,0
JSON,i18n/ru.json,ru.json,24,24,0,0,0
JSON,i18n/uk.json,uk.json,24,24,0,0,0
JavaScript,lib/problem.js,problem.js,53,39,2,12,2
Markdown,i18n/footer/pt-br.md,pt-br.md,1,1,0,0,0
Markdown,problems/object-keys/solution_es.md,solution_es.md,11,6,0,5,0
Markdown,problems/object-keys/solution_it.md,solution_it.md,11,6,0,5,0
Markdown,problems/object-keys/solution_fr.md,solution_fr.md,11,6,0,5,0
Markdown,problems/object-keys/solution_uk.md,solution_uk.md,11,6,0,5,0
Markdown,problems/object-keys/problem.md,problem.md,44,32,0,12,0
Markdown,problems/object-keys/problem_fr.md,problem_fr.md,43,31,0,12,0
Markdown,problems/object-keys/problem_uk.md,problem_uk.md,43,31,0,12,0
Markdown,problems/object-keys/problem_es.md,problem_es.md,48,35,0,13,0
Markdown,problems/object-keys/problem_it.md,problem_it.md,43,31,0,12,0
Markdown,i18n/troubleshooting_ja.md,troubleshooting_ja.md,26,18,0,8,0
Markdown,i18n/troubleshooting_nb-no.md,troubleshooting_nb-no.md,26,18,0,8,0
Markdown,i18n/troubleshooting_it.md,troubleshooting_it.md,26,18,0,8,0
Markdown,i18n/troubleshooting_es.md,troubleshooting_es.md,26,18,0,8,0
JSON,i18n/it.json,it.json,24,24,0,0,0
Markdown,i18n/troubleshooting_pt-br.md,troubleshooting_pt-br.md,26,18,0,8,0
Markdown,i18n/troubleshooting.md,troubleshooting.md,27,18,0,9,0
Markdown,i18n/troubleshooting_ko.md,troubleshooting_ko.md,26,18,0,8,0
JSON,i18n/pt-br.json,pt-br.json,24,24,0,0,0
Markdown,i18n/troubleshooting_uk.md,troubleshooting_uk.md,26,18,0,8,0
JSON,i18n/ko.json,ko.json,23,23,0,0,0
Markdown,i18n/troubleshooting_zh-tw.md,troubleshooting_zh-tw.md,26,18,0,8,0
Markdown,i18n/troubleshooting_fr.md,troubleshooting_fr.md,26,18,0,8,0
Markdown,i18n/troubleshooting_zh-cn.md,troubleshooting_zh-cn.md,26,18,0,8,0
JSON,i18n/zh-tw.json,zh-tw.json,23,23,0,0,0
JSON,i18n/zh-cn.json,zh-cn.json,23,23,0,0,0
Markdown,i18n/troubleshooting_ru.md,troubleshooting_ru.md,26,18,0,8,0
JSON,i18n/fr.json,fr.json,24,24,0,0,0
Markdown,i18n/footer/en.md,en.md,1,1,0,0,0
Markdown,i18n/footer/uk.md,uk.md,1,1,0,0,0
Markdown,i18n/footer/fr.md,fr.md,1,1,0,0,0
JavaScript,lib/run-solution.js,run-solution.js,51,32,13,6,3
Markdown,i18n/footer/zh-tw.md,zh-tw.md,1,1,0,0,0
JSON,i18n/es.json,es.json,24,24,0,0,0
Markdown,problems/object-keys/problem_ko.md,problem_ko.md,44,32,0,12,0
JavaScript,lib/footer.js,footer.js,7,7,0,0,0
Markdown,i18n/footer/zh-cn.md,zh-cn.md,1,1,0,0,0
JavaScript,solutions/rounding-numbers/index.js,index.js,3,3,0,0,0
JavaScript,solutions/object-keys/index.js,index.js,8,7,0,1,0
Markdown,i18n/footer/nb-no.md,nb-no.md,1,1,0,0,0
Markdown,i18n/footer/ja.md,ja.md,1,1,0,0,0
Markdown,i18n/footer/ru.md,ru.md,1,1,0,0,0
JavaScript,bin/javascripting,javascripting,3,2,0,1,0
JavaScript,solutions/functions/index.js,index.js,5,4,0,1,0
JavaScript,lib/compare-solution.js,compare-solution.js,51,40,1,10,9
JavaScript,solutions/this/index.js,index.js,0,0,0,0,0
JavaScript,solutions/arrays/index.js,index.js,2,2,0,0,0
Markdown,i18n/footer/it.md,it.md,1,1,0,0,0
Markdown,problems/object-keys/solution_ja.md,solution_ja.md,11,6,0,5,0
JavaScript,solutions/variables/index.js,index.js,2,2,0,0,0
JavaScript,solutions/array-filtering/index.js,index.js,7,5,0,2,0
JavaScript,solutions/for-loop/index.js,index.js,8,6,0,2,1
Markdown,problems/object-keys/problem_zh-tw.md,problem_zh-tw.md,44,32,0,12,0
JavaScript,solutions/scope/index.js,index.js,19,14,1,4,0
Markdown,problems/object-keys/problem_pt-br.md,problem_pt-br.md,43,31,0,12,0
JavaScript,solutions/string-length/index.js,index.js,2,2,0,0,0
JavaScript,solutions/function-arguments/index.js,index.js,5,4,0,1,0
JavaScript,solutions/if-statement/index.js,index.js,6,6,0,0,2
JavaScript,solutions/introduction/index.js,index.js,1,1,0,0,0
Markdown,i18n/footer/es.md,es.md,1,1,0,0,0
JavaScript,solutions/function-return-values/index.js,index.js,0,0,0,0,0
JavaScript,solutions/strings/index.js,index.js,2,2,0,0,0
JavaScript,solutions/numbers/index.js,index.js,2,2,0,0,0
Markdown,problems/rounding-numbers/problem_ru.md,problem_ru.md,29,17,0,12,0
JavaScript,solutions/accessing-array-values/index.js,index.js,3,2,0,1,0
JavaScript,solutions/looping-through-arrays/index.js,index.js,7,5,0,2,1
Markdown,problems/rounding-numbers/solution_ja.md,solution_ja.md,11,6,0,5,0
Markdown,problems/rounding-numbers/problem_zh-tw.md,problem_zh-tw.md,29,17,0,12,0
Markdown,problems/rounding-numbers/problem_pt-br.md,problem_pt-br.md,29,17,0,12,0
Markdown,problems/rounding-numbers/problem_ja.md,problem_ja.md,30,17,0,13,0
Markdown,problems/this/solution_es.md,solution_es.md,5,3,0,2,0
Markdown,problems/this/solution_it.md,solution_it.md,5,3,0,2,0
Markdown,problems/this/solution_fr.md,solution_fr.md,5,3,0,2,0
Markdown,problems/rounding-numbers/solution_pt-br.md,solution_pt-br.md,11,6,0,5,0
Markdown,problems/rounding-numbers/solution_ru.md,solution_ru.md,11,6,0,5,0
Markdown,problems/this/solution_uk.md,solution_uk.md,5,3,0,2,0
