Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
License,LICENSE,LICENSE,196,155,0,41,0
Markdown,README.md,README.md,137,102,0,35,0
gitignore,.gitignore,.gitignore,58,29,8,21,0
XML,pom.xml,pom.xml,332,252,40,40,0
XML,src/main/webapp/WEB-INF/web.xml,web.xml,4,3,0,1,0
Java,src/test/java/com/jfinal/template/EngineTest.java,EngineTest.java,30,23,0,7,0
Java,src/main/java/com/jfinal/log/Log4jLogFactory.java,Log4jLogFactory.java,31,9,18,4,0
Java,src/main/java/com/jfinal/log/Log4jLog.java,Log4jLog.java,190,132,23,35,18
Java,src/main/java/com/jfinal/kit/HandlerKit.java,HandlerKit.java,80,48,18,14,10
Java,src/main/java/com/jfinal/plugin/IPlugin.java,IPlugin.java,25,5,18,2,0
Plain Text,src/test/java/com/jfinal/template/switch.txt,switch.txt,10,10,0,0,0
Java,src/main/java/com/jfinal/kit/ElKit.java,ElKit.java,74,34,27,13,0
Java,src/main/java/com/jfinal/kit/Ret.java,Ret.java,242,138,64,40,19
Java,src/main/java/com/jfinal/kit/Func.java,Func.java,161,67,73,21,0
Java,src/main/java/com/jfinal/render/XmlRender.java,XmlRender.java,38,10,18,10,0
Java,src/main/java/com/jfinal/kit/HttpKit.java,HttpKit.java,325,232,47,46,34
Java,src/main/java/com/jfinal/template/Template.java,Template.java,214,95,93,26,4
Java,src/main/java/com/jfinal/kit/PropKit.java,PropKit.java,244,151,56,37,21
Java,src/main/java/com/jfinal/i18n/I18n.java,I18n.java,102,51,37,14,6
Java,src/main/java/com/jfinal/kit/PathKit.java,PathKit.java,148,77,51,20,12
Java,src/main/java/com/jfinal/i18n/Res.java,Res.java,68,25,31,12,2
Java,src/test/java/com/jfinal/template/SwitchTest.java,SwitchTest.java,31,25,0,6,0
Java,src/main/java/com/jfinal/upload/OreillyCos.java,OreillyCos.java,71,47,18,6,3
Plain Text,src/main/java/com/jfinal/server/Run_Configurations.txt,Run_Configurations.txt,10,6,0,4,0
Java,src/main/java/com/jfinal/i18n/I18nInterceptor.java,I18nInterceptor.java,139,75,42,22,13
Java,src/main/java/com/jfinal/upload/UploadFile.java,UploadFile.java,74,38,18,18,5
Java,src/main/java/com/jfinal/template/Directive.java,Directive.java,63,13,38,12,0
Java,src/main/java/com/jfinal/upload/MultipartRequest.java,MultipartRequest.java,173,140,21,12,4
Java,src/main/java/com/jfinal/template/TemplateException.java,TemplateException.java,36,11,18,7,2
Java,src/main/java/com/jfinal/captcha/CaptchaRender.java,CaptchaRender.java,249,154,67,28,21
Java,src/main/java/com/jfinal/upload/ExceededSizeException.java,ExceededSizeException.java,19,7,6,6,0
Java,src/main/java/com/jfinal/template/Env.java,Env.java,127,67,43,17,11
Java,src/main/java/com/jfinal/kit/ImageKit.java,ImageKit.java,82,30,43,9,1
Java,src/main/java/com/jfinal/kit/HashKit.java,HashKit.java,124,77,24,23,10
Java,src/main/java/com/jfinal/server/IServer.java,IServer.java,22,5,15,2,0
Java,src/main/java/com/jfinal/kit/StrKit.java,StrKit.java,208,133,49,26,37
Java,src/main/java/com/jfinal/kit/TimeKit.java,TimeKit.java,239,116,92,31,4
Java,src/main/java/com/jfinal/kit/Okv.java,Okv.java,175,107,37,31,21
Java,src/main/java/com/jfinal/captcha/Captcha.java,Captcha.java,99,41,39,19,4
Java,src/main/java/com/jfinal/render/RenderFactory.java,RenderFactory.java,216,143,28,45,1
Java,src/main/java/com/jfinal/render/IRenderFactory.java,IRenderFactory.java,97,39,21,37,0
Java,src/main/java/com/jfinal/render/NullRender.java,NullRender.java,30,5,21,4,0
Java,src/main/java/com/jfinal/ext/interceptor/POST.java,POST.java,35,14,18,3,2
Java,src/main/java/com/jfinal/ext/interceptor/NoUrlPara.java,NoUrlPara.java,35,14,18,3,3
Java,src/main/java/com/jfinal/template/EngineConfig.java,EngineConfig.java,465,363,51,51,11
Java,src/main/java/com/jfinal/ext/interceptor/LogInterceptor.java,LogInterceptor.java,32,8,19,5,0
Java,src/main/java/com/jfinal/plugin/c3p0/C3p0Plugin.java,C3p0Plugin.java,187,142,18,27,18
Java,src/main/java/com/jfinal/kit/SyncWriteMap.java,SyncWriteMap.java,92,47,28,17,0
Java,src/main/java/com/jfinal/aop/Interceptor.java,Interceptor.java,25,4,18,3,0
Java,src/main/java/com/jfinal/log/LogManager.java,LogManager.java,50,18,22,10,0
Java,src/main/java/com/jfinal/template/stat/Parser.java,Parser.java,280,233,19,28,34
Java,src/main/java/com/jfinal/template/Engine.java,Engine.java,697,359,253,85,31
Java,src/main/java/com/jfinal/kit/Kv.java,Kv.java,172,107,34,31,21
Java,src/main/java/com/jfinal/ext/cors/CORSInterceptor.java,CORSInterceptor.java,101,56,26,19,9
Java,src/main/java/com/jfinal/captcha/CaptchaCache.java,CaptchaCache.java,81,44,23,14,3
Java,src/main/java/com/jfinal/render/TextRender.java,TextRender.java,83,42,22,19,3
Java,src/main/java/com/jfinal/render/TemplateRender.java,TemplateRender.java,91,50,18,23,6
Java,src/main/java/com/jfinal/render/JavascriptRender.java,JavascriptRender.java,28,6,18,4,0
Java,src/main/java/com/jfinal/render/ErrorRender.java,ErrorRender.java,87,48,20,19,12
Java,src/main/java/com/jfinal/ext/cors/EnableCORS.java,EnableCORS.java,47,16,20,11,0
Java,src/main/java/com/jfinal/render/JsonRender.java,JsonRender.java,187,116,39,32,21
Java,src/main/java/com/jfinal/kit/JavaKeyword.java,JavaKeyword.java,120,85,18,17,2
Java,src/main/java/com/jfinal/template/stat/Compressor.java,Compressor.java,107,51,40,16,14
Java,src/main/java/com/jfinal/kit/ReflectKit.java,ReflectKit.java,80,28,37,15,2
Java,src/main/java/com/jfinal/captcha/CaptchaManager.java,CaptchaManager.java,52,25,18,9,6
Java,src/main/java/com/jfinal/render/RenderManager.java,RenderManager.java,154,115,23,16,4
Java,src/main/java/com/jfinal/render/ContentType.java,ContentType.java,88,42,30,16,0
Java,src/main/java/com/jfinal/render/HtmlRender.java,HtmlRender.java,31,6,18,7,0
Java,src/main/java/com/jfinal/render/RedirectRender.java,RedirectRender.java,122,64,41,17,20
Java,src/main/java/com/jfinal/aop/InvocationWrapper.java,InvocationWrapper.java,154,73,59,22,4
Java,src/main/java/com/jfinal/kit/Prop.java,Prop.java,250,163,53,34,30
Java,src/main/java/com/jfinal/aop/Inject.java,Inject.java,18,12,3,3,0
Java,src/main/java/com/jfinal/render/JspRender.java,JspRender.java,160,103,33,24,31
Java,src/main/java/com/jfinal/json/JFinalJsonKit.java,JFinalJsonKit.java,840,606,102,132,119
Java,src/main/java/com/jfinal/ext/render/StaticHtmlRender.java,StaticHtmlRender.java,34,7,18,9,0
Java,src/main/java/com/jfinal/render/VelocityRender.java,VelocityRender.java,149,73,54,22,5
Java,src/main/java/com/jfinal/ext/interceptor/NotAction.java,NotAction.java,39,9,27,3,0
Java,src/main/java/com/jfinal/aop/Invocation.java,Invocation.java,224,130,63,31,24
Java,src/main/java/com/jfinal/render/Redirect301Render.java,Redirect301Render.java,47,15,19,13,0
Java,src/main/java/com/jfinal/aop/PrototypeInterceptor.java,PrototypeInterceptor.java,35,13,18,4,0
Java,src/main/java/com/jfinal/aop/InterceptorStack.java,InterceptorStack.java,68,34,18,16,10
Java,src/main/java/com/jfinal/json/JsonManager.java,JsonManager.java,41,14,18,9,0
Java,src/main/java/com/jfinal/log/Slf4jLogFactory.java,Slf4jLogFactory.java,184,121,23,40,6
Java,src/main/java/com/jfinal/ext/render/CaptchaRender.java,CaptchaRender.java,151,100,33,18,10
Java,src/main/java/com/jfinal/render/ViewType.java,ViewType.java,27,7,18,2,0
Java,src/main/java/com/jfinal/render/FreeMarkerRender.java,FreeMarkerRender.java,165,88,57,20,3
Java,src/main/java/com/jfinal/aop/Singleton.java,Singleton.java,17,12,3,2,0
Java,src/main/java/com/jfinal/render/RenderException.java,RenderException.java,42,16,18,8,0
Java,src/main/java/com/jfinal/ext/interceptor/Restful.java,Restful.java,115,55,46,14,15
Java,src/main/java/com/jfinal/aop/Enhancer.java,Enhancer.java,54,9,37,8,0
Java,src/main/java/com/jfinal/render/Render.java,Render.java,75,41,21,13,5
Java,src/main/java/com/jfinal/aop/Clear.java,Clear.java,48,12,32,4,0
Java,src/main/java/com/jfinal/render/QrCodeRender.java,QrCodeRender.java,118,78,27,13,20
Java,src/main/java/com/jfinal/aop/AopManager.java,AopManager.java,191,49,123,19,2
Java,src/main/java/com/jfinal/kit/AesKit.java,AesKit.java,115,89,10,16,10
Java,src/main/java/com/jfinal/ext/kit/DateKit.java,DateKit.java,95,61,18,16,9
Java,src/main/java/com/jfinal/template/stat/LineCompressor.java,LineCompressor.java,142,69,54,19,30
Java,src/main/java/com/jfinal/render/FileRender.java,FileRender.java,298,263,23,12,6
Java,src/main/java/com/jfinal/ext/kit/ElResolverListener.java,ElResolverListener.java,44,11,24,9,0
Java,src/main/java/com/jfinal/ext/kit/SessionIdKit.java,SessionIdKit.java,72,36,25,11,6
Java,src/main/java/com/jfinal/captcha/ICaptchaCache.java,ICaptchaCache.java,30,7,18,5,0
Java,src/main/java/com/jfinal/kit/Base64Kit.java,Base64Kit.java,147,67,61,19,2
Java,src/main/java/com/jfinal/kit/FileKit.java,FileKit.java,57,34,18,5,13
Java,src/main/java/com/jfinal/kit/LogKit.java,LogKit.java,150,84,34,32,0
Java,src/main/java/com/jfinal/template/stat/ParaToken.java,ParaToken.java,52,24,19,9,1
Java,src/main/java/com/jfinal/ext/proxy/CglibProxyFactory.java,CglibProxyFactory.java,103,54,31,18,6
Java,src/main/java/com/jfinal/kit/JsonKit.java,JsonKit.java,54,19,27,8,1
Java,src/main/java/com/jfinal/template/stat/OutputDirectiveFactory.java,OutputDirectiveFactory.java,60,9,44,7,0
Java,src/main/java/com/jfinal/ext/handler/RoutesHandler.java,RoutesHandler.java,46,19,20,7,0
Java,src/main/java/com/jfinal/ext/interceptor/SessionInViewInterceptor.java,SessionInViewInterceptor.java,157,97,29,31,5
Java,src/main/java/com/jfinal/ext/handler/ContextPathHandler.java,ContextPathHandler.java,50,21,22,7,1
Java,src/main/java/com/jfinal/ext/handler/FakeStaticHandler.java,FakeStaticHandler.java,60,33,18,9,6
Java,src/main/java/com/jfinal/plugin/druid/IDruidStatViewAuth.java,IDruidStatViewAuth.java,27,6,18,3,0
Java,src/main/java/com/jfinal/ext/handler/UrlSkipHandler.java,UrlSkipHandler.java,51,22,21,8,3
Java,src/main/java/com/jfinal/ext/handler/ServerNameRedirect301Handler.java,ServerNameRedirect301Handler.java,111,45,47,19,9
Java,src/main/java/com/jfinal/template/stat/ParseException.java,ParseException.java,34,10,19,5,2
Java,src/main/java/com/jfinal/ext/interceptor/GET.java,GET.java,35,14,18,3,2
Java,src/main/java/com/jfinal/template/stat/Ctrl.java,Ctrl.java,130,75,23,32,8
Java,src/main/java/com/jfinal/template/stat/TextToken.java,TextToken.java,94,44,36,14,7
Java,src/main/java/com/jfinal/plugin/druid/DruidStatViewHandler.java,DruidStatViewHandler.java,176,125,23,28,43
Java,src/main/java/com/jfinal/plugin/cron4j/ITask.java,ITask.java,24,4,18,2,0
Java,src/main/java/com/jfinal/template/stat/CharTable.java,CharTable.java,145,94,24,27,33
Java,src/main/java/com/jfinal/template/stat/Symbol.java,Symbol.java,110,68,18,24,0
Java,src/main/java/com/jfinal/plugin/ehcache/RenderInfo.java,RenderInfo.java,99,72,18,9,21
Java,src/main/java/com/jfinal/plugin/druid/DruidPlugin.java,DruidPlugin.java,416,286,72,58,34
Java,src/main/java/com/jfinal/plugin/activerecord/TableMapping.java,TableMapping.java,53,21,20,12,1
Java,src/main/java/com/jfinal/plugin/activerecord/OneConnectionPerThread.java,OneConnectionPerThread.java,55,31,19,5,4
Java,src/main/java/com/jfinal/plugin/activerecord/CaseInsensitiveContainerFactory.java,CaseInsensitiveContainerFactory.java,108,62,25,21,6
Java,src/main/java/com/jfinal/ext/proxy/CglibCallback.java,CglibCallback.java,80,45,21,14,6
Java,src/main/java/com/jfinal/plugin/activerecord/ActiveRecordPlugin.java,ActiveRecordPlugin.java,309,193,69,47,34
Java,src/main/java/com/jfinal/plugin/ehcache/IDataLoader.java,IDataLoader.java,33,5,26,2,0
Java,src/main/java/com/jfinal/template/stat/Lexer.java,Lexer.java,618,465,90,63,185
Java,src/main/java/com/jfinal/plugin/activerecord/IContainerFactory.java,IContainerFactory.java,44,22,15,7,0
Java,src/main/java/com/jfinal/plugin/hikaricp/HikariCpPlugin.java,HikariCpPlugin.java,381,151,174,56,13
Java,src/main/java/com/jfinal/plugin/activerecord/Page.java,Page.java,127,64,41,22,1
Java,src/main/java/com/jfinal/plugin/activerecord/SqlReporter.java,SqlReporter.java,67,37,18,12,2
Java,src/main/java/com/jfinal/plugin/ehcache/CacheKit.java,CacheKit.java,106,72,18,16,9
Java,src/main/java/com/jfinal/plugin/ehcache/CacheInterceptor.java,CacheInterceptor.java,139,96,22,21,20
