Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
License,LICENSE,LICENSE,22,15,0,7,0
XML,pom-jna-platform.xml,pom-jna-platform.xml,61,54,0,7,0
XML,checkstyle_suppressions.xml,checkstyle_suppressions.xml,10,8,0,2,0
XML,pom-jna.xml,pom-jna.xml,53,47,0,6,0
gitignore,.gitignore,.gitignore,33,32,1,0,0
YAML,.travis.yml,.travis.yml,38,32,0,6,0
XML,parent/build-compile.xml,build-compile.xml,144,113,18,13,0
Markdown,README.md,README.md,178,131,0,47,0
XML,checkstyle.xml,checkstyle.xml,27,26,0,1,0
XML,parent/build-base.xml,build-base.xml,99,71,12,16,0
XML,build.xml,build.xml,1553,1359,104,90,0
YAML,appveyor.yml,appveyor.yml,20,17,0,3,0
XML,build-ant-tools.xml,build-ant-tools.xml,20,20,0,0,0
XML,parent/pom.xml,pom.xml,307,270,7,30,0
Java,src/com/sun/jna/MethodResultContext.java,MethodResultContext.java,43,12,27,4,0
Markdown,.github/ISSUE_TEMPLATE.md,ISSUE_TEMPLATE.md,17,15,0,2,0
Java,ant-tools-src/com/sun/jna/ant/Opens.java,Opens.java,77,44,23,10,7
Java,src/com/sun/jna/ToNativeConverter.java,ToNativeConverter.java,55,5,49,1,0
XML,contrib/msoffice/build.xml,build.xml,68,51,9,8,0
XML,contrib/monitordemo/build.xml,build.xml,68,51,9,8,0
HTML,src/com/sun/jna/package.html,package.html,34,7,25,2,0
XML,contrib/shapedwindowdemo/build.xml,build.xml,68,51,9,8,0
Java,src/com/sun/jna/LastErrorException.java,LastErrorException.java,77,38,31,8,1
XML,nbproject/project.xml,project.xml,107,101,6,0,0
Java,src/com/sun/jna/Library.java,Library.java,269,147,104,18,33
Java,src/com/sun/jna/CallbackProxy.java,CallbackProxy.java,41,6,33,2,0
Java,src/com/sun/jna/NativeString.java,NativeString.java,141,75,49,17,8
Markdown,CHANGES.md,CHANGES.md,1207,1038,0,169,0
XML,contrib/ntservice/build.xml,build.xml,73,5,68,0,0
Java,ant-tools-src/com/sun/jna/BuildArmSoftFloatDetector.java,BuildArmSoftFloatDetector.java,69,25,37,7,0
Java,ant-tools-src/com/sun/jna/ant/Requires.java,Requires.java,60,28,23,9,0
Java,src/com/sun/jna/AltCallingConvention.java,AltCallingConvention.java,30,2,27,1,0
