Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
Markdown,README.md,README.md,4,3,0,1,0
gitignore,.gitignore,.gitignore,54,37,9,8,0
License,LICENSE,LICENSE,339,281,0,58,0
Python,samples/oop_advance/special_str.py,special_str.py,14,7,2,5,0
Python,samples/functional/do_filter.py,do_filter.py,14,7,2,5,1
Python,samples/oop_advance/create_class_on_the_fly.py,create_class_on_the_fly.py,13,8,2,3,0
Python,samples/oop_basic/get_type.py,get_type.py,14,6,3,5,0
Python,samples/advance/do_generator.py,do_generator.py,31,23,3,5,8
Python,samples/advance/do_slice.py,do_slice.py,16,11,2,3,0
Python,samples/advance/do_listcompr.py,do_listcompr.py,12,7,2,3,13
Python,samples/socket/do_tcp.py,do_tcp.py,35,22,7,6,2
Python,samples/advance/do_iter.py,do_iter.py,64,43,8,13,14
Python,samples/advance/do_yield.py,do_yield.py,29,19,4,6,7
Python,samples/db/do_sqlite.py,do_sqlite.py,34,16,15,3,0
Python,samples/oop_basic/attrs.py,attrs.py,25,16,2,7,0
Python,samples/regex/regex.py,regex.py,13,8,2,3,0
Python,samples/multitask/do_subprocess.py,do_subprocess.py,14,9,2,3,0
Python,samples/multitask/do_queue.py,do_queue.py,34,21,9,4,4
Python,samples/oop_basic/get_instance.py,get_instance.py,30,21,2,7,0
Python,samples/debug/do_logging.py,do_logging.py,10,6,2,2,0
Python,samples/oop_advance/use_slots.py,use_slots.py,21,14,3,4,0
Python,samples/socket/udp_client.py,udp_client.py,14,6,4,4,2
Python,samples/oop_basic/protected_student.py,protected_student.py,35,25,2,8,2
Python,samples/oop_advance/special_iter.py,special_iter.py,19,12,2,5,3
Python,samples/oop_basic/animals.py,animals.py,32,22,2,8,0
Python,samples/debug/mydict2.py,mydict2.py,42,35,6,1,0
Python,samples/socket/udp_server.py,udp_server.py,18,9,4,5,1
Python,samples/oop_basic/student.py,student.py,29,20,2,7,1
Python,samples/debug/err_raise.py,err_raise.py,12,8,1,3,1
Python,samples/oop_advance/use_property.py,use_property.py,22,15,3,4,4
Python,samples/debug/mydict.py,mydict.py,14,10,0,4,0
Python,samples/oop_advance/special_getitem.py,special_getitem.py,30,25,2,3,8
Python,samples/debug/err.py,err.py,12,7,1,4,0
Python,samples/oop_advance/use_metaclass.py,use_metaclass.py,19,12,4,3,0
Python,samples/oop_advance/special_getattr.py,special_getattr.py,21,14,3,4,2
Python,samples/db/do_mysql.py,do_mysql.py,31,14,11,6,0
Python,samples/debug/do_assert.py,do_assert.py,12,7,2,3,0
Python,samples/multitask/pooled_processing.py,pooled_processing.py,22,17,2,3,3
Python,samples/function/call_func.py,call_func.py,9,6,2,1,0
Python,samples/debug/mydict_test.py,mydict_test.py,39,27,2,10,2
Python,samples/multitask/task_worker.py,task_worker.py,36,22,10,4,2
Python,samples/basic/hello.py,hello.py,4,1,2,1,0
Python,samples/basic/the_list.py,the_list.py,12,9,2,1,0
Python,samples/packages/pil/use_pil_resize.py,use_pil_resize.py,15,7,6,2,0
Python,samples/oop_advance/special_call.py,special_call.py,12,7,2,3,0
Python,samples/packages/pil/use_pil_draw.py,use_pil_draw.py,37,20,11,6,6
Python,samples/basic/do_input.py,do_input.py,5,2,2,1,0
Python,samples/micropython/smallcar/main.py,main.py,51,41,2,8,11
Python,samples/gui/hello_gui.py,hello_gui.py,27,18,4,5,1
Python,samples/functional/do_partial.py,do_partial.py,9,4,2,3,0
Python,samples/debug/err_reraise.py,err_reraise.py,17,12,1,4,1
Python,samples/functional/decorator.py,decorator.py,33,24,2,7,0
Python,samples/functional/do_sorted.py,do_sorted.py,15,8,2,5,0
Python,samples/oop_advance/orm.py,orm.py,77,56,3,18,8
Python,samples/functional/do_map.py,do_map.py,7,3,2,2,0
Python,samples/micropython/rccar/main.py,main.py,100,82,8,10,20
