Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
License,LICENSE,LICENSE,202,169,0,33,0
XML,pom.xml,pom.xml,415,380,21,14,0
Batch,mvnw.cmd,mvnw.cmd,182,147,0,35,30
Markdown,README.md,README.md,23,18,0,5,0
Plain Text,license.txt,license.txt,13,10,0,3,0
Markdown,CONTRIBUTING.md,CONTRIBUTING.md,62,45,0,17,0
Markdown,ISSUE_TEMPLATE.md,ISSUE_TEMPLATE.md,47,34,0,13,0
YAML,.travis.yml,.travis.yml,32,25,0,7,0
gitignore,.gitignore,.gitignore,18,16,1,1,0
XML,src/site/site_zh.xml,site_zh.xml,56,37,17,2,0
XML,src/site/site_fr.xml,site_fr.xml,60,41,17,2,0
XML,src/site/site.xml,site.xml,56,37,17,2,0
XML,src/site/site_es.xml,site_es.xml,58,39,17,2,0
XML,src/site/site_ja.xml,site_ja.xml,59,40,17,2,0
YAML,.github/dependabot.yml,dependabot.yml,29,13,15,1,0
Shell,mvnw,mvnw,310,230,54,26,34
XML,src/site/pdf.xml,pdf.xml,48,28,17,3,0
Shell,travis/after_success.sh,after_success.sh,62,19,32,11,11
Properties File,src/test/java/log4j.properties,log4j.properties,30,7,18,5,0
XML,src/site/site_ko.xml,site_ko.xml,56,38,17,1,0
XML,travis/settings.xml,settings.xml,33,16,17,0,0
XML,src/test/java/resources/nodelet_test.xml,nodelet_test.xml,30,13,17,0,0
Properties File,.mvn/wrapper/maven-wrapper.properties,maven-wrapper.properties,2,2,0,0,0
Java,.mvn/wrapper/MavenWrapperDownloader.java,MavenWrapperDownloader.java,117,76,31,10,9
Java,src/main/java/org/apache/ibatis/session/package-info.java,package-info.java,19,1,18,0,0
Java,src/main/java/org/apache/ibatis/reflection/OptionalUtil.java,OptionalUtil.java,34,11,18,5,0
Java,src/main/java/org/apache/ibatis/logging/package-info.java,package-info.java,19,1,18,0,0
Java,src/main/java/org/apache/ibatis/reflection/ExceptionUtil.java,ExceptionUtil.java,43,19,19,5,5
Java,src/main/java/org/apache/ibatis/reflection/ReflectorFactory.java,ReflectorFactory.java,25,6,15,4,0
Java,src/main/java/org/apache/ibatis/reflection/ParamNameUtil.java,ParamNameUtil.java,42,22,15,5,0
XML,src/site/es/xdoc/logging.xml,logging.xml,163,130,17,16,0
Java,src/main/java/org/apache/ibatis/logging/LogFactory.java,LogFactory.java,113,70,24,19,3
Java,src/test/java/org/apache/ibatis/BaseDataTest.java,BaseDataTest.java,91,64,15,12,0
Java,src/test/java/org/apache/ibatis/session/SqlSessionManagerTest.java,SqlSessionManagerTest.java,114,86,15,13,0
Java,src/main/java/org/apache/ibatis/logging/LogException.java,LogException.java,43,17,18,8,0
Java,src/test/java/org/apache/ibatis/session/AutoMappingUnknownColumnBehaviorTest.java,AutoMappingUnknownColumnBehaviorTest.java,139,98,21,20,0
XML,src/site/es/xdoc/getting-started.xml,getting-started.xml,392,367,17,8,0
Java,src/main/java/org/apache/ibatis/session/defaults/DefaultSqlSessionFactory.java,DefaultSqlSessionFactory.java,145,105,21,19,6
Java,src/main/java/org/apache/ibatis/logging/Log.java,Log.java,37,10,18,9,0
Java,src/main/java/org/apache/ibatis/session/defaults/DefaultSqlSession.java,DefaultSqlSession.java,341,270,25,46,15
Java,src/main/java/org/apache/ibatis/reflection/MetaClass.java,MetaClass.java,194,151,20,23,32
Java,src/main/java/org/apache/ibatis/session/SqlSessionFactory.java,SqlSessionFactory.java,45,13,20,12,0
Java,src/main/java/org/apache/ibatis/package-info.java,package-info.java,19,1,18,0,0
XML,src/site/es/xdoc/dynamic-sql.xml,dynamic-sql.xml,237,218,17,2,0
Java,src/main/java/org/apache/ibatis/reflection/ParamNameResolver.java,ParamNameResolver.java,173,98,61,14,27
Java,src/main/java/org/apache/ibatis/session/ResultContext.java,ResultContext.java,31,7,18,6,0
Java,src/main/java/org/apache/ibatis/session/RowBounds.java,RowBounds.java,48,22,18,8,0
Java,src/main/java/org/apache/ibatis/session/ExecutorType.java,ExecutorType.java,23,4,18,1,0
Java,src/main/java/org/apache/ibatis/session/AutoMappingUnknownColumnBehavior.java,AutoMappingUnknownColumnBehavior.java,90,38,43,9,1
XML,src/site/es/xdoc/index.xml,index.xml,56,35,17,4,0
Java,src/test/java/org/apache/ibatis/session/SqlSessionTest.java,SqlSessionTest.java,834,723,17,94,4
Java,src/main/java/org/apache/ibatis/session/SqlSessionException.java,SqlSessionException.java,42,17,18,7,0
Java,src/main/java/org/apache/ibatis/session/SqlSession.java,SqlSession.java,290,40,217,33,0
XML,src/site/fr/xdoc/getting-started.xml,getting-started.xml,359,336,17,6,0
XML,src/site/es/xdoc/configuration.xml,configuration.xml,1868,1777,21,70,0
XML,src/site/es/xdoc/java-api.xml,java-api.xml,693,619,17,57,0
Java,src/main/java/org/apache/ibatis/logging/log4j/package-info.java,package-info.java,19,1,18,0,0
Java,src/main/java/org/apache/ibatis/parsing/TokenHandler.java,TokenHandler.java,24,4,18,2,0
Java,src/main/java/org/apache/ibatis/session/TransactionIsolationLevel.java,TransactionIsolationLevel.java,46,17,24,5,0
Java,src/main/java/org/apache/ibatis/builder/ResultMapResolver.java,ResultMapResolver.java,50,26,18,6,0
Java,src/main/java/org/apache/ibatis/session/SqlSessionManager.java,SqlSessionManager.java,369,287,19,63,20
Java,src/main/java/org/apache/ibatis/reflection/Jdk.java,Jdk.java,80,40,31,9,0
Java,src/main/java/org/apache/ibatis/logging/jdk14/Jdk14LoggingImpl.java,Jdk14LoggingImpl.java,69,38,18,13,0
CSS,src/site/fr/resources/css/site.css,site.css,30,7,22,1,0
CSS,src/site/es/resources/css/site.css,site.css,30,7,22,1,0
Java,src/main/java/org/apache/ibatis/parsing/ParsingException.java,ParsingException.java,41,17,18,6,0
Java,src/main/java/org/apache/ibatis/logging/log4j/Log4jImpl.java,Log4jImpl.java,70,39,18,13,0
Java,src/main/java/org/apache/ibatis/logging/jdk14/package-info.java,package-info.java,19,1,18,0,0
Java,src/main/java/org/apache/ibatis/session/ResultHandler.java,ResultHandler.java,25,4,18,3,0
Java,src/main/java/org/apache/ibatis/session/LocalCacheScope.java,LocalCacheScope.java,23,4,18,1,0
Java,src/main/java/org/apache/ibatis/logging/jdbc/ConnectionLogger.java,ConnectionLogger.java,96,49,38,9,7
Java,src/main/java/org/apache/ibatis/parsing/XPathParser.java,XPathParser.java,275,206,21,48,3
Java,src/main/java/org/apache/ibatis/session/AutoMappingBehavior.java,AutoMappingBehavior.java,39,6,29,4,0
Java,src/main/java/org/apache/ibatis/logging/nologging/NoLoggingImpl.java,NoLoggingImpl.java,64,29,24,11,0
Java,src/main/java/org/apache/ibatis/session/SqlSessionFactoryBuilder.java,SqlSessionFactoryBuilder.java,95,60,22,13,0
XML,src/site/es/xdoc/statement-builders.xml,statement-builders.xml,585,537,17,31,0
Java,src/main/java/org/apache/ibatis/parsing/PropertyParser.java,PropertyParser.java,97,50,35,12,8
Java,src/main/java/org/apache/ibatis/builder/BaseBuilder.java,BaseBuilder.java,151,114,20,17,23
Java,src/main/java/org/apache/ibatis/logging/nologging/package-info.java,package-info.java,19,1,18,0,0
Java,src/main/java/org/apache/ibatis/parsing/package-info.java,package-info.java,19,1,18,0,0
