Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
License,LICENSE,LICENSE,21,17,0,4,0
Markdown,README.md,README.md,287,184,0,103,0
gitignore,.gitignore,.gitignore,12,12,0,0,0
Python,setup.py,setup.py,63,55,0,8,2
Markdown,readme/history.md,history.md,13,11,0,2,0
Markdown,readme/interface.md,interface.md,84,61,0,23,0
Markdown,readme/environment.md,environment.md,12,7,0,5,0
Markdown,readme/multiprocess.md,multiprocess.md,19,15,0,4,0
Markdown,readme/readme_english.md,readme_english.md,216,154,0,62,0
Markdown,readme/comparison.md,comparison.md,52,33,0,19,0
Cython,pkuseg/inference.pyx,inference.pyx,181,156,3,22,54
Python,pkuseg/download.py,download.py,119,99,1,19,25
Python,pkuseg/optimizer.py,optimizer.py,134,83,25,26,17
Python,pkuseg/res_summarize.py,res_summarize.py,122,97,22,3,6
Python,pkuseg/model.py,model.py,107,87,5,15,8
Python,pkuseg/postag/model.py,model.py,82,65,5,12,4
Python,pkuseg/gradient.py,gradient.py,47,33,2,12,6
Python,pkuseg/config.py,config.py,132,108,8,16,1
Python,pkuseg/__init__.py,__init__.py,557,549,1,7,1
Python,pkuseg/postag/__init__.py,__init__.py,59,32,12,15,4
Python,pkuseg/dicts/__init__.py,__init__.py,0,0,0,0,0
Python,pkuseg/scorer.py,scorer.py,91,87,0,4,21
Python,pkuseg/data.py,data.py,411,65,301,45,9
Cython,pkuseg/postag/feature_extractor.pyx,feature_extractor.pyx,340,271,11,58,93
Python,pkuseg/trainer.py,trainer.py,466,283,99,84,56
Cython,pkuseg/feature_extractor.pyx,feature_extractor.pyx,664,500,46,118,192
