Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
License,LICENSE,LICENSE,20,17,0,3,0
Markdown,README.md,README.md,26,16,0,10,0
Shell,generate-stackbrew-library.sh,generate-stackbrew-library.sh,150,118,9,23,13
Shell,update.sh,update.sh,196,141,27,28,20
Dockerfile,3.6/alpine3.12/Dockerfile,Dockerfile,172,145,17,10,29
Dockerfile,3.6/stretch/slim/Dockerfile,Dockerfile,178,154,14,10,37
Dockerfile,3.6/jessie/slim/Dockerfile,Dockerfile,170,147,13,10,37
Dockerfile,3.6/alpine3.11/Dockerfile,Dockerfile,172,145,17,10,29
Dockerfile,3.6/jessie/Dockerfile,Dockerfile,126,104,12,10,27
Dockerfile,3.6/stretch/Dockerfile,Dockerfile,133,110,13,10,27
Dockerfile,3.7/windows/windowsservercore-1809/Dockerfile,Dockerfile,72,56,9,7,1
Dockerfile,3.9/windows/windowsservercore-ltsc2016/Dockerfile,Dockerfile,72,56,9,7,1
Dockerfile,3.9/alpine3.12/Dockerfile,Dockerfile,136,110,16,10,29
Dockerfile,3.10-rc/windows/windowsservercore-ltsc2016/Dockerfile,Dockerfile,72,56,9,7,1
Dockerfile,3.10-rc/buster/slim/Dockerfile,Dockerfile,142,119,13,10,37
Dockerfile,3.7/buster/slim/Dockerfile,Dockerfile,179,155,14,10,37
Dockerfile,3.8/alpine3.11/Dockerfile,Dockerfile,137,111,16,10,29
YAML,.github/workflows/ci.yml,ci.yml,48,43,0,5,0
Dockerfile,3.6/buster/Dockerfile,Dockerfile,133,110,13,10,27
Dockerfile,3.8/windows/windowsservercore-1809/Dockerfile,Dockerfile,72,56,9,7,1
Dockerfile,3.7/buster/Dockerfile,Dockerfile,134,111,13,10,27
Dockerfile,3.8/windows/windowsservercore-ltsc2016/Dockerfile,Dockerfile,72,56,9,7,1
Dockerfile,3.7/stretch/Dockerfile,Dockerfile,134,111,13,10,27
Dockerfile,3.6/buster/slim/Dockerfile,Dockerfile,178,154,14,10,37
Dockerfile,3.7/stretch/slim/Dockerfile,Dockerfile,179,155,14,10,37
Dockerfile,3.10-rc/buster/Dockerfile,Dockerfile,97,75,12,10,27
Dockerfile,3.9/windows/windowsservercore-1809/Dockerfile,Dockerfile,72,56,9,7,1
Dockerfile,3.9/buster/Dockerfile,Dockerfile,97,75,12,10,27
Dockerfile,3.10-rc/windows/windowsservercore-1809/Dockerfile,Dockerfile,72,56,9,7,1
Dockerfile,3.7/alpine3.12/Dockerfile,Dockerfile,173,146,17,10,29
Dockerfile,3.7/windows/windowsservercore-ltsc2016/Dockerfile,Dockerfile,72,56,9,7,1
Dockerfile,3.7/alpine3.11/Dockerfile,Dockerfile,173,146,17,10,29
Dockerfile,3.10-rc/alpine3.12/Dockerfile,Dockerfile,136,110,16,10,29
Dockerfile,3.9/buster/slim/Dockerfile,Dockerfile,142,119,13,10,37
Dockerfile,3.8/buster/Dockerfile,Dockerfile,98,76,12,10,27
Dockerfile,3.8/alpine3.12/Dockerfile,Dockerfile,137,111,16,10,29
Dockerfile,3.8/buster/slim/Dockerfile,Dockerfile,143,120,13,10,37
