Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
JSON,renovate.json,renovate.json,17,17,0,0,0
License,LICENSE,LICENSE,201,169,0,32,0
Markdown,MAC_SETUP.md,MAC_SETUP.md,184,137,0,47,0
Python,noxfile_config.py,noxfile_config.py,37,5,26,6,0
Markdown,AUTHORING_GUIDE.md,AUTHORING_GUIDE.md,644,489,0,155,0
Markdown,ISSUE_TEMPLATE.md,ISSUE_TEMPLATE.md,12,7,0,5,0
gitignore,.gitignore,.gitignore,29,29,0,0,0
Python,noxfile-template.py,noxfile-template.py,237,169,43,25,6
YAML,.travis.yml,.travis.yml,35,32,3,0,0
Markdown,CONTRIBUTING.md,CONTRIBUTING.md,42,29,0,13,0
Markdown,README.md,README.md,33,23,0,10,0
Markdown,billing/README.md,README.md,9,5,0,4,0
Python,monitoring/api/v3/api-client/custom_metric_test.py,custom_metric_test.py,114,59,33,22,4
ReStructuredText,datacatalog/cloud-client/README.rst,README.rst,3,2,0,1,0
Shell,.kokoro/tests/run_tests.sh,run_tests.sh,184,109,46,29,23
Shell,.kokoro/tests/run_tests_diff_head.sh,run_tests_diff_head.sh,16,2,14,0,0
Markdown,monitoring/api/v3/uptime-check-client/README.md,README.md,3,2,0,1,0
Markdown,run/README.md,README.md,114,81,0,33,0
Plain Text,profiler/quickstart/requirements.txt,requirements.txt,1,1,0,0,0
Plain Text,profiler/quickstart/requirements-test.txt,requirements-test.txt,1,1,0,0,0
gitignore,monitoring/api/v3/alerts-client/.gitignore,.gitignore,1,1,0,0,0
Python,profiler/quickstart/main.py,main.py,65,26,25,14,8
YAML,.kokoro/docker/cloudbuild.yaml,cloudbuild.yaml,24,9,13,2,0
Python,logging/cloud-client/handler_test.py,handler_test.py,22,5,13,4,1
Markdown,monitoring/api/v3/cloud-client/README.md,README.md,3,2,0,1,0
Python,dns/api/main.py,main.py,164,92,30,42,13
Dockerfile,.kokoro/docker/Dockerfile,Dockerfile,177,109,46,22,39
Shell,.kokoro/tests/run_tests_orig.sh,run_tests_orig.sh,208,119,63,26,28
Markdown,monitoring/api/v3/alerts-client/README.md,README.md,3,2,0,1,0
Markdown,billing/cap-billing-walkthrough.md,cap-billing-walkthrough.md,156,107,0,49,0
Markdown,dataproc/README.md,README.md,3,2,0,1,0
Shell,.kokoro/docker/fetch_gpg_keys.sh,fetch_gpg_keys.sh,49,24,19,6,3
Plain Text,run/image-processing/requirements.txt,requirements.txt,7,7,0,0,0
Dockerfile,run/image-processing/Dockerfile,Dockerfile,48,12,29,7,0
Plain Text,run/image-processing/requirements-test.txt,requirements-test.txt,2,2,0,0,0
Markdown,run/image-processing/README.md,README.md,58,36,0,22,0
Python,logging/cloud-client/quickstart_test.py,quickstart_test.py,22,5,13,4,1
Autoconf,dns/api/README.rst.in,README.rst.in,24,18,1,5,2
Plain Text,run/pubsub/requirements.txt,requirements.txt,4,4,0,0,0
Python,jobs/v3/api_client/location_search_sample_test.py,location_search_sample_test.py,47,27,13,7,0
Python,run/hello-broken/e2e_test.py,e2e_test.py,111,75,21,15,1
Python,jobs/v3/api_client/featured_job_search_sample.py,featured_job_search_sample.py,109,85,18,6,1
Autoconf,jobs/v3/api_client/README.rst.in,README.rst.in,48,41,1,6,0
Python,logging/cloud-client/snippets.py,snippets.py,103,44,36,23,4
Plain Text,dns/api/requirements.txt,requirements.txt,1,1,0,0,0
Plain Text,dns/api/requirements-test.txt,requirements-test.txt,2,2,0,0,0
ReStructuredText,logging/cloud-client/README.rst,README.rst,168,97,0,71,0
Autoconf,logging/cloud-client/README.rst.in,README.rst.in,28,22,1,5,0
Python,logging/cloud-client/export_test.py,export_test.py,95,75,13,7,0
Python,logging/cloud-client/quickstart.py,quickstart.py,42,10,22,10,1
Python,billing/main.py,main.py,63,44,10,9,3
Python,monitoring/api/v3/api-client/list_resources_test.py,list_resources_test.py,69,36,20,13,3
Python,dns/api/main_test.py,main_test.py,110,65,13,32,4
Python,logging/cloud-client/handler.py,handler.py,49,11,27,11,1
Shell,.kokoro/tests/run_tests_diff_master.sh,run_tests_diff_master.sh,16,2,14,0,0
YAML,run/hello-broken/e2e_test_setup.yaml,e2e_test_setup.yaml,39,22,13,4,0
ReStructuredText,dns/api/README.rst,README.rst,97,54,0,43,0
Shell,.kokoro/tests/run_single_test.sh,run_single_test.sh,94,53,28,13,14
Python,logging/cloud-client/snippets_test.py,snippets_test.py,56,29,13,14,2
Plain Text,logging/cloud-client/requirements.txt,requirements.txt,1,1,0,0,0
Docker ignore,run/image-processing/.dockerignore,.dockerignore,4,4,0,0,0
Plain Text,notebooks/requirements.txt,requirements.txt,4,4,0,0,0
Python,run/markdown-preview/e2e_test.py,e2e_test.py,107,73,19,15,1
YAML,run/logging-manual/e2e_test_setup.yaml,e2e_test_setup.yaml,41,24,13,4,0
Plain Text,run/logging-manual/requirements.txt,requirements.txt,4,4,0,0,0
Dockerfile,run/logging-manual/Dockerfile,Dockerfile,38,8,24,6,0
Plain Text,run/logging-manual/requirements-test.txt,requirements-test.txt,2,2,0,0,0
Python,run/logging-manual/e2e_test.py,e2e_test.py,139,97,24,18,4
Plain Text,notebooks/requirements-test.txt,requirements-test.txt,1,1,0,0,0
Python,logging/cloud-client/export.py,export.py,145,106,28,11,7
Markdown,notebooks/README.md,README.md,82,59,0,23,0
Python,run/image-processing/image_test.py,image_test.py,110,74,13,23,7
Plain Text,run/hello-broken/requirements.txt,requirements.txt,4,4,0,0,0
Plain Text,logging/cloud-client/requirements-test.txt,requirements-test.txt,2,2,0,0,0
Dockerfile,run/hello-broken/Dockerfile,Dockerfile,42,8,26,8,0
Python,run/logging-manual/noxfile_config.py,noxfile_config.py,39,5,27,7,0
Plain Text,run/hello-broken/requirements-test.txt,requirements-test.txt,1,1,0,0,0
Markdown,run/logging-manual/README.md,README.md,47,31,0,16,0
Python,run/hello-broken/noxfile_config.py,noxfile_config.py,39,5,27,7,0
Docker ignore,run/logging-manual/.dockerignore,.dockerignore,4,4,0,0,0
Markdown,run/hello-broken/README.md,README.md,47,30,0,17,0
Python,run/logging-manual/main_test.py,main_test.py,44,18,15,11,3
Python,run/hello-broken/main_test.py,main_test.py,56,30,13,13,1
Python,run/image-processing/main_test.py,main_test.py,68,46,15,7,0
Dockerfile,run/pubsub/Dockerfile,Dockerfile,42,8,26,8,0
Python,run/logging-manual/main.py,main.py,62,22,24,16,5
Python,run/hello-broken/main.py,main.py,67,27,23,17,7
Python,run/image-processing/main.py,main.py,79,50,16,13,14
Python,jobs/v3/api_client/email_alert_search_sample_test.py,email_alert_search_sample_test.py,43,19,14,10,0
YAML,run/markdown-preview/e2e_test_setup.yaml,e2e_test_setup.yaml,73,51,13,9,0
Plain Text,run/pubsub/requirements-test.txt,requirements-test.txt,1,1,0,0,0
Shell,.kokoro/trampoline_v2.sh,trampoline_v2.sh,480,314,109,57,54
Shell,.kokoro/trampoline.sh,trampoline.sh,28,8,16,4,0
gitignore,run/pubsub/.gitignore,.gitignore,2,2,0,0,0
Plain Text,run/markdown-preview/requirements.txt,requirements.txt,0,0,0,0,0
Markdown,run/pubsub/README.md,README.md,43,28,0,15,0
Plain Text,run/markdown-preview/requirements-test.txt,requirements-test.txt,3,3,0,0,0
Jupyter,notebooks/tutorials/cloud-ml-engine/Training and prediction with scikit-learn.ipynb,Training and prediction with scikit-learn.ipynb,570,570,0,0,0
Docker ignore,run/pubsub/.dockerignore,.dockerignore,4,4,0,0,0
Python,run/markdown-preview/noxfile_config.py,noxfile_config.py,39,5,27,7,0
Python,jobs/v3/api_client/general_search_sample_test.py,general_search_sample_test.py,45,24,13,8,0
Dockerfile,run/markdown-preview/editor/Dockerfile,Dockerfile,38,8,24,6,0
Plain Text,run/markdown-preview/editor/requirements-test.txt,requirements-test.txt,1,1,0,0,0
Jupyter,notebooks/tutorials/bigquery/Getting started with BigQuery ML.ipynb,Getting started with BigQuery ML.ipynb,384,384,0,0,0
Python,run/markdown-preview/editor/main_test.py,main_test.py,54,28,13,13,4
Python,run/markdown-preview/editor/main.py,main.py,50,19,18,13,5
CSV,notebooks/tutorials/bigquery/resources/us-states.csv,us-states.csv,51,51,0,0,0
Jupyter,notebooks/tutorials/bigquery/Visualizing BigQuery public data.ipynb,Visualizing BigQuery public data.ipynb,271,271,0,0,0
Python,run/markdown-preview/editor/noxfile.py,noxfile.py,237,169,43,25,6
Python,run/markdown-preview/editor/render.py,render.py,45,16,20,9,2
Markdown,notebooks/rendered/getting-started-with-bigquery-ml.md,getting-started-with-bigquery-ml.md,239,178,0,61,0
Markdown,notebooks/rendered/bigquery-query-magic.md,bigquery-query-magic.md,91,62,0,29,0
Markdown,run/markdown-preview/README.md,README.md,6,3,0,3,0
Python,run/markdown-preview/renderer/noxfile.py,noxfile.py,237,169,43,25,6
Markdown,notebooks/rendered/cloud-storage-client-library.md,cloud-storage-client-library.md,158,95,0,63,0
Plain Text,run/markdown-preview/editor/requirements.txt,requirements.txt,4,4,0,0,0
Python,run/pubsub/main_test.py,main_test.py,63,40,15,8,0
Markdown,run/markdown-preview/editor/templates/markdown.md,markdown.md,19,12,0,7,0
Plain Text,notebooks/samples/requirements.txt,requirements.txt,1,1,0,0,0
Jupyter,notebooks/tutorials/bigquery/BigQuery command-line tool.ipynb,BigQuery command-line tool.ipynb,209,209,0,0,0
Plain Text,notebooks/samples/requirements-test.txt,requirements-test.txt,1,1,0,0,0
Markdown,notebooks/rendered/bigquery-basics.md,bigquery-basics.md,232,163,0,69,0
Markdown,notebooks/rendered/storage-command-line-tool.md,storage-command-line-tool.md,155,96,0,59,0
Markdown,notebooks/samples/README.md,README.md,39,27,0,12,0
Python,jobs/v3/api_client/custom_attribute_sample_test.py,custom_attribute_sample_test.py,39,19,13,7,0
Python,jobs/v3/api_client/base_company_sample_test.py,base_company_sample_test.py,29,12,13,4,0
Jupyter,notebooks/tutorials/bigquery/BigQuery basics.ipynb,BigQuery basics.ipynb,361,361,0,0,0
Python,run/image-processing/image.py,image.py,91,39,29,23,3
HTML,run/markdown-preview/editor/templates/index.html,index.html,106,84,12,10,0
Jupyter,notebooks/tutorials/storage/Storage command-line tool.ipynb,Storage command-line tool.ipynb,328,328,0,0,0
Jupyter,notebooks/tutorials/bigquery/BigQuery query magic.ipynb,BigQuery query magic.ipynb,180,180,0,0,0
YAML,run/system-package/e2e_test_setup.yaml,e2e_test_setup.yaml,40,22,13,5,0
Python,run/pubsub/main.py,main.py,57,30,16,11,10
Jupyter,notebooks/tutorials/bigquery/Getting started with BigQuery ML Feature Engineering.ipynb,Getting started with BigQuery ML Feature Engineering.ipynb,1715,1715,0,0,0
Python,run/system-package/e2e_test.py,e2e_test.py,102,67,20,15,1
Plain Text,run/system-package/requirements.txt,requirements.txt,3,3,0,0,0
Dockerfile,run/system-package/Dockerfile,Dockerfile,44,11,26,7,2
Python,run/helloworld/e2e_test.py,e2e_test.py,97,64,19,14,0
Plain Text,run/system-package/requirements-test.txt,requirements-test.txt,1,1,0,0,0
Markdown,run/system-package/README.md,README.md,44,28,0,16,0
Python,run/system-package/noxfile_config.py,noxfile_config.py,39,5,27,7,0
Docker ignore,run/system-package/.dockerignore,.dockerignore,4,4,0,0,0
Plain Text,jobs/v3/api_client/requirements-test.txt,requirements-test.txt,3,3,0,0,0
Markdown,notebooks/rendered/bigquery-command-line-tool.md,bigquery-command-line-tool.md,101,64,0,37,0
Plain Text,run/markdown-preview/renderer/requirements.txt,requirements.txt,4,4,0,0,0
YAML,run/helloworld/e2e_test_setup.yaml,e2e_test_setup.yaml,37,20,13,4,0
Dockerfile,run/markdown-preview/renderer/Dockerfile,Dockerfile,38,8,24,6,0
Plain Text,run/markdown-preview/renderer/requirements-test.txt,requirements-test.txt,1,1,0,0,0
Python,jobs/v3/api_client/commute_search_sample.py,commute_search_sample.py,92,57,19,16,3
Python,run/markdown-preview/renderer/main_test.py,main_test.py,39,18,13,8,1
Python,run/system-package/main_test.py,main_test.py,45,18,15,12,0
Plain Text,jobs/v3/api_client/requirements.txt,requirements.txt,3,3,0,0,0
Python,jobs/v3/api_client/location_search_sample.py,location_search_sample.py,195,140,27,28,11
Python,run/markdown-preview/renderer/main.py,main.py,43,15,18,10,3
Plain Text,run/helloworld/requirements.txt,requirements.txt,2,2,0,0,0
Dockerfile,run/helloworld/Dockerfile,Dockerfile,38,7,24,7,0
Python,jobs/v3/api_client/noxfile_config.py,noxfile_config.py,37,5,26,6,0
Autoconf,monitoring/api/v3/api-client/README.rst.in,README.rst.in,27,22,1,4,0
Python,jobs/v3/api_client/batch_operation_sample.py,batch_operation_sample.py,136,85,23,28,12
Plain Text,run/helloworld/requirements-test.txt,requirements-test.txt,1,1,0,0,0
Python,jobs/v3/api_client/auto_complete_sample_test.py,auto_complete_sample_test.py,45,24,13,8,0
Python,run/system-package/main.py,main.py,82,36,25,21,9
YAML,profiler/appengine/flexible/app.yaml,app.yaml,19,11,6,2,0
Python,run/helloworld/noxfile_config.py,noxfile_config.py,39,5,27,7,0
Python,jobs/v3/api_client/base_company_sample.py,base_company_sample.py,152,126,18,8,5
YAML,profiler/appengine/standard_python37/app.yaml,app.yaml,1,1,0,0,0
Markdown,notebooks/rendered/visualizing-bigquery-public-data.md,visualizing-bigquery-public-data.md,146,105,0,41,0
Plain Text,profiler/appengine/flexible/requirements.txt,requirements.txt,3,3,0,0,0
Autoconf,media-translation/cloud-client/README.rst.in,README.rst.in,25,19,1,5,0
Plain Text,profiler/appengine/standard_python37/requirements.txt,requirements.txt,2,2,0,0,0
Python,profiler/appengine/standard_python37/main_test.py,main_test.py,24,7,13,4,1
Plain Text,profiler/appengine/standard_python37/requirements-test.txt,requirements-test.txt,1,1,0,0,0
Plain Text,monitoring/api/v3/api-client/requirements.txt,requirements.txt,3,3,0,0,0
Python,profiler/appengine/standard_python37/main.py,main.py,48,12,27,9,1
Plain Text,profiler/appengine/flexible/requirements-test.txt,requirements-test.txt,1,1,0,0,0
Plain Text,monitoring/api/v3/api-client/requirements-test.txt,requirements-test.txt,3,3,0,0,0
Python,jobs/v4beta1/job_search_commute_search_test.py,job_search_commute_search_test.py,25,7,13,5,3
Python,profiler/appengine/flexible/main_test.py,main_test.py,24,7,13,4,1
Python,jobs/v3/api_client/general_search_sample.py,general_search_sample.py,255,188,31,36,15
Python,monitoring/api/v3/api-client/list_resources.py,list_resources.py,120,52,46,22,1
