Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
YAML,mkdocs.yml,mkdocs.yml,11,11,0,0,0
License,LICENSE,LICENSE,13,10,0,3,0
Plain Text,requirements.txt,requirements.txt,1,1,0,0,0
Autoconf,MANIFEST.in,MANIFEST.in,1,1,0,0,0
Markdown,README.md,README.md,118,82,0,36,0
Python,setup.py,setup.py,87,70,14,3,0
gitignore,.gitignore,.gitignore,103,56,25,22,0
Markdown,CONTRIBUTING.md,CONTRIBUTING.md,24,17,0,7,0
YAML,.travis.yml,.travis.yml,32,30,1,1,0
Python,examples/__init__.py,__init__.py,0,0,0,0,0
Python,examples/diff/difffull.py,difffull.py,51,32,17,2,1
Python,examples/diff/__init__.py,__init__.py,0,0,0,0,0
Python,examples/diff/diff_test.py,diff_test.py,95,62,18,15,0
Python,examples/widget/__init__.py,__init__.py,0,0,0,0,0
Python,examples/identity/identity.py,identity.py,28,7,14,7,1
Python,examples/identity/__init__.py,__init__.py,0,0,0,0,0
Python,examples/diff/diff.py,diff.py,105,91,13,1,0
Markdown,docs/installation.md,installation.md,8,5,0,3,0
Python,fire/formatting.py,formatting.py,97,67,15,15,4
Python,fire/custom_descriptions_test.py,custom_descriptions_test.py,73,44,14,15,1
Markdown,docs/guide.md,guide.md,741,534,0,207,0
Python,fire/parser_test.py,parser_test.py,143,100,17,26,1
Python,examples/cipher/cipher_test.py,cipher_test.py,34,11,14,9,1
Markdown,docs/index.md,index.md,118,82,0,36,0
Python,fire/parser_fuzz_test.py,parser_fuzz_test.py,99,68,19,12,11
Python,fire/parser.py,parser.py,130,92,28,10,3
Markdown,docs/api.md,api.md,65,56,0,9,0
Python,fire/docstrings_test.py,docstrings_test.py,284,262,14,8,0
Python,examples/cipher/__init__.py,__init__.py,0,0,0,0,0
Python,fire/trace_test.py,trace_test.py,154,128,14,12,0
Markdown,docs/using-cli.md,using-cli.md,229,160,0,69,0
Python,fire/formatting_test.py,formatting_test.py,82,50,14,18,1
Python,examples/widget/collector_test.py,collector_test.py,39,15,14,10,1
Python,examples/widget/widget_test.py,widget_test.py,36,13,14,9,1
Markdown,docs/benefits.md,benefits.md,61,47,0,14,0
Markdown,docs/troubleshooting.md,troubleshooting.md,13,10,0,3,0
Python,fire/docstrings.py,docstrings.py,760,710,47,3,8
Python,fire/custom_descriptions.py,custom_descriptions.py,151,121,27,3,6
Python,examples/widget/widget.py,widget.py,35,16,14,5,0
Python,examples/widget/collector.py,collector.py,38,12,16,10,3
Python,fire/core_test.py,core_test.py,211,164,18,29,0
Python,examples/cipher/cipher.py,cipher.py,59,35,22,2,2
Python,fire/test_components.py,test_components.py,541,445,34,62,4
Python,fire/interact_test.py,interact_test.py,52,27,14,11,1
Python,fire/decorators_test.py,decorators_test.py,174,113,19,42,1
Python,fire/fire_import_test.py,fire_import_test.py,40,15,15,10,1
Python,fire/completion_test.py,completion_test.py,193,158,18,17,2
Python,fire/__init__.py,__init__.py,24,6,14,4,0
Python,fire/test_components_test.py,test_components_test.py,40,16,15,9,1
Python,fire/testutils.py,testutils.py,102,88,13,1,0
Python,fire/interact.py,interact.py,99,82,16,1,1
Python,fire/formatting_windows.py,formatting_windows.py,60,33,19,8,8
Python,fire/trace.py,trace.py,315,228,66,21,5
Python,fire/test_components_py3.py,test_components_py3.py,89,33,34,22,2
Python,fire/fire_test.py,fire_test.py,726,616,39,71,2
Python,fire/test_components_bin.py,test_components_bin.py,32,9,17,6,1
Python,fire/console/console_io.py,console_io.py,114,53,52,9,25
Python,fire/decorators.py,decorators.py,99,39,44,16,4
Python,fire/helptext_test.py,helptext_test.py,550,488,36,26,0
Python,fire/__main__.py,__main__.py,34,19,14,1,0
Python,fire/console/console_attr.py,console_attr.py,813,797,14,2,0
Python,fire/console/files.py,files.py,116,87,20,9,0
Python,fire/inspectutils.py,inspectutils.py,362,341,14,7,0
Python,fire/value_types.py,value_types.py,85,38,29,18,17
Python,fire/core.py,core.py,974,809,119,46,90
Python,fire/console/__init__.py,__init__.py,0,0,0,0,0
Python,fire/console/encoding.py,encoding.py,207,67,114,26,16
Python,fire/inspectutils_test.py,inspectutils_test.py,141,106,14,21,2
Python,fire/docstrings_fuzz_test.py,docstrings_fuzz_test.py,40,17,14,9,1
Markdown,fire/console/README.md,README.md,3,3,0,0,0
Python,fire/testutils_test.py,testutils_test.py,59,45,13,1,0
Python,fire/main_test.py,main_test.py,42,17,16,9,1
Python,fire/helptext.py,helptext.py,736,681,43,12,6
Python,fire/console/console_pager.py,console_pager.py,299,254,38,7,0
Python,fire/console/text.py,text.py,103,78,20,5,0
Python,fire/console/console_attr_os.py,console_attr_os.py,260,159,70,31,23
Python,fire/console/platforms.py,platforms.py,481,289,139,53,39
Python,fire/completion.py,completion.py,524,488,27,9,2
