Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
Plain Text,requirements.txt,requirements.txt,6,6,0,0,0
Autoconf,MANIFEST.in,MANIFEST.in,2,2,0,0,0
gitignore,.gitignore,.gitignore,13,13,0,0,0
Python,setup.py,setup.py,71,69,2,0,0
Plain Text,LICENSE.txt,LICENSE.txt,202,169,0,33,0
ReStructuredText,README.rst,README.rst,224,164,0,60,0
Python,tests/parsers.py,parsers.py,264,262,2,0,0
Python,tests/configuration.py,configuration.py,40,38,2,0,0
Python,tests/__init__.py,__init__.py,26,24,2,0,0
YAML,.travis.yml,.travis.yml,11,8,0,3,0
Python,goose/network.py,network.py,60,58,2,0,0
Python,goose/extractors/links.py,links.py,36,34,2,0,0
Python,goose/configuration.py,configuration.py,115,113,2,0,1
Python,goose/outputformatters.py,outputformatters.py,137,135,2,0,0
Python,goose/cleaners.py,cleaners.py,261,259,2,0,0
Python,goose/__init__.py,__init__.py,100,98,2,0,4
Python,goose/video.py,video.py,48,46,2,0,0
Plain Text,goose/resources/text/stopwords-es.txt,stopwords-es.txt,310,309,0,1,0
Plain Text,goose/resources/text/stopwords-id.txt,stopwords-id.txt,1309,1309,0,0,0
Plain Text,goose/resources/text/stopwords-ko.txt,stopwords-ko.txt,70,70,0,0,0
Python,tests/article.py,article.py,32,30,2,0,0
Plain Text,goose/resources/text/stopwords-hu.txt,stopwords-hu.txt,403,402,0,1,0
Plain Text,goose/resources/text/stopwords-fi.txt,stopwords-fi.txt,68,68,0,0,0
Plain Text,goose/resources/text/stopwords-da.txt,stopwords-da.txt,101,101,0,0,0
Plain Text,goose/resources/text/stopwords-nb.txt,stopwords-nb.txt,117,117,0,0,0
HTML,tests/data/extractors/publishdate/test_publish_date_schema.html,test_publish_date_schema.html,15,14,0,1,0
HTML,tests/data/extractors/publishdate/test_publish_date_article.html,test_publish_date_article.html,7,7,0,0,0
Python,goose/utils/encoding.py,encoding.py,132,110,15,7,0
Python,goose/parsers.py,parsers.py,244,242,2,0,0
Python,goose/utils/__init__.py,__init__.py,142,136,2,4,5
Python,goose/image.py,image.py,97,95,2,0,0
Python,goose/text.py,text.py,194,192,2,0,0
Python,goose/utils/images.py,images.py,123,121,2,0,0
HTML,tests/data/extractors/publishdate/test_publish_date_rnews.html,test_publish_date_rnews.html,7,7,0,0,0
HTML,tests/data/extractors/publishdate/test_publish_date.html,test_publish_date.html,7,7,0,0,0
HTML,tests/data/extractors/videos/test_iframe.html,test_iframe.html,34,33,0,1,0
JSON,tests/data/extractors/tweets/test_tweet.json,test_tweet.json,6,6,0,0,0
JSON,tests/data/extractors/publishdate/test_publish_date.json,test_publish_date.json,6,6,0,0,0
JSON,tests/data/extractors/publishdate/test_publish_date_rnews.json,test_publish_date_rnews.json,6,6,0,0,0
Python,goose/crawler.py,crawler.py,272,270,2,0,0
JSON,tests/data/extractors/publishdate/test_publish_date_article.json,test_publish_date_article.json,6,6,0,0,0
HTML,tests/data/extractors/tweets/test_tweet.html,test_tweet.html,21,21,0,0,0
Python,goose/extractors/opengraph.py,opengraph.py,39,37,2,0,0
JSON,tests/data/extractors/tags/test_tags_deadline.json,test_tags_deadline.json,11,11,0,0,0
Plain Text,goose/resources/text/stopwords-nl.txt,stopwords-nl.txt,48,48,0,0,0
Plain Text,goose/resources/text/stopwords-zh.txt,stopwords-zh.txt,151,151,0,0,0
Python,goose/article.py,article.py,153,151,2,0,0
Plain Text,goose/resources/text/stopwords-no.txt,stopwords-no.txt,120,120,0,0,0
Plain Text,goose/resources/text/stopwords-ar.txt,stopwords-ar.txt,162,162,0,0,0
Plain Text,goose/resources/text/stopwords-fr.txt,stopwords-fr.txt,220,218,0,2,0
Plain Text,goose/resources/text/stopwords-ru.txt,stopwords-ru.txt,421,421,0,0,0
Plain Text,goose/resources/text/stopwords-en.txt,stopwords-en.txt,546,546,0,0,0
JSON,tests/data/extractors/images/test_basic_image/test_basic_image.json,test_basic_image.json,14,14,0,0,0
JSON,tests/data/extractors/content/test_bbc_chinese.json,test_bbc_chinese.json,12,12,0,0,0
HTML,tests/data/extractors/images/test_opengraph_tag/test_opengraph_tag.html,test_opengraph_tag.html,20,19,0,1,0
Python,goose/extractors/tags.py,tags.py,51,49,2,0,0
HTML,tests/data/extractors/links/test_links.html,test_links.html,16,16,0,0,0
JSON,tests/data/extractors/content/test_time.json,test_time.json,13,13,0,0,0
JSON,tests/data/extractors/content/test_politico.json,test_politico.json,12,12,0,0,0
JSON,tests/data/extractors/content/test_cnn1.json,test_cnn1.json,13,13,0,0,0
JSON,tests/data/extractors/content/test_elpais.json,test_elpais.json,92,92,0,0,0
HTML,tests/data/parser/test1.html,test1.html,30,29,0,1,0
Python,goose/version.py,version.py,25,23,2,0,0
JSON,tests/data/extractors/links/test_links.json,test_links.json,6,6,0,0,0
HTML,tests/data/extractors/content/test_liberation.html,test_liberation.html,2269,1066,57,1146,0
Plain Text,goose/resources/text/stopwords-it.txt,stopwords-it.txt,287,287,0,0,0
Plain Text,goose/resources/text/stopwords-pl.txt,stopwords-pl.txt,277,277,0,0,0
Plain Text,goose/resources/text/stopwords-pt.txt,stopwords-pt.txt,147,147,0,0,0
Python,goose/extractors/tweets.py,tweets.py,42,40,2,0,0
Plain Text,goose/resources/text/stopwords-sv.txt,stopwords-sv.txt,547,546,0,1,0
JSON,tests/data/extractors/publishdate/test_publish_date_schema.json,test_publish_date_schema.json,6,6,0,0,0
JSON,tests/data/extractors/images/test_known_image_name_parent/test_known_image_name_parent.json,test_known_image_name_parent.json,15,15,0,0,0
JSON,tests/data/extractors/images/test_known_image_css_parent_class/test_known_image_css_parent_class.json,test_known_image_css_parent_class.json,15,15,0,0,0
HTML,tests/data/extractors/opengraph/test_opengraph.html,test_opengraph.html,16,16,0,0,0
JSON,tests/data/extractors/opengraph/test_opengraph.json,test_opengraph.json,12,12,0,0,0
JSON,tests/data/extractors/images/test_known_image_css_parent_id/test_known_image_css_parent_id.json,test_known_image_css_parent_id.json,15,15,0,0,0
HTML,tests/data/extractors/images/test_known_image_css_parent_id/test_known_image_css_parent_id.html,test_known_image_css_parent_id.html,25,24,0,1,0
JSON,tests/data/extractors/images/test_known_image_empty_src/test_known_image_empty_src.json,test_known_image_empty_src.json,15,15,0,0,0
HTML,tests/data/extractors/images/test_known_image_empty_src/test_known_image_empty_src.html,test_known_image_empty_src.html,25,24,0,1,0
JSON,tests/data/extractors/authors/test_author_schema.json,test_author_schema.json,11,11,0,0,0
HTML,tests/data/extractors/content/test_get_canonical_url.html,test_get_canonical_url.html,1478,908,265,305,0
Python,goose/extractors/publishdate.py,publishdate.py,46,44,2,0,0
Python,goose/extractors/__init__.py,__init__.py,38,36,2,0,0
Plain Text,goose/resources/text/stopwords-de.txt,stopwords-de.txt,894,891,0,3,0
JSON,tests/data/extractors/tags/test_tags_cnet.json,test_tags_cnet.json,22,22,0,0,0
HTML,tests/data/extractors/authors/test_author_schema.html,test_author_schema.html,12,12,0,0,0
Python,goose/extractors/metas.py,metas.py,135,133,2,0,0
Plain Text,goose/resources/images/known-image-css.txt,known-image-css.txt,9,9,0,0,0
JSON,tests/data/extractors/tags/test_tags_kexp.json,test_tags_kexp.json,11,11,0,0,0
JSON,tests/data/extractors/tags/test_tags_wnyc.json,test_tags_wnyc.json,13,13,0,0,0
JSON,tests/data/extractors/tags/test_tags_abcau.json,test_tags_abcau.json,10,10,0,0,0
HTML,tests/data/extractors/content/test_cnbc1.html,test_cnbc1.html,1008,977,0,31,0
Python,tests/extractors/tags.py,tags.py,72,70,2,0,1
HTML,tests/data/extractors/tags/test_tags_kexp.html,test_tags_kexp.html,304,228,16,60,0
HTML,tests/data/extractors/tags/test_tags_abcau.html,test_tags_abcau.html,653,620,33,0,0
