Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
Plain Text,requirements-to-freeze.txt,requirements-to-freeze.txt,1,1,0,0,0
Markdown,CODE_OF_CONDUCT.md,CODE_OF_CONDUCT.md,3,2,0,1,0
Plain Text,requirements.txt,requirements.txt,20,20,0,0,0
License,LICENSE,LICENSE,360,334,0,26,0
Plain Text,runtime.txt,runtime.txt,1,1,0,0,0
Makefile,Makefile,Makefile,7,4,2,1,1
ReStructuredText,TODO.rst,TODO.rst,3,2,0,1,0
gitignore,.gitignore,.gitignore,14,7,3,4,0
Markdown,CONTRIBUTING.md,CONTRIBUTING.md,37,24,0,13,0
YAML,.travis.yml,.travis.yml,8,8,0,0,0
ReStructuredText,Readme.rst,Readme.rst,38,28,0,10,0
Batch,make.bat,make.bat,155,133,1,21,44
ReStructuredText,docs/404.rst,404.rst,28,20,0,8,0
ReStructuredText,docs/index.rst,index.rst,33,23,0,10,0
Makefile,docs/Makefile,Makefile,186,150,6,30,4
Batch,docs/make.bat,make.bat,253,218,2,33,78
Python,docs/conf.py,conf.py,288,64,152,72,0
ReStructuredText,docs/starting/installation.rst,installation.rst,41,29,0,12,0
ReStructuredText,docs/starting/install3/linux.rst,linux.rst,117,71,0,46,0
ReStructuredText,docs/scenarios/ml.rst,ml.rst,125,77,0,48,0
ReStructuredText,docs/scenarios/network.rst,network.rst,46,33,0,13,0
Plain Text,docs/_extra/robots.txt,robots.txt,2,2,0,0,0
ReStructuredText,docs/intro/documentation.rst,documentation.rst,49,30,0,19,0
ReStructuredText,docs/intro/news.rst,news.rst,102,59,0,43,0
ReStructuredText,docs/intro/duction.rst,duction.rst,95,66,0,29,0
ReStructuredText,docs/starting/install3/osx.rst,osx.rst,143,90,0,53,0
ReStructuredText,docs/starting/install/osx.rst,osx.rst,133,88,0,45,0
Plain Text,docs/_extra/ads.txt,ads.txt,156,131,0,25,0
ReStructuredText,docs/scenarios/admin.rst,admin.rst,413,299,0,114,0
HTML,docs/_templates/sidebarintro.html,sidebarintro.html,73,62,0,11,0
ReStructuredText,docs/notes/contribute.rst,contribute.rst,34,21,0,13,0
ReStructuredText,docs/intro/community.rst,community.rst,115,73,0,42,0
ReStructuredText,docs/intro/learning.rst,learning.rst,412,263,0,149,0
ReStructuredText,docs/starting/install/linux.rst,linux.rst,79,50,0,29,0
ReStructuredText,docs/scenarios/ci.rst,ci.rst,96,71,0,25,0
ReStructuredText,docs/starting/install3/win.rst,win.rst,58,36,0,22,0
ReStructuredText,docs/notes/license.rst,license.rst,7,5,0,2,0
ReStructuredText,docs/starting/install/win.rst,win.rst,96,64,0,32,0
ReStructuredText,docs/scenarios/json.rst,json.rst,48,30,0,18,0
ReStructuredText,docs/dev/env.rst,env.rst,365,263,0,102,0
ReStructuredText,docs/starting/which-python.rst,which-python.rst,159,106,0,53,0
ReStructuredText,docs/dev/pip-virtualenv.rst,pip-virtualenv.rst,137,93,0,44,0
ReStructuredText,docs/shipping/freezing.rst,freezing.rst,266,162,0,104,0
ReStructuredText,docs/scenarios/imaging.rst,imaging.rst,112,77,0,35,0
ReStructuredText,docs/shipping/publishing.rst,publishing.rst,66,41,0,25,0
ReStructuredText,docs/scenarios/clibs.rst,clibs.rst,141,106,0,35,0
ReStructuredText,docs/notes/styleguide.rst,styleguide.rst,216,135,0,81,0
HTML,docs/_templates/layout.html,layout.html,113,96,0,17,0
ReStructuredText,docs/dev/virtualenvs.rst,virtualenvs.rst,441,286,0,155,0
ReStructuredText,docs/writing/documentation.rst,documentation.rst,290,209,0,81,0
ReStructuredText,docs/writing/gotchas.rst,gotchas.rst,266,177,0,89,0
ReStructuredText,docs/scenarios/serialization.rst,serialization.rst,237,155,0,82,0
ReStructuredText,docs/writing/tests.rst,tests.rst,299,202,0,97,0
ReStructuredText,docs/scenarios/speed.rst,speed.rst,461,340,0,121,0
ReStructuredText,docs/writing/license.rst,license.rst,57,39,0,18,0
License,docs/_themes/LICENSE,LICENSE,45,33,0,12,0
HTML,docs/_templates/sidebarlogo.html,sidebarlogo.html,57,48,0,9,0
ReStructuredText,docs/scenarios/gui.rst,gui.rst,182,117,0,65,0
ReStructuredText,docs/writing/logging.rst,logging.rst,202,145,0,57,0
Python,docs/_themes/flask_theme_support.py,flask_theme_support.py,86,71,4,11,0
ReStructuredText,docs/writing/reading.rst,reading.rst,52,37,0,15,0
gitignore,docs/_themes/.gitignore,.gitignore,3,3,0,0,0
ReStructuredText,docs/scenarios/db.rst,db.rst,118,80,0,38,0
ReStructuredText,docs/scenarios/client.rst,client.rst,60,43,0,17,0
ReStructuredText,docs/scenarios/cli.rst,cli.rst,91,68,0,23,0
ReStructuredText,docs/scenarios/scrape.rst,scrape.rst,113,80,0,33,0
ReStructuredText,docs/scenarios/crypto.rst,crypto.rst,91,63,0,28,0
ReStructuredText,docs/writing/structure.rst,structure.rst,894,638,0,256,0
HTML,docs/_templates/hacks.html,hacks.html,1,0,1,0,0
ReStructuredText,docs/scenarios/xml.rst,xml.rst,83,54,0,29,0
ReStructuredText,docs/scenarios/scientific.rst,scientific.rst,166,126,0,40,0
ReStructuredText,docs/scenarios/web.rst,web.rst,552,402,0,150,0
ReStructuredText,docs/writing/style.rst,style.rst,811,564,0,247,0
ReStructuredText,docs/shipping/packaging.rst,packaging.rst,196,133,0,63,0
