Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
Plain Text,requirements.txt,requirements.txt,11,11,0,0,0
License,LICENSE,LICENSE,202,169,0,33,0
Markdown,code-of-conduct.md,code-of-conduct.md,3,2,0,1,0
Plain Text,test-requirements.txt,test-requirements.txt,15,15,0,0,0
Markdown,CHANGELOG.md,CHANGELOG.md,467,370,0,97,0
Autoconf,MANIFEST.in,MANIFEST.in,9,8,0,1,0
Markdown,README.md,README.md,177,124,0,53,0
gitignore,.gitignore,.gitignore,73,46,15,12,0
Python,setup.py,setup.py,83,56,21,6,5
Markdown,CONTRIBUTING.md,CONTRIBUTING.md,89,56,0,33,0
YAML,.travis.yml,.travis.yml,64,60,0,4,0
Python,examples/api_discovery.py,api_discovery.py,45,20,20,5,4
Python,examples/pod_portforward.py,pod_portforward.py,202,149,44,9,5
ReStructuredText,doc/source/modules.rst,modules.rst,7,5,0,2,0
Markdown,.github/ISSUE_TEMPLATE/bug.md,bug.md,20,14,0,6,0
Markdown,.github/ISSUE_TEMPLATE/feature.md,feature.md,10,7,0,3,0
ReStructuredText,doc/source/installation.rst,installation.rst,12,8,0,4,0
Python,kubernetes/e2e_test/test_apps.py,test_apps.py,100,81,12,7,0
ReStructuredText,doc/source/kubernetes.config.rst,kubernetes.config.rst,54,40,0,14,0
Python,examples/ingress_create.py,ingress_create.py,115,74,27,14,1
Shell,scripts/update-pycodestyle.sh,update-pycodestyle.sh,89,55,16,18,9
ReStructuredText,doc/source/index.rst,index.rst,27,20,0,7,0
Python,kubernetes/e2e_test/test_watch.py,test_watch.py,94,55,21,18,3
Python,kubernetes/e2e_test/__init__.py,__init__.py,13,0,12,1,0
Shell,scripts/apply-hotfixes.sh,apply-hotfixes.sh,77,40,29,8,12
Python,kubernetes/e2e_test/test_utils.py,test_utils.py,410,360,32,18,1
Python,examples/job_crud.py,job_crud.py,97,50,26,21,1
Markdown,.github/ISSUE_TEMPLATE/documentation.md,documentation.md,10,7,0,3,0
Python,kubernetes/e2e_test/test_client.py,test_client.py,430,391,12,27,8
ReStructuredText,doc/source/usage.rst,usage.rst,20,11,0,9,0
Python,examples/node_labels.py,node_labels.py,45,30,14,1,0
ReStructuredText,doc/source/kubernetes.watch.rst,kubernetes.watch.rst,30,22,0,8,0
Makefile,doc/Makefile,Makefile,21,11,6,4,0
Python,kubernetes/client/configuration.py,configuration.py,398,339,52,7,2
Plain Text,doc/requirements-docs.txt,requirements-docs.txt,2,2,0,0,0
ReStructuredText,doc/source/kubernetes.client.rst,kubernetes.client.rst,46,33,0,13,0
Python,examples/deployment_crud.py,deployment_crud.py,108,54,33,21,1
Markdown,doc/README.md,README.md,11,7,0,4,0
Python,doc/source/conf.py,conf.py,104,41,41,22,2
Python,examples/__init__.py,__init__.py,15,0,14,1,0
ReStructuredText,doc/source/kubernetes.rst,kubernetes.rst,20,15,0,5,0
Python,examples/in_cluster_config.py,in_cluster_config.py,66,26,37,3,0
Python,examples/pod_config_list.py,pod_config_list.py,54,25,21,8,7
Python,kubernetes/utils/__init__.py,__init__.py,19,4,13,2,0
YAML,.github/dependabot.yml,dependabot.yml,12,12,0,0,0
ReStructuredText,doc/source/kubernetes.test.rst,kubernetes.test.rst,2286,1714,0,572,0
Python,kubernetes/client/rest.py,rest.py,300,225,47,28,32
Python,kubernetes/utils/create_from_yaml.py,create_from_yaml.py,195,158,31,6,0
Python,kubernetes/client/exceptions.py,exceptions.py,120,55,45,20,6
Python,kubernetes/test/test_api_client.py,test_api_client.py,25,17,1,7,0
Markdown,examples/README.md,README.md,17,12,0,5,0
Python,kubernetes/utils/quantity.py,quantity.py,75,48,21,6,1
Python,kubernetes/e2e_test/test_batch.py,test_batch.py,59,35,12,12,0
YAML,examples/pi-job.yaml,pi-job.yaml,13,13,0,0,0
Python,kubernetes/client/api/events_api.py,events_api.py,142,61,59,22,6
Python,kubernetes/client/api/auditregistration_api.py,auditregistration_api.py,142,61,59,22,6
Python,kubernetes/client/api_client.py,api_client.py,647,395,184,68,108
Batch,scripts/windows-setup-fix.bat,windows-setup-fix.bat,10,6,3,1,2
Shell,scripts/update-client.sh,update-client.sh,69,38,19,12,1
ReStructuredText,doc/source/kubernetes.client.apis.rst,kubernetes.client.apis.rst,222,166,0,56,0
Python,kubernetes/client/api/authorization_api.py,authorization_api.py,142,61,59,22,6
Python,scripts/constants.py,constants.py,41,14,19,8,4
Python,kubernetes/client/api/scheduling_api.py,scheduling_api.py,142,61,59,22,6
Markdown,kubernetes/README.md,README.md,1683,1646,0,37,0
Python,kubernetes/client/__init__.py,__init__.py,743,722,13,8,0
gitignore,scripts/.gitignore,.gitignore,1,1,0,0,0
Shell,scripts/kube-init.sh,kube-init.sh,148,91,36,21,7
Shell,scripts/release.sh,release.sh,10,4,4,2,0
Python,kubernetes/client/apis/__init__.py,__init__.py,13,8,2,3,0
Python,examples/pod_namespace_watch.py,pod_namespace_watch.py,54,24,22,8,9
Markdown,devel/stats.md,stats.md,25,21,0,4,0
Shell,scripts/cherry_pick_pull.sh,cherry_pick_pull.sh,229,175,25,29,29
YAML,examples/nginx-deployment.yaml,nginx-deployment.yaml,21,21,0,0,0
Python,kubernetes/__init__.py,__init__.py,24,8,14,2,0
Python,examples/pod_exec.py,pod_exec.py,129,96,18,15,10
Python,examples/pick_kube_config_context.py,pick_kube_config_context.py,53,25,20,8,7
Markdown,devel/submodules.md,submodules.md,29,19,0,10,0
Python,examples/remote_cluster.py,remote_cluster.py,58,16,30,12,3
Dockerfile,examples/notebooks/docker/Dockerfile,Dockerfile,7,4,0,3,0
Jupyter,examples/notebooks/create_deployment.ipynb,create_deployment.ipynb,301,301,0,0,0
Jupyter,examples/notebooks/create_service.ipynb,create_service.ipynb,230,230,0,0,0
Jupyter,examples/notebooks/create_pod.ipynb,create_pod.ipynb,277,277,0,0,0
Markdown,examples/notebooks/README.md,README.md,19,12,0,7,0
Jupyter,examples/notebooks/create_configmap.ipynb,create_configmap.ipynb,314,314,0,0,0
Jupyter,examples/notebooks/create_secret.ipynb,create_secret.ipynb,347,347,0,0,0
