Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
gitignore,.gitignore,.gitignore,71,48,12,11,0
Plain Text,LICENSE.txt,LICENSE.txt,21,17,0,4,0
Markdown,README.md,README.md,440,285,0,155,0
Jupyter,code/check_environment.ipynb,check_environment.ipynb,74,74,0,0,0
Markdown,code/README.md,README.md,59,36,0,23,0
Markdown,docs/feedback.md,feedback.md,136,78,0,58,0
Markdown,docs/references.md,references.md,487,226,0,261,0
Markdown,docs/errata.md,errata.md,155,95,0,60,0
Python,code/optional-py-scripts/ch03.py,ch03.py,431,394,18,19,9
Markdown,code/ch11/README.md,README.md,17,14,0,3,0
Python,code/optional-py-scripts/ch07.py,ch07.py,595,555,22,18,7
Markdown,images/image_gallery/README.md,README.md,19,16,0,3,0
Python,code/_convenience_scripts/ipynb_toc_links.py,ipynb_toc_links.py,14,9,3,2,2
Python,code/_convenience_scripts/md_toc.py,md_toc.py,13,8,3,2,2
Python,code/optional-py-scripts/ch13.py,ch13.py,424,244,67,113,6
Python,code/optional-py-scripts/ch06.py,ch06.py,443,319,34,90,14
Markdown,code/ch10/README.md,README.md,21,18,0,3,0
Markdown,code/ch04/README.md,README.md,21,18,0,3,0
Markdown,code/ch13/README.md,README.md,18,15,0,3,0
Python,code/optional-py-scripts/ch02.py,ch02.py,414,194,151,69,19
Markdown,faq/ml-python-communities.md,ml-python-communities.md,3,2,0,1,0
Python,code/ch12/neuralnet.py,neuralnet.py,331,125,177,29,10
Markdown,faq/computing-the-f1-score.md,computing-the-f1-score.md,120,66,0,54,0
Python,code/optional-py-scripts/ch12.py,ch12.py,943,928,11,4,0
Markdown,faq/logistic-why-sigmoid.md,logistic-why-sigmoid.md,29,16,0,13,0
Markdown,faq/deeplearning-criticism.md,deeplearning-criticism.md,10,6,0,4,0
Markdown,faq/softmax_regression.md,softmax_regression.md,83,43,0,40,0
Markdown,faq/pca-scaling.md,pca-scaling.md,67,32,0,35,0
Markdown,faq/decisiontree-error-vs-entropy.md,decisiontree-error-vs-entropy.md,75,38,0,37,0
Markdown,faq/ml-solvable.md,ml-solvable.md,32,16,0,16,0
Markdown,faq/logistic-boosting.md,logistic-boosting.md,10,5,0,5,0
Markdown,faq/ml-to-a-programmer.md,ml-to-a-programmer.md,37,17,0,20,0
Markdown,faq/standardize-param-reuse.md,standardize-param-reuse.md,37,24,0,13,0
Python,code/ch01/tests/test_notebooks.py,test_notebooks.py,28,21,0,7,1
Markdown,faq/scale-training-test.md,scale-training-test.md,74,43,0,31,0
Markdown,faq/deep-learning-resources.md,deep-learning-resources.md,11,5,0,6,0
Markdown,code/ch06/README.md,README.md,25,21,0,4,0
Markdown,faq/clf-behavior-data.md,clf-behavior-data.md,20,11,0,9,0
Markdown,faq/r-in-datascience.md,r-in-datascience.md,15,11,0,4,0
Plain Text,code/datasets/wine/wine.names.txt,wine.names.txt,100,77,0,23,0
Markdown,code/datasets/wine/README.md,README.md,53,42,0,11,0
Plain Text,code/datasets/wdbc/wdbc.names.txt,wdbc.names.txt,140,102,0,38,0
Python,code/ch12/optional-streamlined-neuralnet.py,optional-streamlined-neuralnet.py,256,92,122,42,7
Markdown,code/bonus/flask_webapp_ex01/README.md,README.md,16,8,0,8,0
Python,code/bonus/flask_webapp_ex01/app.py,app.py,31,27,0,4,0
HTML,code/bonus/flask_webapp_ex01/templates/_formhelpers.html,_formhelpers.html,12,12,0,0,0
HTML,code/bonus/flask_webapp_ex01/templates/entry.html,entry.html,26,22,0,4,0
Markdown,code/ch12/README.md,README.md,24,21,0,3,0
LaTeX,docs/equations/pymle-equations.tex,pymle-equations.tex,2336,1564,43,729,0
Markdown,code/datasets/movie/README.md,README.md,11,6,0,5,0
Jupyter,code/ch10/ch10.ipynb,ch10.ipynb,1746,1746,0,0,0
Jupyter,code/ch11/ch11.ipynb,ch11.ipynb,1290,1290,0,0,0
Python,code/ch13/mnist_keras_mlp.py,mnist_keras_mlp.py,82,59,4,19,0
Markdown,code/datasets/README.md,README.md,34,21,0,13,0
Markdown,code/ch03/README.md,README.md,27,23,0,4,0
Markdown,code/datasets/wdbc/README.md,README.md,8,5,0,3,0
Markdown,code/ch02/README.md,README.md,15,12,0,3,0
Markdown,faq/implementing-from-scratch.md,implementing-from-scratch.md,18,13,0,5,0
Jupyter,code/ch08/ch08.ipynb,ch08.ipynb,1402,1402,0,0,0
Plain Text,code/datasets/housing/housing.names.txt,housing.names.txt,52,40,0,12,0
Markdown,faq/probablistic-logistic-regression.md,probablistic-logistic-regression.md,37,18,0,19,0
Markdown,code/datasets/housing/README.md,README.md,36,25,0,11,0
Markdown,faq/logistic-analytical.md,logistic-analytical.md,10,6,0,4,0
Markdown,code/datasets/iris/README.md,README.md,25,15,0,10,0
Markdown,faq/difference-deep-and-normal-learning.md,difference-deep-and-normal-learning.md,39,18,0,21,0
Markdown,code/datasets/mnist/README.md,README.md,34,17,0,17,0
Markdown,faq/best-ml-algo.md,best-ml-algo.md,17,11,0,6,0
Markdown,faq/technologies.md,technologies.md,31,25,0,6,0
Markdown,faq/classifier-categories.md,classifier-categories.md,62,40,0,22,0
HTML,code/ch09/movieclassifier/templates/_formhelpers.html,_formhelpers.html,12,12,0,0,0
HTML,code/ch09/movieclassifier/templates/reviewform.html,reviewform.html,23,19,0,4,0
HTML,code/ch09/movieclassifier/templates/results.html,results.html,32,27,0,5,0
HTML,code/ch09/movieclassifier/templates/thanks.html,thanks.html,18,15,0,3,0
CSS,code/ch09/movieclassifier/static/style.css,style.css,7,6,0,1,0
Jupyter,code/ch06/ch06.ipynb,ch06.ipynb,1582,1582,0,0,0
CSV,code/ch09/pickle-test-scripts/movie_data_small.csv,movie_data_small.csv,102,102,0,0,0
Python,code/ch09/pickle-test-scripts/vectorizer.py,vectorizer.py,22,18,0,4,0
Python,code/ch09/pickle-test-scripts/pickle-load-test.py,pickle-load-test.py,17,12,0,5,0
Markdown,code/ch09/pickle-test-scripts/README.md,README.md,21,12,0,9,0
Python,code/ch09/pickle-test-scripts/pickle-dump-test.py,pickle-dump-test.py,46,42,0,4,0
Markdown,code/ch08/README.md,README.md,15,12,0,3,0
Markdown,code/ch01/README.md,README.md,124,71,0,53,0
Jupyter,code/bonus/scikit-model-to-json.ipynb,scikit-model-to-json.ipynb,446,446,0,0,0
Python,code/ch09/movieclassifier_with_update/update.py,update.py,44,26,7,11,1
Jupyter,code/ch12/ch12.ipynb,ch12.ipynb,2089,2089,0,0,0
Python,code/ch09/movieclassifier_with_update/vectorizer.py,vectorizer.py,24,22,0,2,0
Jupyter,code/bonus/svm_iris_pipeline_and_gridsearch.ipynb,svm_iris_pipeline_and_gridsearch.ipynb,355,355,0,0,0
Python,code/ch09/movieclassifier_with_update/app.py,app.py,77,67,3,7,0
HTML,code/ch09/movieclassifier_with_update/templates/_formhelpers.html,_formhelpers.html,12,12,0,0,0
Jupyter,code/bonus/softmax-regression.ipynb,softmax-regression.ipynb,1001,1001,0,0,0
HTML,code/ch09/movieclassifier_with_update/templates/reviewform.html,reviewform.html,23,19,0,4,0
HTML,code/ch09/movieclassifier_with_update/templates/results.html,results.html,32,27,0,5,0
Jupyter,code/bonus/reading_mnist.ipynb,reading_mnist.ipynb,323,323,0,0,0
HTML,code/ch09/movieclassifier_with_update/templates/thanks.html,thanks.html,18,15,0,3,0
Markdown,code/bonus/README.md,README.md,20,10,0,10,0
CSS,code/ch09/movieclassifier_with_update/static/style.css,style.css,7,6,0,1,0
Python,code/ch09/movieclassifier/vectorizer.py,vectorizer.py,24,22,0,2,0
Python,code/ch09/movieclassifier/app.py,app.py,77,67,3,7,0
Jupyter,code/bonus/nested_cross_validation.ipynb,nested_cross_validation.ipynb,311,311,0,0,0
Python,code/ch09/1st_flask_app_2/app.py,app.py,23,21,0,2,0
Jupyter,code/ch13/ch13.ipynb,ch13.ipynb,1523,1523,0,0,0
Jupyter,code/bonus/logistic_regression.ipynb,logistic_regression.ipynb,457,457,0,0,0
HTML,code/ch09/1st_flask_app_2/templates/_formhelpers.html,_formhelpers.html,13,13,0,0,0
JSON,code/bonus/sckit-model-to-json/params.json,params.json,1,1,0,0,0
HTML,code/ch09/1st_flask_app_2/templates/hello.html,hello.html,13,10,0,3,0
CSS,code/bonus/flask_webapp_ex01/static/style.css,style.css,7,6,0,1,0
JSON,code/bonus/sckit-model-to-json/attributes.json,attributes.json,29,29,0,0,0
HTML,code/ch09/1st_flask_app_2/templates/first_app.html,first_app.html,23,17,0,6,0
CSS,code/ch09/1st_flask_app_2/static/style.css,style.css,3,3,0,0,0
HTML,code/ch09/1st_flask_app_1/templates/first_app.html,first_app.html,13,11,0,2,0
Markdown,code/ch07/README.md,README.md,14,10,0,4,0
Python,code/ch09/1st_flask_app_1/app.py,app.py,10,7,0,3,1
