Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
Shell,append_output.sh,append_output.sh,19,9,5,5,0
Makefile,Makefile,Makefile,88,57,17,14,0
Markdown,README.md,README.md,125,90,0,35,0
Python,setup.py,setup.py,14,13,0,1,0
Plain Text,requirements-dev.txt,requirements-dev.txt,6,5,0,1,0
gitignore,.gitignore,.gitignore,8,8,0,0,0
YAML,.travis.yml,.travis.yml,24,18,0,6,0
Python,patterns/dependency_injection.py,dependency_injection.py,116,93,18,5,2
Python,tests/test_hsm.py,test_hsm.py,99,77,4,18,0
Python,tests/structural/test_proxy.py,test_proxy.py,37,27,3,7,0
Python,patterns/__init__.py,__init__.py,0,0,0,0,0
Python,patterns/structural/composite.py,composite.py,93,89,4,0,0
Python,tests/structural/test_adapter.py,test_adapter.py,74,59,0,15,0
Python,tests/structural/test_decorator.py,test_decorator.py,24,18,0,6,0
Python,patterns/structural/front_controller.py,front_controller.py,82,54,11,17,3
Python,patterns/structural/facade.py,facade.py,97,34,46,17,0
Python,tests/creational/test_pool.py,test_pool.py,51,41,2,8,0
Python,tests/creational/test_prototype.py,test_prototype.py,48,37,0,11,0
Python,tests/structural/test_bridge.py,test_bridge.py,42,37,0,5,0
Python,patterns/other/hsm/__init__.py,__init__.py,0,0,0,0,0
Python,tests/creational/test_builder.py,test_builder.py,22,16,0,6,0
Python,patterns/structural/proxy.py,proxy.py,91,39,36,16,1
Python,patterns/behavioral/memento.py,memento.py,137,88,26,23,6
Python,patterns/behavioral/command.py,command.py,107,79,26,2,1
Python,patterns/behavioral/iterator_alt.py,iterator_alt.py,60,52,8,0,0
Python,patterns/behavioral/visitor.py,visitor.py,74,67,7,0,0
Python,patterns/fundamental/delegation_pattern.py,delegation_pattern.py,57,39,14,4,0
Python,patterns/behavioral/iterator.py,iterator.py,44,35,9,0,0
Python,tests/creational/test_borg.py,test_borg.py,28,19,2,7,0
Python,patterns/other/blackboard.py,blackboard.py,126,83,21,22,6
Python,patterns/behavioral/template.py,template.py,73,25,28,20,4
Python,patterns/behavioral/specification.py,specification.py,117,77,9,31,2
Python,patterns/behavioral/state.py,state.py,89,77,12,0,0
Python,patterns/behavioral/publish_subscribe.py,publish_subscribe.py,93,67,10,16,4
Python,patterns/behavioral/chaining_method.py,chaining_method.py,35,27,1,7,0
Python,tests/creational/test_abstract_factory.py,test_abstract_factory.py,12,9,0,3,0
Python,patterns/behavioral/observer.py,observer.py,110,88,11,11,6
Python,tests/creational/test_lazy.py,test_lazy.py,40,31,0,9,2
Python,patterns/behavioral/chain_of_responsibility.py,chain_of_responsibility.py,118,84,28,6,6
Python,patterns/other/__init__.py,__init__.py,0,0,0,0,0
Python,patterns/other/graph_search.py,graph_search.py,137,117,8,12,36
Python,patterns/structural/adapter.py,adapter.py,125,111,9,5,1
Python,patterns/fundamental/__init__.py,__init__.py,0,0,0,0,0
Python,patterns/structural/__init__.py,__init__.py,0,0,0,0,0
Python,patterns/behavioral/catalog.py,catalog.py,180,98,45,37,8
Python,patterns/other/hsm/hsm.py,hsm.py,177,171,6,0,0
Python,patterns/behavioral/registry.py,registry.py,46,27,12,7,0
Python,patterns/creational/pool.py,pool.py,86,79,7,0,0
Python,patterns/behavioral/__init__.py,__init__.py,0,0,0,0,0
Python,patterns/creational/abstract_factory.py,abstract_factory.py,107,97,10,0,0
Python,patterns/creational/__init__.py,__init__.py,0,0,0,0,0
Python,patterns/behavioral/mediator.py,mediator.py,53,30,12,11,0
Python,patterns/structural/3-tier.py,3-tier.py,98,76,7,15,4
Python,patterns/structural/decorator.py,decorator.py,74,31,29,14,0
Python,patterns/creational/borg.py,borg.py,109,71,35,3,1
Python,patterns/creational/lazy_evaluation.py,lazy_evaluation.py,105,62,25,18,3
Python,patterns/creational/builder.py,builder.py,114,74,37,3,2
Python,patterns/creational/prototype.py,prototype.py,74,57,17,0,0
Python,patterns/structural/flyweight.py,flyweight.py,85,79,6,0,0
Python,patterns/structural/flyweight_with_metaclass.py,flyweight_with_metaclass.py,63,47,13,3,0
Python,patterns/creational/factory.py,factory.py,76,71,5,0,0
Python,tests/behavioral/test_state.py,test_state.py,27,16,0,11,0
Python,tests/behavioral/test_observer.py,test_observer.py,33,22,0,11,3
Python,patterns/structural/mvc.py,mvc.py,149,121,10,18,4
Python,tests/behavioral/test_publish_subscribe.py,test_publish_subscribe.py,68,57,4,7,0
Python,patterns/structural/bridge.py,bridge.py,54,20,21,13,1
Python,patterns/behavioral/strategy.py,strategy.py,52,21,18,13,2
