Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
Jupyter,Chapter01_BeginningToScrape.ipynb,Chapter01_BeginningToScrape.ipynb,143,143,0,0,0
Jupyter,Chapter15_Testing.ipynb,Chapter15_Testing.ipynb,362,362,0,0,0
Jupyter,Chapter11-JavaScript.ipynb,Chapter11-JavaScript.ipynb,183,183,0,0,0
Jupyter,Chapter13-ImageProcessing.ipynb,Chapter13-ImageProcessing.ipynb,502,502,0,0,0
Markdown,README.md,README.md,9,5,0,4,0
Jupyter,Chapter02-AdvancedHTMLParsing.ipynb,Chapter02-AdvancedHTMLParsing.ipynb,597,597,0,0,0
Jupyter,Chapter10-CrawlingThroughFormsAndLogins.ipynb,Chapter10-CrawlingThroughFormsAndLogins.ipynb,554,554,0,0,0
Jupyter,Chapter09_NaturalLanguages.ipynb,Chapter09_NaturalLanguages.ipynb,312,312,0,0,0
Jupyter,Chapter04_CrawlingModels.ipynb,Chapter04_CrawlingModels.ipynb,1910,1910,0,0,0
Jupyter,Chapter12-API-Scraping.ipynb,Chapter12-API-Scraping.ipynb,588,588,0,0,0
Jupyter,Chapter07_ReadingDocuments.ipynb,Chapter07_ReadingDocuments.ipynb,1683,1683,0,0,0
Python,v1/chapter12/3-honeypotDetection.py,3-honeypotDetection.py,14,13,0,1,0
Python,v1/chapter13/2-wikiSeleniumTest.py,2-wikiSeleniumTest.py,8,6,0,2,1
Python,v1/chapter13/5-takeScreenshot.py,5-takeScreenshot.py,13,8,2,3,0
Python,v1/chapter13/3-interactiveTest.py,3-interactiveTest.py,29,16,6,7,0
Python,v1/chapter13/1-wikiUnitTest.py,1-wikiUnitTest.py,52,42,1,9,5
Python,v1/chapter13/6-combinedTest.py,6-combinedTest.py,30,23,2,5,1
Python,v1/chapter13/4-dragAndDrop.py,4-dragAndDrop.py,20,12,2,6,0
Python,v1/chapter4/1-searchTwitter.py,1-searchTwitter.py,6,4,1,1,0
Python,v1/chapter4/2-updateTwitter.py,2-updateTwitter.py,6,4,1,1,0
Python,v1/chapter4/4-decodeJson.py,4-decodeJson.py,9,7,0,2,0
Jupyter,Chapter03-web-crawlers.ipynb,Chapter03-web-crawlers.ipynb,1825,1825,0,0,0
Python,v1/chapter4/6-wikiHistories.py,6-wikiHistories.py,53,49,2,2,0
Python,v1/chapter4/5-jsonParsing.py,5-jsonParsing.py,9,7,0,2,0
Python,v1/chapter4/3-getTwitterStatus.py,3-getTwitterStatus.py,6,4,1,1,0
Python,v1/chapter14/1-socks.py,1-socks.py,7,6,0,1,0
Python,v1/chapter14/2-seleniumSocks.py,2-seleniumSocks.py,7,6,0,1,0
Python,v1/chapter3/1-getWikiLinks.py,1-getWikiLinks.py,16,15,0,1,1
Python,v1/chapter3/2-crawlWikipedia.py,2-crawlWikipedia.py,25,22,1,2,7
Python,v1/chapter3/5-getAllExternalLinks.py,5-getAllExternalLinks.py,76,60,6,10,26
Python,v1/chapter3/4-getExternalLinks.py,4-getExternalLinks.py,56,43,5,8,16
Jupyter,Chapter14-ScrapingTraps.ipynb,Chapter14-ScrapingTraps.ipynb,181,181,0,0,0
Python,v1/chapter12/2-seleniumCookies.py,2-seleniumCookies.py,18,14,0,4,2
Python,v1/chapter3/3-crawlSite.py,3-crawlSite.py,51,42,5,4,14
Python,v1/chapter2/6-regularExpressions.py,6-regularExpressions.py,9,8,0,1,2
Python,v1/chapter2/2-selectByAttribute.py,2-selectByAttribute.py,7,6,0,1,0
Python,v1/chapter2/1-selectByClass.py,1-selectByClass.py,8,7,0,1,2
Python,v1/chapter2/5-findParents.py,5-findParents.py,6,5,0,1,0
Python,v1/chapter2/3-findDescendants.py,3-findDescendants.py,8,6,0,2,2
Python,v1/chapter2/7-lambdaExpressions.py,7-lambdaExpressions.py,7,7,0,0,2
Python,v1/chapter2/4-findSiblings.py,4-findSiblings.py,7,6,0,1,2
Python,v1/chapter11/1-basicImage.py,1-basicImage.py,6,5,0,1,0
Python,v1/chapter11/2-cleanImage.py,2-cleanImage.py,19,11,3,5,2
Python,chapter16/multithreaded_example.py,multithreaded_example.py,19,16,0,3,5
Python,chapter16/multiprocess.py,multiprocess.py,36,31,0,5,8
Python,v1/chapter5/8-sendEmailWhenChristmas.py,8-sendEmailWhenChristmas.py,22,19,0,3,0
Python,v1/chapter11/3-readWebImages.py,3-readWebImages.py,36,25,6,5,6
Python,v1/chapter11/4-solveCaptcha.py,4-solveCaptcha.py,48,42,2,4,3
Python,v1/chapter5/7-sendEmail.py,7-sendEmail.py,12,9,0,3,0
Python,v1/chapter5/4-mysqlBasicExample.py,4-mysqlBasicExample.py,8,8,0,0,0
Python,Chapter05_Scrapy/wikiSpider/wikiSpider/middlewares.py,middlewares.py,56,19,23,14,4
Python,v1/chapter5/3-scrapeCsv.py,3-scrapeCsv.py,20,17,1,2,0
Python,v1/chapter5/1-getPageMedia.py,1-getPageMedia.py,42,39,0,3,6
Python,v1/chapter5/2-createCsv.py,2-createCsv.py,11,9,1,1,0
Python,v1/chapter5/5-storeWikiLinks.py,5-storeWikiLinks.py,34,29,0,5,1
Python,v1/chapter10/1-seleniumBasic.py,1-seleniumBasic.py,10,7,2,1,0
Python,chapter16/threading_crawler.py,threading_crawler.py,28,22,0,6,4
Python,Chapter05_Scrapy/wikiSpider/wikiSpider/spiders/__init__.py,__init__.py,4,0,4,0,0
Python,chapter16/threading_example.py,threading_example.py,14,11,0,3,2
Python,chapter16/multithreaded.py,multithreaded.py,36,30,0,6,7
Python,Chapter05_Scrapy/wikiSpider/wikiSpider/settings.py,settings.py,90,7,66,17,0
Python,chapter16/multithreaded_queue.py,multithreaded_queue.py,54,52,0,2,3
Python,chapter16/multithreaded_class.py,multithreaded_class.py,38,30,2,6,7
Python,v1/chapter12/1-headers.py,1-headers.py,10,8,0,2,0
Python,chapter16/multiprocess_example.py,multiprocess_example.py,23,17,0,6,8
Python,v1/chapter6/3-readingCsv.py,3-readingCsv.py,10,8,0,2,2
Python,chapter16/multiprocess_queue.py,multiprocess_queue.py,56,40,7,9,16
Python,Chapter05_Scrapy/wikiSpider/wikiSpider/items.py,items.py,15,6,5,4,0
Python,v1/chapter1/3-exceptionHandling.py,3-exceptionHandling.py,26,21,0,5,1
Python,v1/chapter1/1-basicExample.py,1-basicExample.py,4,3,1,0,0
Python,v1/chapter1/2-beautifulSoup.py,2-beautifulSoup.py,6,5,0,1,0
Python,v1/chapter8/6-NltkSearch.py,6-NltkSearch.py,6,6,0,0,3
Python,v1/chapter6/1-getText.py,1-getText.py,4,3,0,1,0
Python,v1/chapter8/4-6DegreesFinder.py,4-6DegreesFinder.py,48,40,1,7,20
Python,v1/chapter8/2-countUncommon2Grams.py,2-countUncommon2Grams.py,56,54,0,2,4
Python,v1/chapter8/5-NltkTokenize.py,5-NltkTokenize.py,5,4,0,1,0
Python,v1/chapter8/3-markovGenerator.py,3-markovGenerator.py,62,57,1,4,5
Python,v1/chapter8/7-NltkAnalysis.py,7-NltkAnalysis.py,10,9,0,1,9
Python,v1/chapter8/1-count2Grams.py,1-count2Grams.py,35,33,0,2,0
Python,Chapter05_Scrapy/wikiSpider/wikiSpider/articles.py,articles.py,19,17,0,2,0
Python,v1/chapter5/6-6DegreesCrawlWiki.py,6-6DegreesCrawlWiki.py,54,47,1,6,9
Jupyter,Chapter17_ScrapingRemotely.ipynb,Chapter17_ScrapingRemotely.ipynb,101,101,0,0,0
Python,v1/chapter7/2-clean2grams.py,2-clean2grams.py,41,40,0,1,0
Python,v1/chapter7/1-2grams.py,1-2grams.py,16,14,0,2,2
Python,v1/chapter3/scrapy/wikiSpider/wikiSpider/spiders/articleSpider.py,articleSpider.py,18,16,0,2,0
Python,v1/chapter10/3-javascriptRedirect.py,3-javascriptRedirect.py,25,21,2,2,2
Python,Chapter05_Scrapy/wikiSpider/wikiSpider/articlesMoreRules.py,articlesMoreRules.py,26,24,0,2,2
Python,v1/chapter10/2-waitForLoad.py,2-waitForLoad.py,14,11,2,1,0
Python,v1/chapter9/4-sessionCookies.py,4-sessionCookies.py,12,10,0,2,0
Python,Chapter05_Scrapy/wikiSpider/wikiSpider/articleItems.py,articleItems.py,20,18,0,2,0
Python,v1/chapter9/5-BasicAuth.py,5-BasicAuth.py,7,6,0,1,0
Python,v1/chapter9/2-fileSubmission.py,2-fileSubmission.py,6,5,0,1,0
Python,v1/chapter9/1-simpleForm.py,1-simpleForm.py,5,4,0,1,0
Python,v1/chapter9/3-cookies.py,3-cookies.py,10,9,0,1,0
Python,Chapter05_Scrapy/wikiSpider/wikiSpider/articlePipelines.py,articlePipelines.py,19,17,0,2,0
Python,Chapter05_Scrapy/wikiSpider/wikiSpider/pipelines.py,pipelines.py,12,11,0,1,0
Python,v1/chapter6/4-readingCsvDict.py,4-readingCsvDict.py,12,9,0,3,2
Python,v1/chapter3/scrapy/wikiSpider/wikiSpider/middlewares.py,middlewares.py,56,19,23,14,4
Python,v1/chapter3/scrapy/wikiSpider/wikiSpider/settings.py,settings.py,90,4,69,17,0
Python,Chapter05_Scrapy/wikiSpider/wikiSpider/__init__.py,__init__.py,0,0,0,0,0
Python,v1/chapter6/2-getUtf8Text.py,2-getUtf8Text.py,9,8,0,1,0
Python,v1/chapter3/scrapy/wikiSpider/wikiSpider/items.py,items.py,14,3,7,4,0
Python,v1/chapter6/5-readPdf.py,5-readPdf.py,24,20,0,4,0
Python,v1/chapter3/scrapy/wikiSpider/wikiSpider/pipelines.py,pipelines.py,11,3,5,3,0
Python,Chapter05_Scrapy/wikiSpider/wikiSpider/article.py,article.py,18,14,0,4,2
Python,v1/chapter3/scrapy/wikiSpider/wikiSpider/spiders/__init__.py,__init__.py,4,0,4,0,0
Python,v1/chapter6/6-readDocx.py,6-readDocx.py,23,21,0,2,2
Python,v1/chapter3/scrapy/wikiSpider/wikiSpider/__init__.py,__init__.py,0,0,0,0,0
Jupyter,Chapter08-CleaningYourDirtyData.ipynb,Chapter08-CleaningYourDirtyData.ipynb,206,206,0,0,0
CSV,Chapter05_Scrapy/wikiSpider/wikiSpider/articles.csv,articles.csv,16615,16518,0,97,0
JSON,Chapter05_Scrapy/wikiSpider/wikiSpider/articles.json,articles.json,33,33,0,0,0
Jupyter,Chapter06_StoringData.ipynb,Chapter06_StoringData.ipynb,37037,37037,0,0,0
XML,Chapter05_Scrapy/wikiSpider/wikiSpider/articles.xml,articles.xml,7608,7598,0,10,0
