Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
YAML,codecov.yml,codecov.yml,10,7,2,1,0
Markdown,CODE_OF_CONDUCT.md,CODE_OF_CONDUCT.md,47,29,0,18,0
Plain Text,requirements.txt,requirements.txt,5,5,0,0,0
YAML,.pre-commit-config.yaml,.pre-commit-config.yaml,25,25,0,0,0
License,LICENSE,LICENSE,619,512,0,107,0
Makefile,Makefile,Makefile,58,48,0,10,0
Autoconf,MANIFEST.in,MANIFEST.in,1,1,0,0,0
YAML,.readthedocs.yml,.readthedocs.yml,10,6,1,3,0
Plain Text,requirements-dev.txt,requirements-dev.txt,12,12,0,0,0
gitignore,.gitignore,.gitignore,86,57,16,13,0
Python,setup.py,setup.py,67,52,4,11,8
ReStructuredText,AUTHORS.rst,AUTHORS.rst,93,87,0,6,0
Python,examples/echobot.py,echobot.py,73,21,32,20,1
Python,telegram/chataction.py,chataction.py,45,21,21,3,0
Python,examples/conversationbot2.py,conversationbot2.py,143,78,24,41,5
Python,examples/inlinekeyboard.py,inlinekeyboard.py,62,27,14,21,1
Markdown,.github/ISSUE_TEMPLATE/feature_request.md,feature_request.md,24,19,0,5,0
ReStructuredText,README.rst,README.rst,210,135,0,75,0
ReStructuredText,.github/CONTRIBUTING.rst,CONTRIBUTING.rst,257,150,0,107,0
Python,telegram/loginurl.py,loginurl.py,83,31,50,2,0
Python,telegram/poll.py,poll.py,261,108,123,30,19
ReStructuredText,CHANGES.rst,CHANGES.rst,1478,1066,0,412,0
Python,telegram/chatpermissions.py,chatpermissions.py,109,31,73,5,0
Python,telegram/__main__.py,__main__.py,51,26,18,7,2
Python,telegram/replykeyboardmarkup.py,replykeyboardmarkup.py,246,155,80,11,6
Python,telegram/keyboardbuttonpolltype.py,keyboardbuttonpolltype.py,41,6,32,3,0
Python,telegram/base.py,base.py,118,67,27,24,22
Python,telegram/vendor/__init__.py,__init__.py,0,0,0,0,0
YAML,.github/workflows/lock.yml,lock.yml,18,16,0,2,0
Python,telegram/messageentity.py,messageentity.py,125,63,51,11,3
Markdown,.github/ISSUE_TEMPLATE/bug_report.md,bug_report.md,43,29,0,14,0
Python,telegram/constants.py,constants.py,58,8,47,3,0
Python,telegram/callbackquery.py,callbackquery.py,347,103,224,20,11
Python,telegram/chatmember.py,chatmember.py,187,156,26,5,10
Python,telegram/parsemode.py,parsemode.py,36,12,21,3,0
Python,telegram/replymarkup.py,replymarkup.py,31,3,25,3,0
Plain Text,docs/requirements-docs.txt,requirements-docs.txt,3,3,0,0,0
YAML,.github/stale.yml,stale.yml,14,8,6,0,0
YAML,.github/ISSUE_TEMPLATE/config.yml,config.yml,8,8,0,0,0
Markdown,.github/ISSUE_TEMPLATE/question.md,question.md,29,22,0,7,0
Python,telegram/keyboardbutton.py,keyboardbutton.py,77,42,32,3,1
Python,telegram/games/callbackgame.py,callbackgame.py,25,2,20,3,0
Python,telegram/__init__.py,__init__.py,164,142,19,3,0
Python,telegram/games/gamehighscore.py,gamehighscore.py,62,18,35,9,3
Python,telegram/user.py,user.py,375,341,28,6,16
Makefile,docs/Makefile,Makefile,192,156,6,30,3
Python,telegram/files/__init__.py,__init__.py,0,0,0,0,0
Python,telegram/files/venue.py,venue.py,79,46,30,3,1
Python,telegram/files/inputfile.py,inputfile.py,102,42,46,14,11
Shell,contrib/build-debian.sh,build-debian.sh,7,4,1,2,0
Python,telegram/files/photosize.py,photosize.py,94,62,28,4,8
Python,telegram/files/sticker.py,sticker.py,254,222,28,4,11
Python,tests/test_voice.py,test_voice.py,226,196,19,11,0
Python,telegram/userprofilephotos.py,userprofilephotos.py,74,37,29,8,4
Python,tests/test_pollhandler.py,test_pollhandler.py,159,138,18,3,0
Python,telegram/version.py,version.py,20,1,18,1,0
ReStructuredText,docs/source/telegram.passportelementerrorfrontside.rst,telegram.passportelementerrorfrontside.rst,6,5,0,1,0
Python,telegram/files/animation.py,animation.py,122,90,28,4,9
YAML,.github/workflows/test.yml,test.yml,119,116,0,3,0
Python,telegram/dice.py,dice.py,65,41,22,2,0
Python,telegram/games/__init__.py,__init__.py,0,0,0,0,0
Python,telegram/error.py,error.py,130,53,46,31,2
YAML,.github/workflows/example_notifier.yml,example_notifier.yml,14,14,0,0,0
Python,telegram/games/game.py,game.py,171,71,82,18,18
Python,telegram/forcereply.py,forcereply.py,58,21,30,7,5
Python,telegram/update.py,update.py,251,186,59,6,12
Python,telegram/inline/inlinequeryresultvoice.py,inlinequeryresultvoice.py,88,59,26,3,1
Python,telegram/inline/inlinequeryresultcontact.py,inlinequeryresultcontact.py,91,62,25,4,4
Python,telegram/inline/inlinequeryresultarticle.py,inlinequeryresultarticle.py,89,63,22,4,5
Python,telegram/files/videonote.py,videonote.py,110,78,28,4,10
Python,tests/test_chatphoto.py,test_chatphoto.py,162,117,18,27,0
Python,tests/test_inlinequeryresultvenue.py,test_inlinequeryresultvenue.py,119,91,18,10,0
Python,tests/test_inlinekeyboardbutton.py,test_inlinekeyboardbutton.py,117,82,18,17,0
ReStructuredText,docs/source/telegram.userprofilephotos.rst,telegram.userprofilephotos.rst,6,5,0,1,0
Python,telegram/passport/passportfile.py,passportfile.py,124,90,28,6,9
Python,telegram/inline/inlinequeryresultphoto.py,inlinequeryresultphoto.py,102,74,25,3,1
Python,telegram/files/voice.py,voice.py,94,62,28,4,9
Python,examples/persistentconversationbot.py,persistentconversationbot.py,158,93,22,43,7
Python,telegram/utils/deprecate.py,deprecate.py,47,15,23,9,0
Python,examples/inlinekeyboard2.py,inlinekeyboard2.py,192,113,53,26,1
Python,telegram/inline/inlinekeyboardmarkup.py,inlinekeyboardmarkup.py,142,55,71,16,26
Python,telegram/inline/inlinequery.py,inlinequery.py,132,49,72,11,3
Python,telegram/inline/inlinequeryresultaudio.py,inlinequeryresultaudio.py,91,63,25,3,1
Python,telegram/webhookinfo.py,webhookinfo.py,88,28,55,5,0
Python,tests/test_messagehandler.py,test_messagehandler.py,291,270,18,3,0
Python,tests/test_inlinequeryresultgame.py,test_inlinequeryresultgame.py,75,47,18,10,0
Python,telegram/inline/inlinequeryresultcacheddocument.py,inlinequeryresultcacheddocument.py,88,60,25,3,1
Python,telegram/inline/inlinequeryresultvideo.py,inlinequeryresultvideo.py,117,84,30,3,1
Python,telegram/inline/__init__.py,__init__.py,0,0,0,0,0
Python,tests/test_encryptedpassportelement.py,test_encryptedpassportelement.py,91,63,18,10,0
Python,tests/test_inputmedia.py,test_inputmedia.py,368,283,33,52,15
Python,telegram/inline/inlinequeryresultmpeg4gif.py,inlinequeryresultmpeg4gif.py,108,79,26,3,1
Python,tests/test_inlinequeryresultlocation.py,test_inlinequeryresultlocation.py,110,82,18,10,0
Python,telegram/inline/inputcontactmessagecontent.py,inputcontactmessagecontent.py,61,32,25,4,1
Python,tests/test_passportelementerrorfiles.py,test_passportelementerrorfiles.py,80,52,18,10,0
Python,telegram/inline/inputlocationmessagecontent.py,inputlocationmessagecontent.py,53,8,40,5,0
