Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
Plain Text,requirements.txt,requirements.txt,12,10,0,2,0
Markdown,AUTHORS.md,AUTHORS.md,82,77,0,5,0
License,LICENSE,LICENSE,21,17,0,4,0
Markdown,CHANGELOG.md,CHANGELOG.md,792,607,0,185,0
YAML,appveyor.yml,appveyor.yml,73,51,10,12,0
gitignore,.gitignore,.gitignore,66,37,16,13,0
Markdown,CONTRIBUTING.md,CONTRIBUTING.md,48,37,0,11,0
ReStructuredText,README.rst,README.rst,133,100,0,33,0
YAML,.travis.yml,.travis.yml,60,48,4,8,0
Python,setup.py,setup.py,648,630,10,8,12
Markdown,.github/PULL_REQUEST_TEMPLATE.md,PULL_REQUEST_TEMPLATE.md,20,12,0,8,0
Python,demo/helloform.py,helloform.py,63,39,9,15,1
Python,tools/geninterop/geninterop.py,geninterop.py,374,311,26,37,37
Markdown,.github/ISSUE_TEMPLATE.md,ISSUE_TEMPLATE.md,25,17,0,8,0
Python,demo/wordpad.py,wordpad.py,419,411,3,5,0
Python,demo/DynamicGrid.py,DynamicGrid.py,23,19,0,4,4
Python,demo/splitter.py,splitter.py,92,62,11,19,5
XAML,demo/DynamicGrid.xaml,DynamicGrid.xaml,34,34,0,0,0
C#,src/SharedAssemblyInfo.cs,SharedAssemblyInfo.cs,28,14,9,5,0
C#,src/perf_tests/BenchmarkTests.cs,BenchmarkTests.cs,74,63,0,11,5
C Header,tools/geninterop/fake_libc_include/unistd.h,unistd.h,2,2,0,0,0
Python,src/tests/test_docstring.py,test_docstring.py,27,15,2,10,0
C Header,tools/geninterop/fake_libc_include/ieeefp.h,ieeefp.h,2,2,0,0,0
C Header,tools/geninterop/fake_libc_include/stddef.h,stddef.h,2,2,0,0,0
Python,src/tests/test_delegate.py,test_delegate.py,268,153,25,90,2
Python,src/tests/test_callback.py,test_callback.py,27,14,4,9,0
C Header,tools/geninterop/fake_libc_include/wctype.h,wctype.h,2,2,0,0,0
Python,src/tests/importtest.py,importtest.py,13,9,1,3,3
C Header,tools/geninterop/fake_libc_include/fcntl.h,fcntl.h,2,2,0,0,0
Python,src/tests/conftest.py,conftest.py,48,26,10,12,2
Python,src/tests/test_module.py,test_module.py,384,270,38,76,11
Python,src/tests/test_clrmethod.py,test_clrmethod.py,73,55,7,11,0
Python,src/tests/test_class.py,test_class.py,327,318,4,5,0
Python,src/tests/test_engine.py,test_engine.py,43,26,5,12,0
