Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
License,LICENSE,LICENSE,248,205,0,43,0
Dockerfile,Dockerfile,Dockerfile,81,58,15,8,11
Markdown,SUPPORT.md,SUPPORT.md,19,10,0,9,0
Markdown,README.md,README.md,296,199,0,97,0
Markdown,CONTRIBUTING.md,CONTRIBUTING.md,212,156,0,56,0
Markdown,CHANGELOG.md,CHANGELOG.md,2382,1689,0,693,0
Properties File,gradle.properties,gradle.properties,7,4,2,1,0
Plain Text,version.txt,version.txt,1,1,0,0,0
gitignore,.gitignore,.gitignore,57,32,14,11,0
Gradle,build.gradle,build.gradle,461,395,8,58,0
Batch,gradlew.bat,gradlew.bat,84,61,0,23,20
Gradle,settings.gradle,settings.gradle,1,1,0,0,0
Shell,gradlew,gradlew,172,133,21,18,19
YAML,.github/no-response.yml,no-response.yml,13,8,4,1,0
Gradle,realm-annotations/build.gradle,build.gradle,108,98,0,10,0
Gradle,gradle-plugin/build.gradle,build.gradle,172,149,2,21,0
Gradle,realm-transformer/settings.gradle,settings.gradle,1,1,0,0,0
Shell,realm-annotations/gradlew,gradlew,172,133,21,18,19
Shell,realm-transformer/gradlew,gradlew,172,133,21,18,19
Gradle,realm-transformer/build.gradle,build.gradle,159,137,2,20,0
XML,examples/encryptionExample/lint.xml,lint.xml,8,8,0,0,0
XML,examples/threadExample/lint.xml,lint.xml,9,8,1,0,0
Properties File,gradle-plugin/src/main/resources/META-INF/gradle-plugins/realm-android.properties,realm-android.properties,16,1,14,1,0
Java,gradle-plugin/src/main/templates/Version.java,Version.java,5,4,0,1,0
Gradle,examples/migrationExample/build.gradle,build.gradle,24,22,0,2,0
XML,examples/migrationExample/lint.xml,lint.xml,7,7,0,0,0
XML,examples/architectureComponentsExample/src/main/AndroidManifest.xml,AndroidManifest.xml,21,18,0,3,0
XML,examples/threadExample/src/main/AndroidManifest.xml,AndroidManifest.xml,32,28,0,4,0
Gradle,examples/newsreaderExample/build.gradle,build.gradle,54,44,3,7,0
Gradle,realm-annotations/settings.gradle,settings.gradle,1,1,0,0,0
XML,examples/newsreaderExample/lint.xml,lint.xml,7,7,0,0,0
Properties File,gradle/wrapper/gradle-wrapper.properties,gradle-wrapper.properties,5,5,0,0,0
Properties File,realm-transformer/gradle/wrapper/gradle-wrapper.properties,gradle-wrapper.properties,5,5,0,0,0
Properties File,realm-annotations/gradle.properties,gradle.properties,1,1,0,0,0
XML,examples/migrationExample/src/main/AndroidManifest.xml,AndroidManifest.xml,22,19,0,3,0
XML,examples/newsreaderExample/src/debug/AndroidManifest.xml,AndroidManifest.xml,6,5,0,1,0
Properties File,realm-transformer/gradle.properties,gradle.properties,1,1,0,0,0
Groovy,gradle-plugin/src/main/groovy/io/realm/gradle/Realm.groovy,Realm.groovy,174,124,34,16,27
Batch,realm-transformer/gradlew.bat,gradlew.bat,84,61,0,23,20
Batch,realm-annotations/gradlew.bat,gradlew.bat,84,61,0,23,20
Gradle,examples/encryptionExample/build.gradle,build.gradle,27,24,0,3,0
Java,examples/architectureComponentsExample/src/main/java/io/realm/examples/arch/PersonViewModel.java,PersonViewModel.java,53,28,15,10,2
Gradle,examples/threadExample/build.gradle,build.gradle,28,25,0,3,0
Java,examples/architectureComponentsExample/src/main/java/io/realm/examples/arch/BackgroundTask.java,BackgroundTask.java,92,62,15,15,5
Java,examples/threadExample/src/main/java/io/realm/examples/threads/AsyncTaskFragment.java,AsyncTaskFragment.java,146,100,26,20,12
Properties File,gradle-plugin/gradle/wrapper/gradle-wrapper.properties,gradle-wrapper.properties,5,5,0,0,0
Java,examples/threadExample/src/main/java/io/realm/examples/threads/WakefulReceivingBroadcastReceiver.java,WakefulReceivingBroadcastReceiver.java,32,12,17,3,0
Java,examples/architectureComponentsExample/src/main/java/io/realm/examples/arch/ArchExampleActivity.java,ArchExampleActivity.java,95,67,15,13,12
Java,examples/threadExample/src/main/java/io/realm/examples/threads/WakefulReceivingService.java,WakefulReceivingService.java,53,30,16,7,2
Java,examples/architectureComponentsExample/src/main/java/io/realm/examples/arch/PersonFragment.java,PersonFragment.java,85,59,17,9,4
Java,examples/threadExample/src/main/java/io/realm/examples/threads/PassingObjectsFragment.java,PassingObjectsFragment.java,124,76,31,17,0
Shell,gradle-plugin/gradlew,gradlew,172,133,21,18,19
