Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
Makefile,Makefile,Makefile,26,17,3,6,1
Jupyter,Lecture-0-Scientific-Computing-with-Python.ipynb,Lecture-0-Scientific-Computing-with-Python.ipynb,639,639,0,0,0
Markdown,README.md,README.md,40,25,0,15,0
gitignore,.gitignore,.gitignore,35,23,6,6,0
Jupyter,Lecture-2-Numpy.ipynb,Lecture-2-Numpy.ipynb,4902,4902,0,0,0
Jupyter,Lecture-6B-HPC.ipynb,Lecture-6B-HPC.ipynb,1692,1692,0,0,0
LaTeX,Scientific-Computing-with-Python.tex,Scientific-Computing-with-Python.tex,260,215,15,30,0
Python,scripts/hello-world-in-swedish.py,hello-world-in-swedish.py,4,1,2,1,0
Jupyter,Lecture-5-Sympy.ipynb,Lecture-5-Sympy.ipynb,2716,2716,0,0,0
Python,scripts/hello-world.py,hello-world.py,3,1,1,1,0
Jupyter,Lecture-6A-Fortran-and-C.ipynb,Lecture-6A-Fortran-and-C.ipynb,1897,1897,0,0,0
Jupyter,Lecture-1-Introduction-to-Python-Programming.ipynb,Lecture-1-Introduction-to-Python-Programming.ipynb,3933,3933,0,0,0
Jupyter,Lecture-3-Scipy.ipynb,Lecture-3-Scipy.ipynb,2608,2608,0,0,0
SVG,images/scientific-python-stack.svg,scientific-python-stack.svg,307,305,1,1,0
SVG,images/theory-experiment-computation.svg,theory-experiment-computation.svg,292,290,1,1,0
Jupyter,Lecture-7-Revision-Control-Software.ipynb,Lecture-7-Revision-Control-Software.ipynb,1906,1906,0,0,0
Jupyter,Lecture-4-Matplotlib.ipynb,Lecture-4-Matplotlib.ipynb,5589,5589,0,0,0
